id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4516015688760609,J6IDKAL29,2769678720,微博跑步,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,1,0,8,2020-06-15 09:45,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,
4516075461840640,J6Kca7IPK,3239170442,德赢-vwin体育,#103岁老人步行完成马拉松为新冠研究募款#他的花园好大呀！,,,,103岁老人步行完成马拉松为新冠研究募款,0,0,8,2020-06-15 13:42,360安全浏览器,,,4516015688760609,,黄V
4515853103858760,J6EpwgbQ4,2041593835,广州足球新闻,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,0,0,5,2020-06-14 22:59,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,黄V
4515802793415591,J6D6nekyb,6002061257,体育台,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,0,4,1,2020-06-14 19:39,iPhone客户端,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,黄V
4515789065813649,J6CKeooox,7349267228,浙江体育最前线,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,0,0,0,2020-06-14 18:44,一只好动的Android,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
4515783420705956,J6CB82XEo,1271638160,新浪体育视频,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,2,0,12,2020-06-14 18:22,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
4515782602936434,J6CzOcjTQ,2414369130,正义南康,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,4,3,18,2020-06-14 18:18,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
4515781893853454,J6CyFgasu,2211979435,新浪排球,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,1,3,22,2020-06-14 18:16,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
4515781632609815,J6CyfaWVN,1638781994,新浪体育,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）日前宣布：自己将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,16,4,77,2020-06-14 18:15,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
4515677576502928,J6zQprhHW,5693194807,新浪跑步,【#103岁老人步行完成马拉松为新冠研究募款#】比利时的一位103岁的老人阿方斯·伦博尔斯（AlfonsLeempoels）宣布将在6月结束前在自家花园步行完成一次马拉松，以此为新冠医学研究募款。老人称此举是受英国的另一位百岁老人托马斯·摩尔（ThomasMoore）启发，目前老人每天在院子里走十圈，总计1000多米。LRuptly国际新闻视频通讯社的微博视频,,,,103岁老人步行完成马拉松为新冠研究募款,2,1,20,2020-06-14 11:21,微博视频号,,"http://f.video.weibocdn.com/aZ860Uqjlx07E18Sgjj201041200PESp0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017137&ssig=z34eTljN9f&KID=unistore,video",,,蓝V
