id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4980338813568613,NxHYJeYmh,5611871977,老哥聊公考面试申论,#老年人食堂#老龄化社会背景下，各地纷纷兴办老年人食堂，成为关怀关爱老年人重要的举措之一，如今很多小伙子小姑娘也纷纷选择去老年人食堂消费，今天老哥带你走进老年人食堂，赶快上车！#老龄化社会标准##社会关怀##老龄化社会##11城进入超老龄化社会#L公考面试申论王中王的微博视频,,,,"老年人食堂,老龄化社会标准,社会关怀,老龄化社会,11城进入超老龄化社会",0,0,0,2023-12-18 16:39,微博视频号,,"http://f.video.weibocdn.com/o0/QwvBCVmKlx08b2DnLmVi01041202zXeb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729423663&ssig=Evo054RJfK&KID=unistore,video",,浙江,普通用户
4685032608760972,KzG5mAL80,6027731978,西安微博房产,【#11城进入超老龄化社会#】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。via：L玉渊谭天的微博视频,,,,11城进入超老龄化社会,0,0,0,2021-09-24 19:18,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424663&ssig=m1HfbTBbms&KID=unistore,video",,,蓝V
4684983546938193,KzEOet6Wl,6027711534,太原V房产,【#11城进入超老龄化社会# 】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。via:L玉渊谭天的微博视频,,,,11城进入超老龄化社会,0,1,1,2021-09-24 16:03,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424663&ssig=m1HfbTBbms&KID=unistore,video",,,蓝V
4684982792486943,KzEN1aqXZ,6013778409,重庆微博房产,【#11城进入超老龄化社会#】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。via:L玉渊谭天的微博视频,,,,11城进入超老龄化社会,0,0,0,2021-09-24 16:00,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424663&ssig=m1HfbTBbms&KID=unistore,video",,,蓝V
4684247707158825,KzlFou2kV,6897487043,追梦人的夏日,【#11城进入超老龄化社会#，#我国149市进入深度老龄化#】按照国际通行划分标准，当一个国家或地区65岁及以上人口占比超过7%时，意味着进入老龄化；达到14%，为深度老龄化；超过20%，则进入超老龄化社会。记者根据第七次全国人口普查数据，对三沙市之外的336个地级及以上城市（包括直辖市、计划单列市、省会城市、三沙市之外的普通地级市、州、盟，以下简称“市”）的人口年龄构成情况梳理后发现，目前全国有149市已经进入深度老龄化，其中有11个城市已经进入超老龄化阶段，分别是南通、资阳、泰州、自贡、乌兰察布、南充、抚顺、德阳、内江、眉山和丹东，主要来自苏中地区、四川、辽宁和内蒙古。其中，位居第一的南通这一比例达到了22.67%，成为我国老龄化程度最深的城市。,,,,"11城进入超老龄化社会,我国149市进入深度老龄化",0,0,0,2021-09-22 15:19,微博 weibo.com,https://wx1.sinaimg.cn/large/0026p7eXly1gueow3bgxrj60u0b7xnpe02.jpg,,,,普通用户
4683504845851301,Kz2leoybP,6895292204,眼花缭乱阳,【#全国149市进入深度老龄化#，四川最多】目前全国有149市已经进入深度老龄化，其中有11个城市已经进入超老龄化阶段，分别是南通、资阳、泰州、自贡、乌兰察布、南充、抚顺、德阳、内江、眉山和丹东，主要来自苏中地区、四川、辽宁和内蒙古。从地区分布看，在这149个城市中有41个来自东部沿海地区，占27.5%。东北地区有36个，占24.2%。中西部地区有72个，占48.3%。由此可见，中西部地区老龄化现象更为严峻。就拿位于中西部地区的四川省来说，四川有高达17个深度老龄化城市，居全国首位。#11城进入超老龄化社会#按照国际通行划分标准，当一个国家或地区65岁及以上人口占比超过7%时，意味着进入老龄化；达到14%，为深度老龄化；超过20%，则进入超老龄化社会。（第一财经）,,,,"全国149市进入深度老龄化,11城进入超老龄化社会",0,0,0,2021-09-20 14:07,微博 weibo.com,"https://wx3.sinaimg.cn/large/001g9u3Nly1guerg1t529j60lc09rju302.jpg,https://wx4.sinaimg.cn/large/001g9u3Nly1guerh2o7nmj60dx0j7myo02.jpg",,,,普通用户
4683220828030751,KyUX8xHaf,6027711534,太原V房产,买二手房签附加协议靠谱吗？有个特别好玩的段子，有一个奇葩房主，他要求买房子不仅买房，必须还要买这个房子里面的画，这个房子值400万，画值100万，是什么名画吗？也不是，就是这个房主吃完饭闲着没事儿随便画两笔。#买房大讲堂##11城进入超老龄化社会#L新浪房产的微博视频,,,,"买房大讲堂,11城进入超老龄化社会",0,0,3,2021-09-19 19:18,微博视频号,,"http://f.video.weibocdn.com/fatXEXlnlx07PMJ0pJIk01041200pWMr0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424670&ssig=Cc2%2FrY%2Fz7j&KID=unistore,video",,,蓝V
4682346454843901,KyycRkk7r,6168506890,博览楼市,【#11城进入超老龄化社会#，#如何应对人口老龄化问题#？】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。via：L玉渊谭天的微博视频,,,,"11城进入超老龄化社会,如何应对人口老龄化问题",0,0,0,2021-09-17 09:24,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424673&ssig=kjxfOmgeHz&KID=unistore,video",,,蓝V
4682342699893640,Kyy6NFvMQ,6027610807,沈阳V房产,#沈阳月薪五千买房图鉴#【#11城进入超老龄化社会#】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。#辽宁楼市#via：L玉渊谭天的微博视频,,,,"沈阳月薪五千买房图鉴,11城进入超老龄化社会,辽宁楼市",0,0,1,2021-09-17 09:09,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424673&ssig=kjxfOmgeHz&KID=unistore,video",,,蓝V
4682341136729265,Kyy4hseAx,2820717041,南昌微博房产,【#11城进入超老龄化社会#，#如何应对人口老龄化问题#？】应对“少子老龄化”问题，首先需解决的是养老资源“从何而来”以及“如何统筹”的问题。我国需要形成和“银发浪潮”相适应的劳动力市场，推动形成适应老年人弹性就业和养老金弹性领取体系，形成更广泛、更充分的就业，使就业和养老实现公平和可持续。在制度保障方面，国家应加快推进企业职工基本养老保险全国统筹，并进一步拓展养老基金多元化充实的路径。via：L玉渊谭天的微博视频,,,,"11城进入超老龄化社会,如何应对人口老龄化问题",2,1,1,2021-09-17 09:03,微博视频号,,"http://f.video.weibocdn.com/zdIrdSsSlx07MA7KlUpi01041201uY4r0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1729424673&ssig=kjxfOmgeHz&KID=unistore,video",,,蓝V
