id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4966293010650006,NrOAd2J5Y,1329201253,赵宏民,#16844名乡村老人的反诈手机课#【转发抽奖】这是蓝马甲公益活动的阶段总结，1辆大篷车，跨越7个省市，深入65个区县，历时5个月，途径安徽、江西，江苏，湖北、重庆、云南。一共举办332场社区助老课堂，搭建了95场趣味公益集市，发放超过20000份助老反诈宣传资料，16844名乡镇老人正在慢慢学着使用智能手机。这些公益活动，填补了老年人与数字时代之间的鸿沟，帮助更多城乡老人接轨数字时代。让我们一起传播公益活动，让更多人参与进来！我抽奖送出去两套《一件蓝马甲：关注数字时代下的银发群体》和《蓝马甲：数字生活工具书》，转发即可参与！这是专门教老人用手机的书，教老人清理手机垃圾，怎么调节音量、发语音，还有预防诈骗，这也是国内首部数字助老工具书。谁家都有老人，送给老人看看吧。#微博公益合伙人#O抽奖详情,,,,"16844名乡村老人的反诈手机课,微博公益合伙人",45,253,136,2023-11-09 22:26,,"https://wx3.sinaimg.cn/large/4f3a0065ly1hjp8rsd5ekj20r20kaaco.jpg,https://wx1.sinaimg.cn/large/4f3a0065ly1hjp8rvundnj20u0a1he83.jpg,https://wx3.sinaimg.cn/large/4f3a0065ly1hjp8rsn1etj20r20g8go8.jpg,https://wx4.sinaimg.cn/large/4f3a0065ly1hjp8rsvke9j20u0140jtw.jpg,https://wx3.sinaimg.cn/large/4f3a0065ly1hjp8rt4jcyj20r2103mzo.jpg,https://wx2.sinaimg.cn/large/4f3a0065ly1hjp8rtg0s4j21400u0431.jpg,https://wx3.sinaimg.cn/large/4f3a0065ly1hjp8rtpdyjj21400u0gpo.jpg,https://wx1.sinaimg.cn/large/4f3a0065ly1hjp8rtx97nj21400u044j.jpg",,,,红V
4966216917846142,NrMBtwV8G,2788575533,萌妹看世界,#16844名乡村老人的反诈手机课#传递爱心，满满的正能量必须再次为我们的蓝马甲点赞，你们让更多人都收益了,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:24,Android,https://wx4.sinaimg.cn/large/a636492dgy1hjoz8wga7gj21ap0u00x4.jpg,,,,黄V
4966216335623390,NrMAxnATQ,2715944701,红尘一笑-锋,#16844名乡村老人的反诈手机课#看到这么多人都有了这样的反诈的意识还是很开心了，蓝马甲你们好样的,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:21,Android,https://wx2.sinaimg.cn/large/a1e206fdgy1hjoz6h9q6jj20wi1mf448.jpg,,,,普通用户
4966216130101343,NrMAd0qmz,3659198344,米花开花了,#16844名乡村老人的反诈手机课#我们的乡村防诈意识还是比较薄弱，看到这些蓝马甲真的是在做一件非常有意义的事了,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:20,Android,,,,,普通用户
4966216058012747,NrMA5xCtR,3659198344,米花开花了,#16844名乡村老人的反诈手机课#我们的乡村防诈意识还是比较薄弱，看到这些蓝马甲真的是在做一件非常有意义的事了,,,,16844名乡村老人的反诈手机课,0,0,1,2023-11-09 17:20,Android,,,,,普通用户
4966215723256384,NrMzydF8k,2707855611,ZENGQIONG-,#16844名乡村老人的反诈手机课#这里必须表扬下我们的蓝马甲看到取得这么好的成绩还是很为他们骄傲了,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:19,Android,https://wx3.sinaimg.cn/large/a16698fbgy1hjoz3yv4azj21gy0y078f.jpg,,,,普通用户
4966215382729760,NrMz0bs8o,2208765284,灬淡了丶散了,#16844名乡村老人的反诈手机课#看到这样的一幕真的很感动了，因为有你们这个世界变得更美好了，蓝马甲你们真的很棒,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:17,Android,,,,,普通用户
4966215144964887,NrMyCkPAP,5649314924,简单会幸福201507,#16844名乡村老人的反诈手机课#必须给我们的这些蓝马甲点赞，他们真的是深入了真正有需要的吗地方,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:17,Android,"https://wx1.sinaimg.cn/large/006ajWSEgy1hjoz1k0lorj30wi1mfq8o.jpg,https://wx1.sinaimg.cn/large/006ajWSEgy1hjoz1kdyy7j31r80zkn7j.jpg",,,,普通用户
4966214912970775,NrMyfcsPJ,3716216115,迷路的下雪天,#16844名乡村老人的反诈手机课#看到这样的一幕还是特别的感动了，他们用他们的实际行到让更多人有了反诈意识,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:16,Android,"https://wx4.sinaimg.cn/large/dd80f533gy1hjoz0ltpg7j21r80zkwpd.jpg,https://wx2.sinaimg.cn/large/dd80f533gy1hjoz0m8v63j20wi1mfdlk.jpg",,,,普通用户
4966214693290205,NrMxTdNVP,6913456302,睛耀孝东,#16844名乡村老人的反诈手机课#真的要特别的感谢这些蓝马甲，他们乐于助人的行为值得我们赞扬了,,,,16844名乡村老人的反诈手机课,0,0,0,2023-11-09 17:15,iQOO 10 未来电竞旗舰,,,,,普通用户
