id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5071201877627094,OtShJw09E,2803301701,人民日报,【#关于断崖式衰老#】人的衰老通常不是匀速发生的。研究发现，40多岁和60多岁最容易“断崖式衰老”。5大衰老信号臀部下垂、发际线上移、腰围变粗、足弓塌陷、牙缝变宽；#7个习惯加速衰老#吃得过饱、睡眠不足、喝水太少、运动不足、不防晒、情绪不好、压力太大。一文了解↓↓（健康时报）O关于“断崖式衰老”,,,,"关于断崖式衰老,7个习惯加速衰老",1577,766,2418,2024-08-25 10:16,微博 weibo.com,,,,,
5071237871310045,OtTdN5uNL,2301399194,文中全,接纳#衰老#🤓印象中是45岁的不当跑步锻炼受伤→_→🏃🏻‍♂️🏃🏻‍♂️400米时，由于准备活动不充分，造成右膝内侧#韧带拉伤#此后，再没有跑步。50岁之后，体重增加了20斤，就更没有跑步🏃🏻‍♂️🏃🏻‍♂️了。#晚年记事#⑦⑨#2035年左右中国将进入重度老龄化#,,,,"衰老,韧带拉伤,晚年记事,2035年左右中国将进入重度老龄化",0,12,2418,2024-08-25 12:39,,,,5071201877627094,北京,黄V
5065232512452259,OrmZJahWz,5893180856,骂死过人gun,真的觉得老年人是现在很孤独的群体不懂智能手机ai有的不认识字不会微信等等今天我去买咖啡出来一群老人围成两个圈坐两圈他们也不说话就看着来来去去过往的人唉感觉好可怜社会真的是应该设立很多并且完善专门为老年人服务的配套设施现在老龄化也很严重是一个很大的群体也是应该重视的社会问题善待老人吧孤独的人群们腿脚也不好也没人说话人真是不服老不行而且真的是要给老人们尊重在生活方面上#江西暖心交警将腿脚不便老人护送到家##老龄化##2035年左右中国将进入重度老龄化#,,,,"江西暖心交警将腿脚不便老人护送到家,老龄化,2035年左右中国将进入重度老龄化",0,3,2,2024-08-08 22:56,iPhone客户端,,,,辽宁,普通用户
5065172835636442,OrlrtnEim,2720794063,云乡访客,惊人预测揭示！我国即将爆发人口死亡浪潮，专家呼吁采取紧急措施！#2035年左右中国将进入重度老龄化#这不仅关乎经济、社会结构，更关系到每个人的未来。养老负担的增加、社保体系的压力、经济增长潜力的影响等都是这一问题的直接后果。面对这一挑战，专家提出了包括提高生育率、加强养老金和社保体系建设、推动灵活退休制度以及加强教育培训等措施。,,,,2035年左右中国将进入重度老龄化,3,8,4,2024-08-08 18:59,,"https://wx4.sinaimg.cn/large/a22c05cfgy1hsgo60cbi0j20qc13i420.jpg,https://wx3.sinaimg.cn/large/a22c05cfgy1hsgo60x5poj20u011mwin.jpg,https://wx1.sinaimg.cn/large/a22c05cfgy1hsgo61hy65j20ne0pmgnq.jpg,https://wx3.sinaimg.cn/large/a22c05cfgy1hsgo623s9fj20u015mn1o.jpg,https://wx4.sinaimg.cn/large/a22c05cfgy1hsgo62s6zzj20u0140gow.jpg,https://wx3.sinaimg.cn/large/a22c05cfgy1hsgo63n724j20u015yady.jpg,https://wx4.sinaimg.cn/large/a22c05cfgy1hsgo64t7lij20u017iq71.jpg,https://wx4.sinaimg.cn/large/a22c05cfgy1hsgo65dxtlj20mk0fumyf.jpg",,,新西兰,金V
5064067840741601,OqSHe36Vj,2086980855,竹渲山庄,昨天在富阳郁达夫公园拍的照片。行动不便的老年人挺多的，条件好的有家人推出来散步，条件不好要靠自己出来恐怕难了，侧面说明我们的城市无障碍设计确实迫在眉睫。#2035年左右中国将进入重度老龄化#,,杭州·郁达夫公园,,2035年左右中国将进入重度老龄化,0,0,1,2024-08-05 17:48,荣耀Magic6 Pro,https://wx4.sinaimg.cn/large/7c64ccf7gy1hsd56fubvoj20u014048t.jpg,,,浙江,普通用户
5063654477404268,OqHWvv4bG,5221321727,Alexis_Gao,#2035年左右中国将进入重度老龄化#老不死的人那么多，加上老龄化这么严重，以后犯了事的老东西该让他们坐牢，别搞什么尊老爱幼,,,,2035年左右中国将进入重度老龄化,0,0,0,2024-08-04 14:26,三星S21 5G,,,,山西,普通用户
5061792461492225,OpVvg6gc9,5613604538,荷花池頭小伢兒,公益企业也是企业，企业一旦无法正常盈利，最终受损的还是需要保障的人。“通过死刑杀死罪犯是为了社会，为了民众，这是正确的；杀死给家庭社会带来沉重负担的无法自理的老人也是为了社会为了人，两者没有什么不同。”看着非常引人深思，对不断加深的老龄化社会越来越担忧。#死亡护理师##2035年左右中国将进入重度老龄化##读书#,,杭州·杭州图书馆,,"死亡护理师,2035年左右中国将进入重度老龄化,读书",0,0,0,2024-07-30 11:07,OPPO Reno4 Pro 5G,https://wx4.sinaimg.cn/large/0067U6YGgy1hs5vxgrz2yj30u01uoahm.jpg,,,浙江,普通用户
5057532785333610,Oo8GOmnvY,6177707567,钛媒体影像,【#2035年左右中国将进入重度老龄化#】中国社会科学院国家高端智库首席专家蔡昉：调查显示23岁是消费高峰，从23岁-85岁之间，每增长一岁，平均消费降低1.8%。L钛媒体影像的微博视频,,,,2035年左右中国将进入重度老龄化,1,1,0,2024-07-18 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/o2u86OBNlx08gwoyunFm010412005Z5L0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726184381&ssig=amWg5Y35mk&KID=unistore,video",,,蓝V
5054339066105436,OmNBEpCiM,1649155730,龚文祥,日本机器人有铁路编制了，将代替老龄化员工#机器人##日本沙雕机器人##VR##人工智能##科技发展##2035年左右中国将进入重度老龄化#L龚文祥的微博视频,,,,"机器人,日本沙雕机器人,VR,人工智能,科技发展,2035年左右中国将进入重度老龄化",2,1,1,2024-07-09 21:30,微博视频号,,"http://f.video.weibocdn.com/u0/lPrYvDrZgx08gi9GtqOk0104120055Xl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726184391&ssig=c4kFHKH5Xt&KID=unistore,video",,广东,红V
5053558342813824,OmtiqbO0g,1831258857,套利匠人蜂鸟,从房产与基建、人口结构、基酒产量、共识形成的原因深度解析500ml53度飞天茅台跌破1299元/瓶的必然性。应再加一条，社会库存。每年一亿瓶产量中，至少30%被收藏起来了，还没考虑倒灌的问题。#听见微博##微博声浪计划#贵州茅台sh600519#飞天茅台单价低至2100元##飞天茅台##白酒##2035年左右中国将进入重度老龄化##房价#套利匠人蜂鸟的微博音频,,,,"听见微博,微博声浪计划,飞天茅台单价低至2100元,飞天茅台,白酒,2035年左右中国将进入重度老龄化,房价",4,4,14,2024-07-07 17:47,微博音频,,,,山东,黄V
