id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4875316881526960,MvBkQ6peo,7794743006,粤来-粤疯,#专家建议加速2G3G退网5G逐步取代4G#…2G网络基本上已经没办法刷出来网页了…3G的话可能得看个运气…4G大多数时候会出现卡顿的情况…#任正非预计大多数国家都用华为5g#…5G（套餐））大趋势应该是目前的共识了吧…#2G3G退网或使2亿老人面临换手机#媒体报道称2G、3G将逐步退网，约两亿老年机用户面临大换机👏…国家统计局数据显示，我国60岁以上人口2.54亿，但其上网比例仅为23%。还有近两亿未接触过网络的老人们…,,,,"专家建议加速2G3G退网5G逐步取代4G,任正非预计大多数国家都用华为5g,2G3G退网或使2亿老人面临换手机",0,3,2,2023-03-03 21:19,华为手机 畅享玩不停,"https://wx4.sinaimg.cn/large/008vvWJogy1hbmzfzdszxj30px0zkwjc.jpg,https://wx3.sinaimg.cn/large/008vvWJogy1hbmzfz1vm2j30sr0g2qbk.jpg,https://wx1.sinaimg.cn/large/008vvWJogy1hbmzfyn08xj30ku0ej77o.jpg,https://wx3.sinaimg.cn/large/008vvWJogy1hbmzg0k8gij30u012hgun.jpg,https://wx2.sinaimg.cn/large/008vvWJogy1hbmzg078g3j30dw0a7gnv.jpg,https://wx3.sinaimg.cn/large/008vvWJogy1hbmzfzr9xpj30tz16zafg.jpg",,,,普通用户
4589017293922277,JBlKhgsmx,3737658242,IT互联网电商科技,【老人怎能不配乘风破浪？盘点2020老人与智能科技那些事儿】7月21日，媒体报道称2G、3G将逐步退网，约两亿老年机用户面临大换血。#2G3G退网或使2亿老人面临换手机#。国家统计局数据显示，2019年我国60岁以上人口2.54亿，但其上网比例仅为23%。还有近两亿未接触过网络的老人们，如何追上加速前进的智能时代？L新浪科技的微博视频,,,,2G3G退网或使2亿老人面临换手机,510,500,876,2021-01-02 20:27,智能科技超话,,"http://f.video.weibocdn.com/eazuHmbhlx07IOV9m9VK01041200kN2K0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982288&ssig=60ryp8kz7y&KID=unistore,video",,,普通用户
4583428177009399,Jz0lztpsP,5729441116,临汾美食君,#2G3G退网或使2亿老人面临换手机#还有很多老年人怎么办？中国又是一个老龄化较高的国度#半杯馊评#L新浪科技的微博视频,,,,"2G3G退网或使2亿老人面临换手机,半杯馊评",0,2,0,2020-12-18 10:18,知名博主Android,,"http://f.video.weibocdn.com/eazuHmbhlx07IOV9m9VK01041200kN2K0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982288&ssig=60ryp8kz7y&KID=unistore,video",,,红V
4583426852654650,Jz0jrb8AW,6852693022,剧娱综情未了,#2G3G退网或使2亿老人面临换手机#原来的应保留吧！如果2G，3G，4G资费一样！直接帮老人机弄最好的！,,,,2G3G退网或使2亿老人面临换手机,0,2,0,2020-12-18 10:13,iPhone 6s,,,,,黄V
4583422037854884,Jz0bFwXpG,2531381275,萌宠萌物大全,#2G3G退网或使2亿老人面临换手机#原来的应保留吧！如果2G，3G，4G资费一样！直接帮老人机弄最好的！,,,,2G3G退网或使2亿老人面临换手机,0,5,3,2020-12-18 09:53,iPhone客户端,,,,,普通用户
4583419416420562,Jz07rqWhs,2329459082,娱哥bot,#2G3G退网或使2亿老人面临换手机#原来的应保留吧！如果2G，3G，4G资费一样！直接帮老人机弄最好的！,,,,2G3G退网或使2亿老人面临换手机,0,1,0,2020-12-18 09:43,iPhone XS Max,,,,,普通用户
4583288910647422,JyWIX2Iqi,5842275965,逛陇原,【老人怎能不配乘风破浪？盘点2020老人与智能科技那些事儿】7月21日，媒体报道称2G、3G将逐步退网，约两亿老年机用户面临大换血。#2G3G退网或使2亿老人面临换手机#。国家统计局数据显示，2019年我国60岁以上人口2.54亿，但其上网比例仅为23%。还有近两亿未接触过网络的老人们，如何追上加速前进的智能时代？O老人怎能不配乘风破浪？盘点2020老人与智能科技那些事儿L新浪科技的微博视频,,,,2G3G退网或使2亿老人面临换手机,0,0,0,2020-12-18 01:04,微博视频号,,"http://f.video.weibocdn.com/eazuHmbhlx07IOV9m9VK01041200kN2K0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982288&ssig=60ryp8kz7y&KID=unistore,video",,,普通用户
4583273319896902,JyWjNFwDs,2728474252,大学校园事,#2G3G退网或使2亿老人面临换手机#还有很多老年人怎么办？中国又是一个老龄化较高的国度。L新浪科技的微博视频,,,,2G3G退网或使2亿老人面临换手机,0,0,0,2020-12-18 00:02,Android,,"http://f.video.weibocdn.com/eazuHmbhlx07IOV9m9VK01041200kN2K0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982288&ssig=60ryp8kz7y&KID=unistore,video",,,黄V
4583246597982086,JyVCHxuvk,2948707533,情感小屋bot,国家统计局数据显示，2019年我国60岁以上人口2.54亿，但其上网比例仅为23%。还有近两亿未接触过网络的老人们，如何追上加速前进的智能时代？#2G3G退网或使2亿老人面临换手机#,,,,2G3G退网或使2亿老人面临换手机,0,0,0,2020-12-17 22:16,OPPO K3 硬核少年,,,,,普通用户
4583163390591615,JyTsv2tUb,2721651883,天壹剑客,【老人怎能不配乘风破浪？盘点2020老人与智能科技那些事儿】7月21日，媒体报道称2G、3G将逐步退网，约两亿老年机用户面临大换血。#2G3G退网或使2亿老人面临换手机#。国家统计局数据显示，2019年我国60岁以上人口2.54亿，但其上网比例仅为23%。还有近两亿未接触过网络的老人们，如何追上加速前进的智能时代？来自：L新浪科技的微博视频#生活百科##生活提示#,,宁波,,"2G3G退网或使2亿老人面临换手机,生活百科,生活提示",1,7,6,2020-12-17 16:46,iPhone 11,,"http://f.video.weibocdn.com/eazuHmbhlx07IOV9m9VK01041200kN2K0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982290&ssig=GA1xePdMwr&KID=unistore,video",,,
