id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4789251638562011,LBrQfzVmX,5436677076,记录微视,【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,,30余名老人被骗养老钱,0,0,0,2022-07-09 09:27,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007790&ssig=x3LAns0doF&KID=unistore,video",,,普通用户
4789092224860905,LBnH8koxH,3626357657,樊京刚反传销寻亲,#反传销联合会#【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,辽阳,,"反传销联合会,30余名老人被骗养老钱",0,1,1,2022-07-08 22:53,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007790&ssig=x3LAns0doF&KID=unistore,video",,,黄V
4789055781081884,LBmKm4xrK,5737875464,保定的事儿,【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,,30余名老人被骗养老钱,0,0,1,2022-07-08 20:28,保定超话,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007790&ssig=x3LAns0doF&KID=unistore,video",,,普通用户
4788995693741186,LBlbrfHfI,5105612195,高坪公安,【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,,30余名老人被骗养老钱,0,0,2,2022-07-08 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007790&ssig=x3LAns0doF&KID=unistore,video",,,蓝V
4788973501157328,LBkBE4R4A,2206820037,成都公安,【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,,30余名老人被骗养老钱,5,2,4,2022-07-08 15:02,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007790&ssig=x3LAns0doF&KID=unistore,video",,,
4788987775160433,LBkYFlEsN,1929862885,成都彭州公安,【2万元可获廉租房指标？#30余名老人被骗养老钱#】,,,,30余名老人被骗养老钱,0,0,4,2022-07-08 15:58,微博 weibo.com,,,4788973501157328,,蓝V
4788978802232267,LBkKc9mIj,1987005371,成都崇州公安,【2万元可获廉租房指标？#30余名老人被骗养老钱#】,,,,30余名老人被骗养老钱,0,0,4,2022-07-08 15:23,360安全浏览器,,,4788973501157328,,蓝V
4788912783885758,LBj1IgiRw,6364011843,延安新媒体,@河北高院#冀法提醒#【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,河北高院,"冀法提醒,30余名老人被骗养老钱",0,0,0,2022-07-08 11:00,焦点新闻HarmonyOS设备,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007791&ssig=PKGgFCOBEc&KID=unistore,video",,,黄V
4788901833084127,LBiK3cWjZ,7032245671,网信鹿泉区,【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频@网信河北,,,网信河北,30余名老人被骗养老钱,0,0,0,2022-07-08 10:17,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007791&ssig=PKGgFCOBEc&KID=unistore,video",,,蓝V
4788889052775792,LBiprbE6Q,5121898436,博野法院,@河北高院#冀法提醒#【2万元可获廉租房指标？#30余名老人被骗养老钱#】7月6日，河北保定警方公开一起养老领域组织、领导传销活动案。经查，该犯罪团伙编造所谓的“普惠互助金融”项目，谎称每人只需缴纳2万余元便可获得廉租房的指标，待获得廉租房后可以在当地养老。目前已确定有30余名老人被骗，涉案金额达100余万元，犯罪嫌疑人已被警方依法采取强制措施，案件正在进一步侦办中。L青豆视频的微博视频,,,河北高院,"冀法提醒,30余名老人被骗养老钱",21,4,5,2022-07-08 09:26,微博视频号,,"http://f.video.weibocdn.com/o0/H6W6CkN4lx07Xpop5zOE010412003J4s0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007791&ssig=PKGgFCOBEc&KID=unistore,video",,,蓝V
