id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5004356857892540,O1Plbx7d2,7010971103,我快睡着了w,我在沙发这头妈妈在沙发那头我们同时打开了直播她说我买的都是破烂我说她看的都是骗老年人的说完我们又扭过头继续看自己的#犟种##315点名诱骗老年人直播间均已被封##我买的都是我真实需要的东西##人生感悟##亲情#,,,,"犟种,315点名诱骗老年人直播间均已被封,我买的都是我真实需要的东西,人生感悟,亲情",0,0,1,2024-02-22 23:18,iPhone 14 Pro,,,,广东,普通用户
4952496062596254,Nm1F4aTp4,6591644633,潇雪霄,#315点名诱骗老年人直播间均已被封#,,,,315点名诱骗老年人直播间均已被封,0,0,0,2023-10-02 20:42,小米10,,,,河北,普通用户
4886449281304276,MAgWk5tiI,5373509431,一个个那就,#7元一盒的药品以150元高价卖给老人##315点名诱骗老年人直播间均已被封#,,,,"7元一盒的药品以150元高价卖给老人,315点名诱骗老年人直播间均已被封",0,0,0,2023-04-03 14:35,荣耀V20 4800万3D相机,,,,湖北,普通用户
4886448422257827,MAgUW9tmz,5373509431,一个个那就,#315点名诱骗老年人直播间均已被封##直播间骗老人##快递员实名举报老人被骗买高价药#怎么还有啊,,,,"315点名诱骗老年人直播间均已被封,直播间 骗老人,快递员实名举报老人被骗买高价药",0,0,0,2023-04-03 14:32,荣耀V20 4800万3D相机,,,,湖北,普通用户
4883895009414472,MzcuwDv8k,1249421337,小鱼姐姐Betty,关注了一个Up主，就是泰国那个。之前她说自己被混蛋前夫家暴，然后咬着牙毅然选择离婚，靠着打扫卫生，做小生意实现了经济独立，拉扯儿子长大，最终过上了神仙般的异国退休生活，逆袭成功。那时候我内心对她真是又同情又钦佩，还打算从她那里买点儿东西支持一下，虽然我至今从来没看过任何一场带货直播，更没在直播间里买过任何东西。结果这两天再次刷到了她的视频，她说，她的前夫多年前突发重病去世，她只能被迫扛起所有生活的重担，靠着打扫…………………………默默点取关容易，可是今后我这一腔古道热肠，该往何处寄托？#315点名诱骗老年人直播间均已被封##315曝光苦情戏直播局中局##315点名诱骗老年人直播间均已被封#,,,,"315点名诱骗老年人直播间均已被封,315曝光苦情戏直播局中局",0,2,3,2023-03-27 13:26,iPhone客户端,,,,北京,普通用户
4883822765673334,MzaC0nNTo,6337469384,冬戀夏夏,#乳业产品经理##315点名诱骗老年人直播间均已被封#从今年315晚会上的“干儿子”事件上看出，真正的为消费者考虑的“亲儿子”远不及洞悉消费者的“干儿子”被认可的程度大。所以，是放弃“执念”，还是坚持不苟同？做产品的路上，又走到了做人。还是那句话，产品就是人品。,,,,"乳业产品经理,315点名诱骗老年人直播间均已被封",0,0,0,2023-03-27 08:39,微博网页版,,,,江苏,普通用户
4883618507263994,Mz5iyutHc,6618707265,毒眸,【#相比优爱腾抖音更像电视台#】短视频更像是新媒体时代真正的互联网电视台，亦或者是一种真正的“大众媒介”，它不仅像流媒体一样能够给用户提供娱乐功能，还能够方方面面地承载各种电视台能提供的信息。#315点名诱骗老年人直播间均已被封#,,,,"相比优爱腾抖音更像电视台,315点名诱骗老年人直播间均已被封",0,0,0,2023-03-26 19:07,微博网页版,"https://wx4.sinaimg.cn/large/007dVq6Zly1hcdgsi55sfj30u05zk1kx.jpg,https://wx2.sinaimg.cn/large/007dVq6Zly1hcdgski9v7j30u06oyb29.jpg,https://wx1.sinaimg.cn/large/007dVq6Zly1hcdgsmoivhj30u05i54qp.jpg,https://wx3.sinaimg.cn/large/007dVq6Zly1hcdgsp771oj30u044qx3n.jpg,https://wx2.sinaimg.cn/large/007dVq6Zly1hcdgsrm7irj30u03y3h9d.jpg",,,北京,黄V
4882081521864138,Myrjy7OWK,6367068899,长春互动,【#315点名诱骗老年人直播间均已被封#辛巴曾点名痛批质问平台】#315晚会##直播间#骗老人曝光苦情戏直播局中局，“儿子”们专门骗老人买“神药”。这些主播都装出一副正义凛然的样子帮助解决纠纷，无一例外都能机缘巧合得到号称能治疗疾病的产品，并且卖给观看直播的老人们，但其实都是普通食品。直播间骗老人其中提到“小张说事”账号，在相关视频平台已无法搜索到。此外，曝光中涉及到的“辉哥”“—早八点”“方明快相亲”等账号，也已无法搜到。此前知名主播辛巴，在直播过程中，曾指责平台纵容情感主播制造虚假人气和虚假数据，坑骗老人。质问平台工作人员，为什么帮助情感主播造假人气。（星视频）L星视频的微博视频,,,,"315点名诱骗老年人直播间均已被封,315晚会,直播间",0,0,0,2023-03-22 13:20,微博 weibo.com,,"http://f.video.weibocdn.com/o0/NJ6qQuJClx083TKCfyHC01041200sri60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726631819&ssig=ZKL6UTT9KT&KID=unistore,video",,吉林,黄V
4882081521861994,Myrjy7Ooa,6317354998,长春故事会,【#315点名诱骗老年人直播间均已被封#辛巴曾点名痛批质问平台】#315晚会##直播间#骗老人曝光苦情戏直播局中局，“儿子”们专门骗老人买“神药”。这些主播都装出一副正义凛然的样子帮助解决纠纷，无一例外都能机缘巧合得到号称能治疗疾病的产品，并且卖给观看直播的老人们，但其实都是普通食品。直播间骗老人其中提到“小张说事”账号，在相关视频平台已无法搜索到。此外，曝光中涉及到的“辉哥”“—早八点”“方明快相亲”等账号，也已无法搜到。此前知名主播辛巴，在直播过程中，曾指责平台纵容情感主播制造虚假人气和虚假数据，坑骗老人。质问平台工作人员，为什么帮助情感主播造假人气。（星视频）L星视频的微博视频,,,,"315点名诱骗老年人直播间均已被封,315晚会,直播间",0,0,0,2023-03-22 13:20,微博 weibo.com,,"http://f.video.weibocdn.com/o0/NJ6qQuJClx083TKCfyHC01041200sri60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726631819&ssig=ZKL6UTT9KT&KID=unistore,video",,吉林,黄V
4881442305214097,MyaGylSql,1558725752,长春太威武,【#315点名诱骗老年人直播间均已被封#辛巴曾点名痛批质问平台】#315晚会##直播间#骗老人曝光苦情戏直播局中局，“儿子”们专门骗老人买“神药”。这些主播都装出一副正义凛然的样子帮助解决纠纷，无一例外都能机缘巧合得到号称能治疗疾病的产品，并且卖给观看直播的老人们，但其实都是普通食品。直播间骗老人其中提到“小张说事”账号，在相关视频平台已无法搜索到。此外，曝光中涉及到的“辉哥”“—早八点”“方明快相亲”等账号，也已无法搜到。此前知名主播辛巴，在直播过程中，曾指责平台纵容情感主播制造虚假人气和虚假数据，坑骗老人。质问平台工作人员，为什么帮助情感主播造假人气。（星视频）L星视频的微博视频,,,,"315点名诱骗老年人直播间均已被封,315晚会,直播间",1,1,2,2023-03-20 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/NJ6qQuJClx083TKCfyHC01041200sri60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726631821&ssig=8HnJ8w4NI9&KID=unistore,video",,吉林,黄V
