id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4845096237271453,MiV9RuvDv,7759003989,许红豆吃红豆,#60岁以上老人是艾滋病增长率最高群体#百度健康大数据给我们提供的这个数据也是非常的准确呀，所以不管是老年人还是青年人，一定要做好措施#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,1,2022-12-10 11:53,iPhone客户端,,,,浙江,普通用户
4845095872634139,MiV9hb3g7,7326245472,笑笑多笑,#60岁以上老人是艾滋病增长率最高群体#我觉得吧，就算是没有生育能力了，措施还是一定要做的，看到百度健康大数据的这个数据，我也是感到很震惊了#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:52,iPhone客户端,,,,浙江,黄V
4845095336282217,MiV8pqmi5,7548180864,奶黄包有咸蛋黄吗,#60岁以上老人是艾滋病增长率最高群体#由百度健康大数据看到的这个数据实属是让我感到很震惊呀，老年人以为没有生育能力就不做措施，这是不对的#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:50,iPhone客户端,,,,浙江,普通用户
4845094915801474,MiV7Jolea,6781286207,-雨都停了,#60岁以上老人是艾滋病增长率最高群体#虽然没有生育能力了，但是措施还是要做的，通过百度的健康大数据知道老人是患病最高群体我感到很震惊#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:48,iPhone客户端,"https://wx2.sinaimg.cn/large/007oVAjZgy1h8ykkrewd3j31jk2i8e0z.jpg,https://wx2.sinaimg.cn/large/007oVAjZgy1h8ykkprioej31jk2i8qdn.jpg",,,浙江,普通用户
4845094630590307,MiV7h2tz5,6264240195,暂未知目的地,#60岁以上老人是艾滋病增长率最高群体#通过百度的健康大数据，才知道原来今年的艾滋病搜索热度居然比往年增长近三成呢！#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,1,2022-12-10 11:47,iPhone客户端,,,,浙江,普通用户
4845094290858759,MiV6J3BoX,7465352839,刘亦菲远房表姐,#60岁以上老人是艾滋病增长率最高群体#百度健康大数据确实是可以让我们了解到一些关于艾滋病增长率的一些最高群体#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:45,iPhone客户端,https://wx1.sinaimg.cn/large/0089dRiLgy1h8yki79yl3j31jk2i8e12.jpg,,,浙江,普通用户
4845094060951948,MiV6m3ZE0,7364150947,樱花开了你知道吗,#60岁以上老人是艾滋病增长率最高群体#实属是让我感到很震惊呀，老人以为没有生育能力了，性生活不做措施，所以说就比较容易患上艾滋病。这也是百度的健康大数据得来的数据#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:45,iPhone 13,,,,浙江,普通用户
4845093221309817,MiV505uK5,7759147105,眨巴又眨巴,#60岁以上老人是艾滋病增长率最高群体#看了这个百度的健康大数据才知道，原来60岁以上的老人居然是艾滋病增长率的最高群体#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-10 11:41,iPhone客户端,,,,浙江,普通用户
4844884076529157,MiPDFrowZ,2650980971,达州司法,【警惕！“杀猪盘”诈骗盯上单身老年人】“黄昏恋”骗局是“杀猪盘”的一种，犯罪分子利用单身老人情感缺失、生活孤独的特点，通过网络或短信交友发展为“恋爱关系”，编造各种理由索要钱财后拉黑消失。特别提醒：老年人网络交友要更加谨慎，只要涉及钱款，一定要多和家人朋友商量。#60岁以上老人是艾滋病增长率最高群体#（CCTV今日说法）LCCTV今日说法的微博视频,,,,60岁以上老人是艾滋病增长率最高群体,0,6,5,2022-12-09 21:50,微博视频号,,"http://f.video.weibocdn.com/o0/SmgsBPbylx081pFPZj2g01041202Q6iV0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727550039&ssig=atztv%2FKZx2&KID=unistore,video",,,蓝V
4844819173615308,MiNWZfavq,2525235360,百度,我国艾滋病感染者达114万，早预防、早发现、早诊断、早治疗才能最大程度降低艾滋病风险。百度健康联合杰士邦发起《2022艾滋病大数据报告》，最关注艾滋病的省份是广东？#60岁以上老人是艾滋病增长率最高群体#？了解艾才不怕艾。#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,3,4,2022-12-09 17:32,微博 weibo.com,"https://wx1.sinaimg.cn/large/968408a0ly1h8xov84dutj20go7ittz7.jpg,https://wx3.sinaimg.cn/large/968408a0ly1h8xov9ofipj20go3bagz9.jpg,https://wx3.sinaimg.cn/large/968408a0ly1h8xovbkvyxj20go3go14y.jpg,https://wx2.sinaimg.cn/large/968408a0ly1h8xovdbnyzj20go4woaqn.jpg",,,北京,蓝V
4844769459051293,MiMENBYEB,3200249237,法治新都,【警惕！“杀猪盘”诈骗盯上单身老年人】“黄昏恋”骗局是“杀猪盘”的一种，犯罪分子利用单身老人情感缺失、生活孤独的特点，通过网络或短信交友发展为“恋爱关系”，编造各种理由索要钱财后拉黑消失。特别提醒：老年人网络交友要更加谨慎，只要涉及钱款，一定要多和家人朋友商量。#60岁以上老人是艾滋病增长率最高群体#（CCTV今日说法）LCCTV今日说法的微博视频,,,,60岁以上老人是艾滋病增长率最高群体,0,2,2,2022-12-09 14:15,微博视频号,,"http://f.video.weibocdn.com/o0/SmgsBPbylx081pFPZj2g01041202Q6iV0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1727550049&ssig=DCZPuLF5l3&KID=unistore,video",,,蓝V
4844745190806826,MiM1F3nTk,7764837826,嚣张烈火君,#60岁以上老人是艾滋病增长率最高群体#听到这个数据，我觉得也是非常的触目惊心了，不管怎么说一定要好好注意#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:38,iPhone客户端,,,,广东,普通用户
4844744938883934,MiM1fBh7g,7743926049,甜美美草莓,#60岁以上老人是艾滋病增长率最高群体#某人不做安全措施，可能就是因为觉得自己已经没有生育能力，其实我觉得就是很错误的#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:37,iPhone客户端,,,,广东,普通用户
4844744770846948,MiM0Z3yks,7732434777,满天繁星叫你倾心,#60岁以上老人是艾滋病增长率最高群体#我认为的群体可能就是老人吧，他们对于这方面不太了解，而且很多空巢老人都没人跟他们说#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:37,vivo S9 极夜柔光自拍,,,,湖南,普通用户
4844744674646959,MiM0PjuSX,7736954630,甜辣酱红果,#60岁以上老人是艾滋病增长率最高群体#像这样子难以启齿的事情就非常的需要漫画这种东西了#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:36,iPhone客户端,https://wx2.sinaimg.cn/large/008rBtkOgy1h8xgcoynmaj30u01cq11d.jpg,,,广东,普通用户
4844744175788024,MiM01ohJe,7791705644,秉间清浊,#60岁以上老人是艾滋病增长率最高群体#真的没有想到现在艾滋病的发病率，居然是在老人的群体，真的是让我觉得非常的惊讶#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:34,iPhone客户端,,,,广东,普通用户
4844744029505492,MiLZMDSOo,7731723418,小猪梦幻岛屿,#60岁以上老人是艾滋病增长率最高群体#我觉得很多的空巢老人，都要我们一定的关心和爱，这样子让他们知道其中的厉害#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:34,vivo S9 极夜柔光自拍,https://wx4.sinaimg.cn/large/008rfwsqgy1h8xga0n1ooj30sg16xdkn.jpg,,,湖南,普通用户
4844743911287059,MiLZB5oP1,7774262561,火山泥很好用,#60岁以上老人是艾滋病增长率最高群体#这个时候就非常的需要我们能够给予空巢老人更多的关心和关注的#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:33,iPhone客户端,,,,广东,普通用户
4844743902892880,MiLZAc8zm,2936731391,想吃猪猪南,#60岁以上老人是艾滋病增长率最高群体#老人其实是很需要我们关心的一个群体，很多时候他们都只是因为耐不住寂寞，没人去关心他们#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:33,Android,,,,湖南,普通用户
4844734697184695,MiLKJu94b,7794500367,海的那头有星星,#60岁以上老人是艾滋病增长率最高群体#增长的的确是很高，所以作为子女也要多加注意这方面，及时提醒这个#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 11:57,小米11,,,,福建,普通用户
4844743730660067,MiLZj2LIf,7740000133,我爱豆啥时候发歌,#60岁以上老人是艾滋病增长率最高群体#我们确实应该多做做这方面的科普，让更多的老人知道要注意措施才行呀#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:32,vivo S9 极夜柔光自拍,https://wx1.sinaimg.cn/large/008rOfBPgy1h8xg8s8jcwj30u01cp41b.jpg,,,湖南,普通用户
4844734616703154,MiLKBs7No,7772796749,姬泱-,#60岁以上老人是艾滋病增长率最高群体#其实会出现这样的原因，我感觉还是因为老人们没有人陪着，自己一个人在家难免会觉得孤单，这位儿女还是要多陪伴一下空巢老人。#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 11:56,iPhone客户端,,,,山东,普通用户
4844743542972391,MiLZ0ctfN,2665075287,大不倒翁先生,#60岁以上老人是艾滋病增长率最高群体#艾滋病现在的发病率实在是太高了呀，而且很多都是老人宣传的不够到位#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 12:32,Android,"https://wx1.sinaimg.cn/large/9ed9d257gy1h8xg7zvvigj20sg16xdkn.jpg,https://wx3.sinaimg.cn/large/9ed9d257gy1h8xg80fb0hj20qo0yt7as.jpg",,,湖南,普通用户
4844734595731986,MiLKzo39o,7775488076,蝴蝶穿过了大海n,#60岁以上老人是艾滋病增长率最高群体#老人是比较脆弱的一个群体，这个群体其实他们都不太懂了，因为他们的年龄都很大#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 11:56,vivo S9 极夜柔光自拍,,,,湖南,普通用户
4844734478555337,MiLKnzTDj,7730485914,葛拉蒂蒂蒂蒂,#60岁以上老人是艾滋病增长率最高群体#我觉得其实老人需要我们很多的关心的，特别是要跟他们宣传一下这方面的一些知识#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 11:56,Android,,,,湖南,普通用户
4844734473834512,MiLKng5wY,7794646376,懒羊羊超级懒_,#60岁以上老人是艾滋病增长率最高群体#所以也要多加注意老人这个群体，毕竟看上去的确很脆弱，发病率也是很高的#2022年艾滋病搜索热度同比增长近三成#,,,,"60岁以上老人是艾滋病增长率最高群体,2022年艾滋病搜索热度同比增长近三成",0,0,0,2022-12-09 11:56,小米11,,,,福建,普通用户
