id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4564733187070813,Jra0mtFrn,2647971081,燕赵晚报,【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。L时间视频的微博视频,,,,68岁退休教师义务为老人修脚11年,0,0,1,2020-10-27 20:11,微博视频号,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,蓝V
4564670159520582,Jr8mHDWJM,2054900587,农民频道,【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。@时间视频L时间视频的微博视频,,,时间视频,68岁退休教师义务为老人修脚11年,0,0,2,2020-10-27 16:00,微博视频号,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,蓝V
4563919143701040,JqOPofwOc,1937998434,绿色蒲江,【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。@时间视频L时间视频的微博视频,,,时间视频,68岁退休教师义务为老人修脚11年,55,13,12,2020-10-25 14:16,iPhone客户端,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,
4564582846431652,Jr65SqZak,3276806652,蒲江工会,【#68岁退休教师义务为老人修脚11年#】,,,,68岁退休教师义务为老人修脚11年,0,0,12,2020-10-27 10:13,360安全浏览器,,,4563919143701040,,蓝V
4563915596637419,JqOJFrQH9,6008483913,山西政法,【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。@时间视频L时间视频的微博视频,,,时间视频,68岁退休教师义务为老人修脚11年,10,5,4,2020-10-25 14:02,iPhone客户端,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,
4564568930779750,Jr5Jr3gQC,7341041562,朔城政法,转发微博//@朔州政法:【#68岁退休教师义务为老人修脚11年#】,,,朔州政法,68岁退休教师义务为老人修脚11年,0,0,4,2020-10-27 09:18,微博 weibo.com,,,4563915596637419,,蓝V
4564558285376410,Jr5sgmyEi,3858370289,济南吃喝玩乐榜,#济南身边事#【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。via：L时间视频的微博视频,,,,"济南身边事,68岁退休教师义务为老人修脚11年",194,158,313,2020-10-27 08:36,微博视频号,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,黄V
4564404047186701,Jr1ruu9Ax,1450922293,山阴政法,//@朔州政法:【#68岁退休教师义务为老人修脚11年#】,,,朔州政法,68岁退休教师义务为老人修脚11年,0,0,4,2020-10-26 22:23,iPhone客户端,,,4563915596637419,,蓝V
4564332329045220,JqZzOBX4E,6926025407,应县政法0,//@朔州政法:【#68岁退休教师义务为老人修脚11年#】,,,朔州政法,68岁退休教师义务为老人修脚11年,0,0,4,2020-10-26 17:38,iPhone客户端,,,4563915596637419,,蓝V
4564314328138716,JqZ6My9fC,5488744088,蒙阴县人民检察院,【#68岁退休教师义务为老人修脚11年#】近日，山东济南。68岁退休教师刘跃义务为老人修脚11年，跑遍30多家老年公寓、敬老院，服务上万人次。刘跃称，父母去世早，一直把老姨当母亲看待，因老姨有灰指甲，他就自学为老姨修脚，他说看着老人们就会想起自己的父母和老姨。@时间视频L时间视频的微博视频,,,时间视频,68岁退休教师义务为老人修脚11年,0,1,1,2020-10-26 16:26,微博视频号,,"http://f.video.weibocdn.com/BaAVBN1Jlx07HtEgvtRS01041200IYL40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724988915&ssig=KhnAYwFQgd&KID=unistore,video",,,蓝V
