id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4770171795017852,Ltrujl3n6,7282069309,腾祺咨询,发布了头条文章：《当年为“入狱养老”持刀抢劫的69岁老人，如今他过得怎么样？》#入狱养老##老人为入狱养老抢劫##69岁老人为入狱养老抢劫##养老金##保险#O当年为“入狱养老”持刀抢劫的69岁老人，如今他过得怎么样？,http://t.cn/A6XJa55N,,,"入狱养老,老人为入狱养老抢劫,69岁老人为入狱养老抢劫,养老金,保险",0,0,0,2022-05-17 17:50,微博 weibo.com,,,,,普通用户
4770171119472279,LtrtdDKaH,6004911758,腾祺顾问服务深圳有限公司,发布了头条文章：《当年为“入狱养老”持刀抢劫的69岁老人，如今他过得怎么样？》#入狱养老##老人为入狱养老抢劫##69岁老人为入狱养老抢劫##养老金##保险#O当年为“入狱养老”持刀抢劫的69岁老人，如今他过得怎么样？,http://t.cn/A6XJaLG3,,,"入狱养老,老人为入狱养老抢劫,69岁老人为入狱养老抢劫,养老金,保险",0,0,0,2022-05-17 17:48,微博 weibo.com,,,,,普通用户
4576879199915563,JwfYHFBur,1112516777,秋意江湖,#入狱养老##69岁老人为入狱养老抢劫#L秋意江湖的微博视频,,深圳,,"入狱养老,69岁老人为入狱养老抢劫",0,0,0,2020-11-30 08:34,微博视频号,,"http://f.video.weibocdn.com/003zWzAegx07IoQPTwZV01041200fhh70E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001328&ssig=q5a9WqoQpV&KID=unistore,video",,,普通用户
4576553327919105,Jw7v6xe7v,3984773898,用户3984773898,#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽…L律师咨询-高胜法律咨询的微博视频,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,1,2020-11-29 11:00,微博视频号,,"http://f.video.weibocdn.com/cflMLV3Mlx07IfZo13xm0104120166ac0E010.mp4?label=mp4_hd&template=854x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001328&ssig=bI0EAcu20p&KID=unistore,video",,,普通用户
4575199707795016,JvyhQwHQ4,6619289680,定西交通广播,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……（梨视频）L风声视频的微博视频,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,0,2020-11-25 17:21,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001328&ssig=9Yo5DpfZ6%2F&KID=unistore,video",,,蓝V
4575066039783049,JvuOfF317,2649687620,恩施达人会,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,恩施市,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,0,2020-11-25 08:30,iPhone客户端,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001328&ssig=9Yo5DpfZ6%2F&KID=unistore,video",,,蓝V
4574735113391199,JvmcveecL,6004281123,梨视频,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",149,192,699,2020-11-24 10:35,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001328&ssig=9Yo5DpfZ6%2F&KID=unistore,video",,,
4574936456236643,Jvrrfqar1,2637745350,胡芳芳LucyHu,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫##职业体验师##lucyhu的问答##lucyhu#,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫,职业体验师,lucy hu的问答,lucy hu",0,0,699,2020-11-24 23:55,,,,4574735113391199,,普通用户
4574880298700809,JvpYFAvtD,2167406082,小强热线-浙江教科,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",6,3,10,2020-11-24 20:12,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,蓝V
4574831439530480,JvoHRDZjq,3928702141,铜梁法院,#铜法播报#【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……#雪中的中国是什么样子#@风声视频L风声视频的微博视频,,,风声视频,"铜法播报,为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫,雪中的中国是什么样子",0,0,0,2020-11-24 16:57,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,蓝V
4574792629884525,JvnHgFtpP,2248834985,四川魏静,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……（风声视频）L风声视频的微博视频#迷惑行为#,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫,迷惑行为",0,0,0,2020-11-24 14:23,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,红V
4574775357214437,JvnfpugNT,1974561081,网易财经,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽…L风声视频的微博视频,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",6,8,23,2020-11-24 13:15,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,蓝V
4574771587058060,Jvn9ktC7G,2076255252,931郑州经济广播,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽…L风声视频的微博视频,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",1,0,2,2020-11-24 13:00,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,蓝V
4574743480768585,Jvmq03dWx,1267454277,凤凰周刊,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",30,47,110,2020-11-24 11:08,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,
4574744714675624,JvmrZjCli,1589147860,马延明,#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼#69岁老人为入狱养老抢劫#,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",4,2,110,2020-11-24 11:13,,,,4574743480768585,,金V
4574743950794257,JvmqL3kCB,5501668108,平阴检察,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,0,2020-11-24 11:10,微博视频号,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001329&ssig=A3169uvGXE&KID=unistore,video",,,蓝V
4574741811174635,Jvmnj4VzJ,1097019341,安徽交通广播,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",1,0,0,2020-11-24 11:01,908小编的iPhone 11,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001331&ssig=LPlTG6XcYr&KID=unistore,video",,,蓝V
4574741731480837,Jvmnb6det,3906564923,邵阳市洞口县法院,#法治微新闻#【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……#雪中的中国是什么样子#@风声视频L风声视频的微博视频,,,风声视频,"法治微新闻,为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫,雪中的中国是什么样子",0,12,11,2020-11-24 11:01,iPhone客户端,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001331&ssig=LPlTG6XcYr&KID=unistore,video",,,蓝V
4574741186745443,JvmmisiNt,5475670809,济阳检察,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……#雪中的中国是什么样子#@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫,雪中的中国是什么样子",9,7,12,2020-11-24 10:59,Android,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001331&ssig=LPlTG6XcYr&KID=unistore,video",,,蓝V
4574740976774087,JvmlXsqft,5938653903,云L冷雨夜,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。他说在监狱里自己心里很宽敞，就是为了来吃饭，“又胖起来了”。他还在监狱中过了70岁生日，有鸡蛋、蜡烛、面条，以前从未有人给他过过生日。如今，他已经出狱十年，靠着国家补贴和侄儿凑的钱，他住进了自己的房子，过上领补助和养老金的生活。80岁的他希望自己能健康一点，他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,1,2020-11-24 10:58,Android,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001331&ssig=LPlTG6XcYr&KID=unistore,video",,,黄V
4574736019627768,JvmdXEoCA,3356940544,南京V法院,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判两年有期徒刑，后提前出狱。出狱十年后，他住进自己的房子，过上领补助和退休金的生活，“对现在的生活很满足”。他还写下了遗书：死后必须请最好的渔鼓班子演奏两晚渔鼓，不准买寿衣鞋帽……@风声视频L风声视频的微博视频,,,风声视频,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,0,2020-11-24 10:38,iPhone客户端,,"http://f.video.weibocdn.com/003Yoo9zgx07IfnuywyP01041202jyly0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001331&ssig=LPlTG6XcYr&KID=unistore,video",,,蓝V
4574735671232808,Jvmdp5aI0,6451572457,逛龙城,【#为入狱养老而抢劫的老人出狱10年#：对现在的生活很满足，留遗嘱节约办葬礼】#69岁老人为入狱养老抢劫#2008年9月，69岁的付达信为了“入狱养老”持刀抢劫未遂，被判入狱两年。,,,,"为入狱养老而抢劫的老人出狱10年,69岁老人为入狱养老抢劫",0,0,699,2020-11-24 10:37,iPhone 12,,,4574735113391199,,黄V
