id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4640354726318012,KgVOgqvBq,3853801153,河北生活榜,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。via:O网页链接,,,,6旬夫妇每天抬老龄松狮上下楼,194,146,285,2021-05-24 12:24,微博视频号,,,,,普通用户
4638197009616247,Kg1G4ElCL,2534616035,凯迪观察,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。（via.漩涡视频）O网页链接,,,,6旬夫妇每天抬老龄松狮上下楼,0,0,1,2021-05-18 13:30,微博 weibo.com,,,,,普通用户
4638131817808654,KfZYVwLo2,1704544512,半岛网,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,0,0,3,2021-05-18 09:11,微博视频号,,,,,蓝V
4638096329801790,KfZ3GF7To,6469061585,河北大小事,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,0,0,2,2021-05-18 06:49,微博视频号,,,,,黄V
4638007825007684,KfWKWl0J6,1732028757,SimonRock,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,0,0,1,2021-05-18 00:58,微博 weibo.com,,,,,普通用户
4637995976622972,KfWrPrMW8,7006142514,善良必带刺,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,0,0,0,2021-05-18 00:11,华为手机,,,,,普通用户
4637995728898163,KfWrqBkOL,2414369130,正义南康,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,0,0,1,2021-05-18 00:10,微博轻享版,,,,,蓝V
4637991852574704,KfWlbaNNu,1698784044,三秦都市报,#秦·分享#【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,"秦·分享,6旬夫妇每天抬老龄松狮上下楼",0,0,0,2021-05-17 23:54,微博视频号,,,,,蓝V
4637990662444782,KfWjgafZY,1314608344,新闻晨报,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。@漩涡视频O网页链接,,,漩涡视频,6旬夫妇每天抬老龄松狮上下楼,40,49,268,2021-05-17 23:50,微博视频号,,,,,蓝V
4637967999567913,KfVIHE93b,1685715705,长江云新闻,【#6旬夫妇每天抬老龄松狮上下楼#：一直当孩子养，它现在上楼就喘】5月14日，河北张家口。65岁的退休教师陈女士，家里养了一只松狮犬，今年十岁多了。陈女士表示，女儿在外地工作不在身边，一直把它当孩子养着。狗年纪逐渐大了，上下楼起身都很困难，夫妻两人每天用软担架抬它上下楼。O网页链接,,,,6旬夫妇每天抬老龄松狮上下楼,0,0,1,2021-05-17 22:20,微博视频号,,,,,蓝V
