id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4673282391411867,KuKpp5Vi3,2615417307,凤凰网,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。L凤凰网的微博视频,,,,72岁老人为了生成健康码改名,122,344,5204,2021-08-23 09:06,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,
4678372280500819,KwSOU26hJ,6940045914,共享之家精致养老,#72岁老人为了生成健康码改名#,,,,72岁老人为了生成健康码改名,0,0,5204,2021-09-06 10:12,微博搜索,,,4673282391411867,,蓝V
4673499626737713,KuQ3MsgMN,1558725752,长春太威武,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。L凤凰网的微博视频,,,,72岁老人为了生成健康码改名,0,0,0,2021-08-23 23:30,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,黄V
4673432799937612,KuOjZFHe4,5869722468,北京的流浪汉,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。L凤凰网的微博视频,,,,72岁老人为了生成健康码改名,0,0,0,2021-08-23 19:04,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,黄V
4673419712925663,KuNYTch67,7095861732,莱恩大魔法师,#72岁老人为了生成健康码改名#真造孽,,,,72岁老人为了生成健康码改名,0,0,0,2021-08-23 18:12,iPhone客户端,,,,,普通用户
4673362725180229,KuMuYlJC5,1288429914,今视频长天新闻,#72岁老人为了生成健康码改名#【名字里的生僻字为何成了“拦路虎”？】因名字中含有生僻字在办理社保缴费、户籍迁移、车辆登记等方面备受折腾。但实际上，解决生僻字的苦恼在技术上没那么复杂。你有哪些#因同学名字才知道的生僻字#？L江西卫视的微博视频,,,,"72岁老人为了生成健康码改名,因同学名字才知道的生僻字",1,2,6,2021-08-23 14:26,微博视频号,,"http://f.video.weibocdn.com/001BX2w6gx07PfkqDjSf01041200xMdJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=kOfd36rkfq&KID=unistore,video",,,蓝V
4673308467139847,KuL5stXoP,3198187532,西部法制报,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。L凤凰网的微博视频,,,,72岁老人为了生成健康码改名,0,0,0,2021-08-23 10:50,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,蓝V
4673294601814721,KuKJ67C5H,6219202991,阜城电视台567,【#72岁老人为了生成健康码改名#】,,,,72岁老人为了生成健康码改名,0,0,5204,2021-08-23 09:55,微博网页版,,,4673282391411867,,蓝V
4673292310942547,KuKFp3Xcn,5951561977,陕西1频道,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。L凤凰网的微博视频,,,,72岁老人为了生成健康码改名,0,0,0,2021-08-23 09:46,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,蓝V
4673284970644813,KuKtz2HKd,7670141282,鲁网食品频道,【#72岁老人为了生成健康码改名#】近日，江苏南京。72岁的刘女士求助警方改名。据江苏台报道，由于她的名字中含有生僻字“蘋”，导致无法生成健康码，出门阻碍重重。民警特事特办，当场为刘女士完成修改。@凤凰网L凤凰网的微博视频,,,凤凰网,72岁老人为了生成健康码改名,0,0,0,2021-08-23 09:17,微博视频号,,"http://f.video.weibocdn.com/6SEP5peplx07Pf9WfzxK01041200Lz9s0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004760&ssig=IplmIj2Mpn&KID=unistore,video",,,蓝V
