id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4945941147420219,Njh8Cv8kX,3877613768,爱济南发布,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频,,,,75岁退休老人支摊为居民免费磨刀,0,0,0,2023-09-14 18:35,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945932858426847,NjgVfzmcT,7367840589,晨观视频,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,0,2023-09-14 18:02,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945930072621540,NjgQLaZYU,1828887503,大河网,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,0,2023-09-14 17:51,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945923827305511,NjgGGuEuP,2620088113,大众网,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”O济南爱心集市上的磨刀匠75岁仍在努力发光发热L大众网的微博视频,,,,75岁退休老人支摊为居民免费磨刀,4,10,64,2023-09-14 17:26,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,
4945928522302618,NjgOg9F10,2324704503,不加糖的VC,#75岁退休老人支摊为居民免费磨刀#超有爱心的大爷,,,,75岁退休老人支摊为居民免费磨刀,0,0,64,2023-09-14 17:45,微博搜索,,,4945923827305511,,普通用户
4945928415874469,NjgO5oEdv,6867368137,海报新闻,#75岁退休老人支摊为居民免费磨刀#,,,,75岁退休老人支摊为居民免费磨刀,0,0,64,2023-09-14 17:44,微博搜索,,,4945923827305511,,蓝V
4945925907939905,NjgK2xjwZ,1829407315,蓝媒视频官方微博,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,0,2023-09-14 17:34,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945925324931848,NjgJ6kGZW,7367840589,晨观视频,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,0,2023-09-14 17:32,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945925182065720,NjgIS8Fo4,7105384993,南华视频,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,1,2023-09-14 17:31,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020814&ssig=c2MHyClQah&KID=unistore,video",,,蓝V
4945924529325624,NjgHOD81i,2027773605,大象文娱,【济南爱心集市上的磨刀匠75岁仍在努力发光发热】#75岁退休老人支摊为居民免费磨刀#在济南市天桥区K88名泉广场爱心集市上有位磨刀匠董隆基老人，他今年75岁，退休以后，主动投入到爱心事业中。凭着对磨刀技艺的热爱，董隆基逐渐掌握了这门技能，并免费为居民提供服务。临近中午，董隆基磨完最后一把菜刀，一边拍着腰、一边向记者说道：“退休以后发挥一份余热，方便周围居民的生活。”L大众网的微博视频@大众网,,,大众网,75岁退休老人支摊为居民免费磨刀,0,0,1,2023-09-14 17:29,微博视频号,,"http://f.video.weibocdn.com/o0/7aHBTT5wlx088Ba0MWOc01041200nMdX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020816&ssig=5IbbRZtWbZ&KID=unistore,video",,,蓝V
