id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4973044200112936,NuEde0tny,5236026817,蚌埠校园菌,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,0,0,0,2023-11-28 13:33,蚌埠医学院超话,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500227&ssig=cSyzMUxPV8&KID=unistore,video",,,黄V
4973043561006263,NuEcc4dM3,5236026817,蚌埠校园菌,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,0,0,0,2023-11-28 13:30,蚌埠医科大学超话,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500227&ssig=cSyzMUxPV8&KID=unistore,video",,,黄V
4973042786632772,NuEaWrPuc,3265889527,李大亮是我男神,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,0,0,1,2023-11-28 13:27,北京协和医学院超话,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500227&ssig=cSyzMUxPV8&KID=unistore,video",,,普通用户
4968633325846877,NsNsUox2t,6451746664,FM955大医生来了,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,0,0,0,2023-11-16 09:26,微博视频号,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500242&ssig=5m%2Bv%2B8D6Nu&KID=unistore,video",,,蓝V
4968279263936955,NsEfQgwbh,5809333548,今日合水,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。@医视频L医视频的微博视频,,,医视频,76岁退休医生跪地心肺复苏救活老人,0,0,0,2023-11-15 09:59,微博视频号,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500244&ssig=CoyhhyxBWy&KID=unistore,video",,,蓝V
4967997874897551,NswVZky4L,5326049002,成都医学院团委,成医青年超话#成医团团·医学分享##76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,成都·成都医学院新都校区,,"成医团团·医学分享,76岁退休医生跪地心肺复苏救活老人",0,0,0,2023-11-14 15:20,杜明军iPhone 13,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500244&ssig=CoyhhyxBWy&KID=unistore,video",,,蓝V
4967988827786490,NswHowFCy,5889831705,医视频,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,20,1,21,2023-11-14 14:45,微博视频号,,"http://f.video.weibocdn.com/o0/mCgRBu1jlx08a8phf8zS01041200kwoY0E010.mp4?label=mp4_hd&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725500244&ssig=CoyhhyxBWy&KID=unistore,video",,,红V
4588558696846960,JB9OBsJcQ,5617030362,中国长安网,【#76岁退休医生跪地心肺复苏救活老人#】近日，浙江杭州，83岁吴大伯心跳骤停晕倒路边。76岁包高兴立即跪地为他做心肺复苏，6、7分钟后，吴大伯恢复了心跳。医生表示，得亏了包高兴，才没错过黄金救援时间。包高兴退休前是市一医院胸外科医生，他说“能把病人从死亡边缘拉回来是最欣慰的事。”#点亮平安之星#,,,,"76岁退休医生跪地心肺复苏救活老人,点亮平安之星",82,40,226,2021-01-01 14:05,,"https://wx1.sinaimg.cn/large/00688ubUly1gm85sp1drij60c80gb0td02.jpg,https://wx4.sinaimg.cn/large/00688ubUly1gm85sp970jj60c80gajsc02.jpg,https://wx2.sinaimg.cn/large/00688ubUly1gm85sph7c6j60c80gbgmw02.jpg,https://wx4.sinaimg.cn/large/00688ubUly1gm85spme1yj60c80gb3z302.jpg",,,,
4593229511787427,JD7kb7uZt,6478725896,临沧政法,//@云南政法:医者仁心！#76岁退休医生跪地心肺复苏救活老人#,,,云南政法,76岁退休医生跪地心肺复苏救活老人,0,0,226,2021-01-14 11:25,360安全浏览器,,,4588558696846960,,蓝V
4592830578431967,JCWWJznxt,1591626402,小璐是lucky锦鲤,#76岁退休医生跪地心肺复苏救活老人#医学视频科普：如何完成一次完美的心肺复苏本片由协和医学院博士科普团队与北京联合大学艺术学院数字VR工作室联合制作，由北京急救中心知名资深急救专家贾大成老师做专业指导，是我国首部急救科普三维动画。学会心肺复苏，救人于危难之时。L医视频的微博视频,,,,76岁退休医生跪地心肺复苏救活老人,0,0,0,2021-01-13 09:00,微博 weibo.com,,"http://f.video.weibocdn.com/002FnaMzlx07xqseIxWg01041200jHZT0E010.mp4?label=mp4_ld&template=636x360.24.0&trans_finger=650bf0bf3e410cecd5ab02513803d345&ori=0&ps=1BVp4ysnknHVZu&Expires=1725501521&ssig=UOQn0fkTD1&KID=unistore,video",,,普通用户
