id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5015021174392909,O6iLHiqNn,5846212742,燕赵女性,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-23 09:34,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014762708011919,O6c2OxCgv,5659349251,东营区政务,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-22 16:27,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014406811616427,O62MN6Mvp,3948549952,宁都发布,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-21 16:53,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014395002815242,O62tKbOn8,2701766190,大余发布,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,5,6,7,2024-03-21 16:06,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014394859162265,O62tvCrwt,3882593506,寻乌发布,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-21 16:06,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014099589337576,O5UNgDb84,2346031615,太原新闻网官方微博,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-20 20:32,iPhone客户端,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014098444552552,O5ULqj6kg,1865504713,太原晚报,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,1,2024-03-20 20:28,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014077543287234,O5UdIdN9U,2532292007,赤峰日报,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,22,12,3,2024-03-20 19:05,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5014077388883724,O5UdsBh3S,2606218210,中国妇女报,【#78岁老人健身压一字马惊呆路人#】近日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：又是上不如老的一天。L中国妇女报的微博视频,,,,78岁老人健身压一字马惊呆路人,3,5,36,2024-03-20 19:04,微博视频号,,"http://f.video.weibocdn.com/o0/EwNBGXIhlx08dqWkyZeU01041200aB2E0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=KYmogtcrC1&KID=unistore,video",,,蓝V
5013705817329320,O5Ky9uKGQ,3708937547,湖南事儿,【#78岁老人健身压一字马惊呆路人#】3月16日，湖南永州。78岁老人公园健身压一字马，全程轻松自如惊呆路人。网友：真上不如老，下不如小。（剪辑刘文）L三湘都市报的微博视频,,,,78岁老人健身压一字马惊呆路人,0,0,0,2024-03-19 18:28,微博视频号,,"http://f.video.weibocdn.com/o0/1vYpWSFMlx08dnVsZ2dG01041200ffR40E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015386&ssig=s%2FKPzpsZD9&KID=unistore,video",,,红V
