id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4709690585386930,L445YmBnY,6524418589,遇见美好,#遇见美好#【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。L白鹿视频的微博视频,,,,"遇见美好,7旬空巢老人因郁闷找民警唠嗑",0,0,2,2021-12-01 20:20,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,蓝V
4709530737576631,L3ZW9vN1J,5465305079,枣庄市中区检察院,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】近日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。L枣庄市中区检察院的微博视频,,,,7旬空巢老人因郁闷找民警唠嗑,0,4,3,2021-12-01 09:44,微博视频号,,"http://f.video.weibocdn.com/o0/gW9fVGYUlx07ROHB5oZ2010412008YKo0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=LcKyc9mvou&KID=unistore,video",,,蓝V
4709329686498980,L3UHSrgGg,3515267842,一点资讯,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,7旬空巢老人因郁闷找民警唠嗑,0,2,1,2021-11-30 20:25,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,蓝V
4709320900481290,L3UtI21cK,1644855075,华商网,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,7旬空巢老人因郁闷找民警唠嗑,1,0,9,2021-11-30 19:51,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,蓝V
4709263023278478,L3SYmdKSG,6141086679,极目视频,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。（白鹿视频）L白鹿视频的微博视频,,,,7旬空巢老人因郁闷找民警唠嗑,0,1,1,2021-11-30 16:01,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,蓝V
4709251660382943,L3SG21BCv,6512618863,千里眼西安,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,7旬空巢老人因郁闷找民警唠嗑,0,0,0,2021-11-30 15:15,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,黄V
4709251517778483,L3SFNwDxp,5379286126,西安新鲜事,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。L白鹿视频的微博视频,,,,7旬空巢老人因郁闷找民警唠嗑,0,0,0,2021-11-30 15:15,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,黄V
4709251337684829,L3SFvwfaR,7455552984,北方暖视频,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。L白鹿视频的微博视频,,,,7旬空巢老人因郁闷找民警唠嗑,0,0,0,2021-11-30 15:14,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,蓝V
4709251165719212,L3SFenZPm,7562542062,西安小记,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,7旬空巢老人因郁闷找民警唠嗑,0,0,0,2021-11-30 15:13,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,黄V
4709251018915967,L3SEZBprV,5603229773,记录西安城,【关爱老人！#7旬空巢老人因郁闷找民警唠嗑#】11月24日，安徽淮南。一位七旬老人来到派出所，既不报警也不求助，只求在派出所多待一会儿。原来老人独居，儿子在外工作很少回家，最近诸事不顺，放在家里的钱也找不到了，心中郁闷。路过派出所时看到里面“人气爆棚”，就进来“凑个热闹”，和民警聊聊天。民警安慰老人后，因时间较晚，所以驱车将其送回家中。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,7旬空巢老人因郁闷找民警唠嗑,0,0,0,2021-11-30 15:13,微博视频号,,"http://f.video.weibocdn.com/o0/vS6WMUrclx07RNohtByo0104120091Qk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017650&ssig=3ItfX%2B7m2U&KID=unistore,video",,,黄V
