id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4983957848856583,Nze7SBa07,7365095516,赣州蓉江新区,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。（潮新闻）L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 16:20,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983950313260021,NzdVJdG4Z,1974808274,网易新闻客户端,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。@点时新闻L点时新闻的微博视频,,,点时新闻,7旬老人因颈椎病一天晕倒数十次,0,0,3,2023-12-28 15:50,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983949955171005,NzdV9lHdj,7365095516,赣州蓉江新区,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,3,0,3,2023-12-28 15:48,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983943646416586,NzdKYqVfk,1828887503,大河网,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 15:23,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983942849759664,NzdJGEWVW,3229962754,陕视新闻,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 15:20,Android,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983941604051285,NzdHGgZVj,7308140398,大象新闻,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,4,0,6,2023-12-28 15:15,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983940286253591,NzdFyqeQn,1924842983,湖北经视,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 15:10,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983940034596764,NzdF9jhPm,1647210043,百姓关注,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,8,0,2023-12-28 15:09,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,蓝V
4983939254717617,NzdDTjNgB,5821025486,刻度视频,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 15:06,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,普通用户
4983939233744766,NzdDRfIbs,5159145727,联动视频,【#7旬老人因颈椎病一天晕倒数十次#】近日，浙江杭州，70岁的徐大爷一咳嗽就晕倒，而且每年都要发作十几次，经常摔得鼻青脸肿，严重影响生活。直到在临平区中西医结合医院就医时，心内科主任张医生发现，徐大爷直立行走或者跑步时咳嗽均未曾晕厥，而坐位或者平卧时扭头咳嗽剧烈反复晕厥。经检查，徐大爷的晕厥和颈椎病有关，并找到晕厥的元凶“寰枢关节不稳”。在进行针对性治疗后，徐大爷当天就不再晕厥。三次治疗后，徐大爷的晕厥症状完全消失并出院。L点时新闻的微博视频,,,,7旬老人因颈椎病一天晕倒数十次,0,0,0,2023-12-28 15:06,微博视频号,,"http://f.video.weibocdn.com/o0/mJSiUtdelx08bitgBOIE010412006hcY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015472&ssig=v1J7HyDEzO&KID=unistore,video",,,普通用户
