id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4681671406781396,KygE4ss9m,1793254175,轶夫当观,轶夫当观超话【#7旬老人患上天下第一痛怪病#十几年来备受折磨】河南70多岁的秦阿姨十几年来一直被三叉神经痛折磨着。一些女患者说，这种病发作起来比生孩子还痛。据郑州大学附属郑州中心医院医生介绍，三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。反反复复，很容易复发。几天前，秦阿姨在郑州大学附属郑州中心医院做了手术，多年来的痛苦终于得到了解决。L都市报道的微博视频,,,,7旬老人患上天下第一痛怪病,0,0,0,2021-09-15 12:41,轶夫当观超话,,"http://f.video.weibocdn.com/H4AD11nNlx07PONEY71K01041200S18G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013198&ssig=QnpB9l18yb&KID=unistore,video",,,黄V
4681670652071657,KygCR8GVP,2752375765,AI孙国英,【#7旬老人患上天下第一痛怪病#十几年来备受折磨】河南70多岁的秦阿姨十几年来一直被三叉神经痛折磨着。一些女患者说，这种病发作起来比生孩子还痛。据郑州大学附属郑州中心医院医生介绍，三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。反反复复，很容易复发。几天前，秦阿姨在郑州大学附属郑州中心医院做了手术，多年来的痛苦终于得到了解决。#郑州大学#L都市报道的微博视频,,郑州·中科院计算技术研究所大数据研究院院士办公室,,"7旬老人患上天下第一痛怪病,郑州大学",0,0,0,2021-09-15 12:38,微博视频号,,"http://f.video.weibocdn.com/H4AD11nNlx07PONEY71K01041200S18G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013198&ssig=QnpB9l18yb&KID=unistore,video",,,黄V
4681446621450253,KyaNw65hb,2763253523,2763253523_399,#华星卫视新闻##华星法援##正能量#【#7旬老人患上天下第一痛怪病#十几年来备受折磨】河南70多岁的秦阿姨十几年来一直被三叉神经痛折磨着。一些女患者说，这种病发作起来比生孩子还痛。据郑州大学附属郑州中心医院医生介绍，三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。反反复复，很容易复发。几天前，秦阿姨在郑州大学附属郑州中心医院做了手术，多年来的痛苦终于得到了解决。L都市报道的微博视频,,,,"华星卫视新闻,华星法援,正能量,7旬老人患上天下第一痛怪病",0,0,0,2021-09-14 21:48,华星卫视Android,,"http://f.video.weibocdn.com/H4AD11nNlx07PONEY71K01041200S18G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013198&ssig=QnpB9l18yb&KID=unistore,video",,,普通用户
4681396293734429,Ky9ulfFuJ,3316714211,人民网河南频道,【#7旬老人患上天下第一痛怪病#十几年来备受折磨】河南70多岁的秦阿姨十几年来一直被三叉神经痛折磨着。一些女患者说，这种病发作起来比生孩子还痛。据郑州大学附属郑州中心医院医生介绍，三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。反反复复，很容易复发。几天前，秦阿姨在郑州大学附属郑州中心医院做了手术，多年来的痛苦终于得到了解决。L都市报道的微博视频,,,,7旬老人患上天下第一痛怪病,1,1,1,2021-09-14 18:28,微博视频号,,"http://f.video.weibocdn.com/H4AD11nNlx07PONEY71K01041200S18G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013198&ssig=QnpB9l18yb&KID=unistore,video",,,蓝V
4681379952987644,Ky93ZcxdO,1708877153,都市报道,【#7旬老人患上天下第一痛怪病#十几年来备受折磨】河南70多岁的秦阿姨十几年来一直被三叉神经痛折磨着。一些女患者说，这种病发作起来比生孩子还痛。据郑州大学附属郑州中心医院医生介绍，三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。反反复复，很容易复发。几天前，秦阿姨在郑州大学附属郑州中心医院做了手术，多年来的痛苦终于得到了解决。L都市报道的微博视频,,,,7旬老人患上天下第一痛怪病,57,9,232,2021-09-14 17:23,微博视频号,,"http://f.video.weibocdn.com/H4AD11nNlx07PONEY71K01041200S18G0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013198&ssig=QnpB9l18yb&KID=unistore,video",,,
4681393492461346,Ky9pPakj8,2009921722,花-非-华,#7旬老人患上天下第一痛怪病#医学的力量!感谢这些医护工作者的付出!让一些患者不再痛苦,,,,7旬老人患上天下第一痛怪病,0,0,232,2021-09-14 18:17,Note 9 Pro 一亿像素,,,4681379952987644,,黄V
4681392405612393,Ky9o4ny2t,5105602091,没头脑gou,#7旬老人患上天下第一痛怪病#70多岁的老人十几年都这样，看着真心疼，能治好太好了,,,,7旬老人患上天下第一痛怪病,0,0,232,2021-09-14 18:13,Note 9 Pro 一亿像素,,,4681379952987644,,普通用户
4681391352057423,Ky9mn8Def,2732857232,王点晨点,【#7旬老人患上天下第一痛怪病#这种病发作起来比生孩子还痛，有这种病的患者太难了，能治好就是好消息！,,,,7旬老人患上天下第一痛怪病,0,0,232,2021-09-14 18:08,HUAWEI nova手机,,,4681379952987644,,黄V
4681388710429915,Ky9i71NQ7,6379437106,阿崔崔的崔,#7旬老人患上天下第一痛怪病#三叉神经痛被称为“天下第一痛”，表现为面部针刺、电击，甚至有人形容他是刀割一样。,,,,7旬老人患上天下第一痛怪病,0,0,232,2021-09-14 17:58,华为手机,,,4681379952987644,,黄V
4681386991291832,Ky9fl5q40,6414207409,不染一尘23,#7旬老人患上天下第一痛怪病#难以想象是何种折磨，起这个名字相必发作期是相当难受。,,,,7旬老人患上天下第一痛怪病,0,0,232,2021-09-14 17:51,HUAWEI nova手机,,,4681379952987644,,黄V
