id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5052668513092517,Om69dcYvj,3911200331,陇南两当县法院,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。@荔枝新闻L荔枝新闻的微博视频,,,荔枝新闻,7旬老人练普拉提腰椎骨折起诉健身房,1,5,1,2024-07-05 06:51,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5052000109070652,OlOL8C3GQ,3237437267,城阳检察,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,7旬老人练普拉提腰椎骨折起诉健身房,0,1,1,2024-07-03 10:35,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051730844714911,OlHKQjMyX,3860033349,潍坊市中级人民法院,#案件速递#【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,"案件速递,7旬老人练普拉提腰椎骨折起诉健身房",0,0,0,2024-07-02 16:45,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051714797309434,OlHkXuFw6,5130739391,青州检察院,#案件速递#【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与...展开L荔枝新闻的微博视频,,,,"案件速递,7旬老人练普拉提腰椎骨折起诉健身房",2,1,2,2024-07-02 15:42,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051611417937091,OlEEdxiNB,3460580442,北仑检察,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,7旬老人练普拉提腰椎骨折起诉健身房,0,0,1,2024-07-02 08:51,iPhone,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051609360893695,OlEAU3Kur,6285362680,潍坊市人民检察院,#案件速递#【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,"案件速递,7旬老人练普拉提腰椎骨折起诉健身房",0,0,3,2024-07-02 08:43,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051606111881913,OlEvF7Tzr,5501668108,平阴检察,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,7旬老人练普拉提腰椎骨折起诉健身房,0,0,0,2024-07-02 08:30,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051513444238761,OlC6chMH7,3909061653,淄博中院,#案件速递#【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,"案件速递,7旬老人练普拉提腰椎骨折起诉健身房",0,0,0,2024-07-02 02:22,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051391376621859,OlyVjrMEb,5699428525,临潼检察,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,7旬老人练普拉提腰椎骨折起诉健身房,0,0,0,2024-07-01 18:16,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
5051390492414862,OlyTTa8do,5070663715,景泰检察,【#7旬老人练普拉提腰椎骨折起诉健身房#法院：健身房存在过错】2021年年底，年近7旬的方女士在健身房推销人员的游说下，购买了8万元的普拉提一对一私教训练课，每节课200多元。在上完第二次私教课后，方女士感到弯腰困难，疼痛难忍，去医院检查后发现，腰椎已经骨折了。此后，方女士多次与健身房协商赔偿事宜无果，于是将健身房告上法庭。法院审理认为，多方证据表明，方女士在健身房进行普拉提运动与腰椎骨折存在因果关系。健身机构没有考虑到老年人的身体特点，安排的训练强度和种类导致了老年人身体受伤，应当进行赔偿。最终，法院判决健身房赔偿医药费、护理费、营养费等共计4.3万多元。同时，方女士还向法院起诉解除私教合同，法院也予以了支持。L荔枝新闻的微博视频,,,,7旬老人练普拉提腰椎骨折起诉健身房,2,1,8,2024-07-01 18:13,微博视频号,,"http://f.video.weibocdn.com/o0/9F72Ttt6lx08g0IWipLa01041200Otva0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002167&ssig=wOgJIO%2B1HF&KID=unistore,video",,,蓝V
