id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4520919001870025,J8Mck7QtH,1909377960,起点新闻,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能办个展览，供大家参观。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频,,,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",4,1,9,2020-06-28 22:29,微博视频号,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,蓝V
4520862055296654,J8KItmdTU,7126605018,各界新闻网官微,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能办个展览，供大家参观。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频L搜狐千里眼的微博视频,,,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,0,0,2020-06-28 18:42,微博视频号,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,蓝V
4520862039248050,J8KIrCNQ6,3804173419,各界导报社官微,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能办个展览，供大家参观。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频L搜狐千里眼的微博视频,,,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,0,0,2020-06-28 18:42,微博视频号,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,蓝V
4520861536034203,J8KHDpjLR,1650414555,西部网,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能办个展览，供大家参观。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频,,,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",1,0,2,2020-06-28 18:40,微博视频号,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,蓝V
4520553615064481,J8CGZlfvb,6997104188,南昌交通行,#交通行·分享#【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频,,,搜狐千里眼,"交通行·分享,7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,0,1,2020-06-27 22:17,iPhone客户端,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,黄V
4520506617092007,J8BtbtKXd,3241646494,指尖西安,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。#西安爆料#L搜狐千里眼的微博视频,,,,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,0,1,2020-06-27 19:10,iPhone客户端,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,黄V
4520505070323618,J8BqH1mbE,1891503444,西安日报,#西安身边事#【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"西安身边事,7旬老人退休10年雕刻70余件树根拐杖",0,1,0,2020-06-27 19:04,iPhone客户端,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,蓝V
4520480881187048,J8ANG4YNW,5748840149,安家在西咸,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频,,,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,0,0,2020-06-27 17:28,微博视频号,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,普通用户
4520473403370072,J8ABCe8I0,5577020472,大西安那点事儿,【#西安#手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。@搜狐千里眼L搜狐千里眼的微博视频,,咸阳,搜狐千里眼,"西安,7旬老人退休10年雕刻70余件树根拐杖",0,0,1,2020-06-27 16:58,Android,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020061&ssig=h4YGOZVWYX&KID=unistore,video",,,黄V
4520466440490731,J8Aqo23F1,1367679907,话说三秦,【手艺人！#7旬老人退休10年雕刻70余件树根拐杖#老人：退休生活的消遣】6月26日，陕西西安。76岁的黄永才老人在10年前，为了丰富自己的退休生活，开始雕刻拐杖。经过10年间的努力，他创作出6大类、70多根雕刻的拐杖，包含250余个形象，不仅很实用性，而且具有一定的艺术性。老人称希望能半个展览，供大家展览。@搜狐千里眼#西安爆料#L搜狐千里眼的微博视频,,西安,搜狐千里眼,"7旬老人退休10年雕刻70余件树根拐杖,西安爆料",0,6,1,2020-06-27 16:30,iPhone X,,"http://f.video.weibocdn.com/9ab6BCiylx07EorXXJjO010412017ZsR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020063&ssig=nRBBuYOqz5&KID=unistore,video",,,黄V
