id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4944655529279675,NiJH2CW4b,1319297121,lotus_anan,本周热读超话【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。（新浪视频）L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-11 05:26,本周热读超话,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,黄V
4942218776285542,NhIiNqn9I,6072764811,生活在深圳,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-04 12:04,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,黄V
4942218216082077,NhIhTpwe1,5242835172,新浪深圳,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,2,0,2023-09-04 12:01,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
4941940859339352,NhB4xDbAI,1732028757,SimonRock,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",1,1,1,2023-09-03 17:39,微博网页版,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,普通用户
4941911310470918,NhAiT1Yvs,2618671427,看见,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",1,0,2,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
4941911309942864,NhAiSFIAM,7461968697,打卡目的地,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,1,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,黄V
4941911309681597,NhAiSECCN,3297162173,新浪文创,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
4941911309160046,NhAiSCqWG,2516798477,新浪文化,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
4941911308895975,NhAiSBkft,5625245150,新浪新闻在场,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
4941911308635218,NhAiSAepI,1364882532,新浪图片,【#8.5万名香港老人去广东养老#】#香港老人为何爱去广东养老#据@大湾区视频报道：今年以来，香港特区政府已经推出多项利好香港长者“北上养老”的政策举措，大湾区的一些养老机构迎来了港人预订和入住的小高峰。香港劳工及福利局的资料显示，截至目前，估算约有8.5万名65岁或以上香港居民常年生活在广东省，10年间增加了85%。香港人口老龄化情况日益严重，养老服务多年来供不应求，本地养老院轮候时间长，政府资助养老院的轮候时间平均在2年左右，有的长达34个月。而且香港养老院费用较高，政府“买位”每人每月要1.6万元，护养院更要2.25万元，远高于内地养老机构的费用。与香港相比，内地养老具有很高的性价比。香港无论是房地产价格，还是服务价格都远高于广州、深圳的，广州和深圳的高品质养老机构费用可能比他在香港非常普通的养老机构的费用还有优势。同时，香港特区政府社会福利署7月28日宣布扩展“广东院舍照顾服务计划”，将深圳、珠海、佛山、惠州、东莞、中山、江门和肇庆都纳入了计划范围，以便利香港的长者到大湾区城市养老。L大湾区视频的微博视频,,,大湾区视频,"8.5万名香港老人去广东养老,香港老人为何爱去广东养老",0,0,0,2023-09-03 15:42,微博视频号,,"http://f.video.weibocdn.com/u0/tKbjfLDNgx088jgq1HcY01041200gbGI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016550&ssig=sbx%2FnEKvYY&KID=unistore,video",,,蓝V
