id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4919779809560417,N8iyUE76h,5872960861,西北信息报,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,3,0,5,2023-07-04 13:59,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919764818858648,N8iaJBaxq,1974561081,网易财经,司法部：#80岁以上老人首次办理遗嘱公证免收服务费#司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,1,2023-07-04 13:00,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919756463803806,N8hXgfXxI,1684012053,财经杂志,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,3,2,6,2023-07-04 12:26,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919746963705642,N8hHWfy0q,1899956213,包头晚报,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,3,0,4,2023-07-04 11:49,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919745184271373,N8hF4hVb7,1771650130,电商在线,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,0,2023-07-04 11:41,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919744124420259,N8hDmixUv,7096189920,第1眼视频,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,0,2023-07-04 11:37,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919743599346657,N8hCvDdux,6372873842,时代财经,你办理过公证吗？【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（新华社）L后海财经的微博视频,,,,80岁以上老人首次办理遗嘱公证免收服务费,0,0,0,2023-07-04 11:35,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919743142691543,N8hBMbibZ,2130055591,凤凰网健康,司法部：#80岁以上老人首次办理遗嘱公证免收服务费#司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,0,2023-07-04 11:33,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919742261893621,N8hAm7WCh,7621499905,纵横视频,司法部：#80岁以上老人首次办理遗嘱公证免收服务费#司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,1,2023-07-04 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014320&ssig=7mI6R%2BrZ2v&KID=unistore,video",,,蓝V
4919741960161591,N8hzS0G2j,5821587877,河畔视频,【司法部：#80岁以上老人首次办理遗嘱公证免收服务费#】司法部3日召开新闻发布会，介绍近期公证服务减证便民情况。据悉，保全、学历、学位、证书（执照）、现场监督、合同（协议）等公证事项所需证明材料从396项删减到280项；事实清楚、法律关系简单的一些公证事项中涉及的辅助性证明材料，不再要求当事人提供原件，提供复印件或者影印件即可；80岁及以上老人首次办理遗嘱公证免收遗嘱公证服务费用，低收入群体、残疾人、农民工、老年人、青少年、单亲困难母亲等特殊群体和军人军属、退役军人及其他优抚对象按规定减免公证费用。（@新华社）@后海财经L后海财经的微博视频,,,"新华社,后海财经",80岁以上老人首次办理遗嘱公证免收服务费,0,0,0,2023-07-04 11:29,微博视频号,,"http://f.video.weibocdn.com/o0/Thj1tXNulx086IJMRh8Q010412004ZLl0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014322&ssig=URXnC0UYTk&KID=unistore,video",,,蓝V
