id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4782531634007428,LyD1xgOvW,2166737404,Doris就是刀刀,二十年前的老古董电子琴老年人的娱乐小朋友的兴趣零基础学电子琴#日常##电子琴##80岁老人自学电子琴20余年#LDoris就是刀刀的微博视频,,,,"日常,电子琴,80岁老人自学电子琴20余年",0,1,0,2022-06-20 20:24,iPhone客户端,,"http://f.video.weibocdn.com/o0/PR2rpHomlx07X00xVweA01041200aR1n0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=wp%2FlMcXn3%2B&KID=unistore,video",,,普通用户
4581428513740667,JyakjfH7l,3962685976,大海6795骑马游览杭州湾跨海大桥,警民寻人总动员超话大海6795骑马游览杭州湾跨海大桥来投稿发表文章：【#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。L沸点正能量的微博视频【大海题】,,上海·徐汇新城Ⅲ期,,80岁老人自学电子琴20余年,0,0,0,2020-12-12 21:52,警民寻人总动员超话,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,普通用户
4581016914109986,JxZCrhfc6,6155344804,河北长安网,【河北#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。@沸点正能量L沸点正能量的微博视频,,,沸点正能量,80岁老人自学电子琴20余年,2,1,0,2020-12-11 18:36,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,
4581336462131852,Jy7VQ8WAI,1365139517,法治承德,【河北#80岁老人自学电子琴20余年#能弹五六百首曲目】,,,,80岁老人自学电子琴20余年,0,0,0,2020-12-12 15:46,微博 weibo.com,,,4581016914109986,,蓝V
4581264364942219,Jy63ykJHd,6367068899,长春互动,【#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。L沸点正能量的微博视频,,,,80岁老人自学电子琴20余年,0,0,0,2020-12-12 11:00,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,黄V
4581066813743478,Jy0UVfHQG,2506884754,新浪河北城市频道,【#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。@沸点正能量L沸点正能量的微博视频,,,沸点正能量,80岁老人自学电子琴20余年,0,0,0,2020-12-11 21:55,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,蓝V
4581027512600235,JxZTxaUrh,3222735304,燕赵都市报冀东版官微,【秦皇岛#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。@沸点正能量L沸点正能量的微博视频　via.河北日报,,,沸点正能量,80岁老人自学电子琴20余年,0,0,1,2020-12-11 19:18,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,蓝V
4581021272251226,JxZJt9rE6,6283762074,新石门刘哥,#河北#【河北#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。L沸点正能量的微博视频,,,,"河北,80岁老人自学电子琴20余年",0,0,0,2020-12-11 18:54,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015769&ssig=0cwi58DefA&KID=unistore,video",,,黄V
4580961742234492,JxYbs9nic,7528028584,楼市一览,【#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。@沸点正能量@沸点视频L沸点正能量的微博视频,,,"沸点正能量,沸点视频",80岁老人自学电子琴20余年,0,0,0,2020-12-11 14:57,微博视频号,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015770&ssig=TnQLSnimqW&KID=unistore,video",,,普通用户
4580953467134510,JxXY6tW0K,5931386790,用户5931386790,【#80岁老人自学电子琴20余年#能弹五六百首曲目】12月11日，河北秦皇岛，今年80岁的李大爷自学电子琴20余年，能弹奏五六百首曲目。大爷说，自己是个农民但从小就爱好音乐，原来条件不好，就买书自学，90年代为了学琴还专门买了电脑学习。现在当地的娱乐活动也经常找李大爷伴奏。@沸点正能量L沸点正能量的微博视频,,,沸点正能量,80岁老人自学电子琴20余年,0,0,0,2020-12-11 14:24,微博 weibo.com,,"http://f.video.weibocdn.com/0yy7EGbTlx07IGKpilHy01041200jejB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015770&ssig=TnQLSnimqW&KID=unistore,video",,,普通用户
