id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4961961730640047,NpZUh2Gvl,1787102927,爽爽编辑,#82岁老人独居在小乡村#希望每一个善良的老人都有人陪伴和照顾。我希望以后有更多时间陪伴家人照顾家人。,,,,82岁老人独居在小乡村,0,0,0,2023-10-28 23:35,iPhone客户端,,,,,黄V
4961959042091568,NpZPW8M6Y,1221707263,刘继兴,#82岁老人独居在小乡村#画面中的瓷砖地面太滑，不适合老人家，危险系数很高，建议换成有磨纹的。,,,,82岁老人独居在小乡村,0,0,1,2023-10-28 23:24,HUAWEI Mate 20 X,,,,,红V
4961849380703110,NpWZ42WUu,7640598719,白止0,#82岁老人独居在小乡村#真好,,,,82岁老人独居在小乡村,0,0,0,2023-10-28 16:09,HarmonyOS设备,,,,,普通用户
4961817401234251,NpW9u5b5h,7820488519,米多高兴妈妈,#82岁老人独居在小乡村#我也想做这样的老人,,,,82岁老人独居在小乡村,0,0,1,2023-10-28 14:01,Android,,,,,普通用户
4961815563865278,NpW6wgdxc,3163693955,唐哲同学,#82岁老人独居在小乡村#我老家也有，其实这是强迫症。,,,,82岁老人独居在小乡村,0,4,21,2023-10-28 13:54,,"https://wx2.sinaimg.cn/large/bc922383gy1hjaxrakpvpj20u012jn95.jpg,https://wx4.sinaimg.cn/large/bc922383gy1hjaxrb4dw1j20u012hdpk.jpg",,,,金V
4961743961853301,NpUf27M7X,3290056711,LYNGD1122,#82岁老人独居在小乡村#干干净净清清爽爽,,,,82岁老人独居在小乡村,0,0,0,2023-10-28 09:10,iPhone客户端,,,,,黄V
4961568083412620,NpPFmejMg,7715263238,高级荣誉英雄,#82岁老人独居在小乡村#,,,,82岁老人独居在小乡村,0,0,0,2023-10-27 21:31,,,,,,普通用户
4961499871183886,NpNTl4XYW,5914085567,周周爱吃饭丶,#82岁老人独居在小乡村#爱老,,,,82岁老人独居在小乡村,0,0,0,2023-10-27 17:00,iPhone 13 Pro Max,,,,,黄V
4961499835794282,NpNThojma,5914085567,周周爱吃饭丶,#82岁老人独居在小乡村#尊老,,,,82岁老人独居在小乡村,0,0,0,2023-10-27 17:00,iPhone 13 Pro Max,,,,,黄V
4961499652294236,NpNSZ9CPO,5914085567,周周爱吃饭丶,#82岁老人独居在小乡村#8,,,,82岁老人独居在小乡村,101,0,0,2023-10-27 16:59,iPhone 13 Pro Max,,,,,黄V
