id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4979163559631100,Nxdp9Epuk,2676828957,零度时评,【#零度时评#：#8旬独居老人家中老鼠肆意乱窜#老人的现在我们的未来不该被如此对待！】12月14日，安徽阜阳民政局回应86岁老人独居屋内老鼠乱窜事件，工作人员称经过调查，老人有三个儿子和两个女儿，事件发生后三儿媳已赶往家中将老人接走。据悉，三个儿子均在外打工，两个女儿已经嫁人，此前一直是三儿媳照顾她，近期三儿媳也外出打工，老人就从大房子搬到小房子独自居住。老人因有子女赡养照顾，并不属于民政兜底保障对象。但民政部门已经督促相关乡镇对其妥善安置，并将全面开展排查，杜绝此类现象再次发生。#关爱老人#L零度时评的微博视频,,,,"零度时评,8旬独居老人家中老鼠肆意乱窜,关爱老人",0,0,0,2023-12-15 10:49,微博视频号,,"http://f.video.weibocdn.com/u0/BHIYBmC3gx08aXsFWzSo010412002kgd0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=xjd4Dn3S4o&KID=unistore,video",,,蓝V
4978990358204715,Nx8TNyqq7,3567412270,抚州临川发布,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 23:21,iPhone客户端,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,蓝V
4978886053465245,Nx6bzext3,1844967414,内蒙古晨报,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。L搜狐千里眼的微博视频,,,,8旬独居老人家中老鼠肆意乱窜,0,0,1,2023-12-14 16:26,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,蓝V
4978787794029341,Nx3D5gUdn,1990437285,新浪青年,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 09:56,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,蓝V
4978787789834412,Nx3D4Fgny,1259295385,新浪博客,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,1,1,2,2023-12-14 09:56,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,蓝V
4978781773365644,Nx3tne7yA,5379286126,西安新鲜事,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,黄V
4978781771794980,Nx3tn7wXi,7758511806,泾渭视频,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,1,2023-12-14 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,普通用户
4978781771532933,Nx3tn6qMJ,6512618863,千里眼西安,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,黄V
4978781771532604,Nx3tn6qHq,7455552984,北方暖视频,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006192&ssig=ShK2Cwy7Mb&KID=unistore,video",,,蓝V
4978781770748388,Nx3tn38GM,7750531853,散拾视频,【#8旬独居老人家中老鼠肆意乱窜#，知情者：老人子女常年在外省】12月13日，安徽阜阳。一位8旬独居老人家中老鼠肆意乱窜的视频引发关注。据知情者赵先生称，老人快90岁了，现在独自居住，由于天气变冷老鼠找不到吃的就来老人家里了，房子里柜子上到处都是，老人子女常年在外省不回来，现在老人居住的平房还是改善过的，自己发出来也是希望社会重视。@搜狐千里眼L搜狐千里眼的微博视频,,阜阳,搜狐千里眼,8旬独居老人家中老鼠肆意乱窜,0,0,0,2023-12-14 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/ZfwjDVkclx08aVMkCkXS01041200hBBc0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006193&ssig=h9Sa7dTu0d&KID=unistore,video",,,普通用户
