id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4968108343428862,NszOaeo0e,1750353804,合肥交通广播,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:39,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4968107271786806,NszMr7uPs,5821587877,河畔视频,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:35,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4968103663896726,NszGCglIq,1912416573,河南手机报,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。@河南之声L河南之声的微博视频,,丽水,河南之声,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:21,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4968103186006216,NszFQpcus,5263844713,钵钵蟹,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:19,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,黄V
4968103182076736,NszFQ8IfK,7317305632,竹视频,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:19,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,普通用户
4968100982161458,NszCi94ie,1829407315,蓝媒视频官方微博,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:10,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4968100463116764,NszBsd4Oo,7571346388,云上河南,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 22:08,iPhone客户端,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4967988761201422,NswHi52xM,3729531417,黄石网警,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 14:44,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013536&ssig=y8Lhw7IFBM&KID=unistore,video",,,蓝V
4967937391985786,Nsvmr8kAO,6083245339,贵溪发布,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,1,1,1,2023-11-14 11:20,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013538&ssig=ZjsLHS7EfL&KID=unistore,video",,,蓝V
4967933380657997,NsvfY2LaR,7842086547,河南县域经济网,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,,,8旬独居老人阁楼摔倒警民找寻送医,0,0,0,2023-11-14 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013538&ssig=ZjsLHS7EfL&KID=unistore,video",,,蓝V
4967931793379004,Nsvdpeb24,6105713761,红星新闻,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,6,1,4,2023-11-14 10:58,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013538&ssig=ZjsLHS7EfL&KID=unistore,video",,,蓝V
4967930422890669,Nsvbcc7ZH,7141087529,铁骥视频,【#8旬独居老人阁楼摔倒警民找寻送医#】11月13日，据丽水公安发布：8旬独居老人在阁楼摔倒，躺了一天一夜后被找到，亲属曾发现老人失联后报警，民警和亲属给老人喂热奶保持体力并送医。L河南之声的微博视频,,丽水,,8旬独居老人阁楼摔倒警民找寻送医,40,2,38,2023-11-14 10:52,微博视频号,,"http://f.video.weibocdn.com/o0/iNByF9kflx08aa02Bz5K010412005HrZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013538&ssig=ZjsLHS7EfL&KID=unistore,video",,,蓝V
