id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4973346636956523,NuM51tbHZ,1419172372,安徽公安在线,【#8旬老人找回手机现场写感谢信赠00后新警#】近日，芜湖@湾沚警方湾沚派出所00后新警杨德仁博，为80岁的何大爷找回丢在出租车上的手机。何大爷高兴之余，现场手写感谢信，以表达对派出所及杨警官的感谢之情。据了解，这是杨警官入警以来，收到的第一封感谢信，很是激动。#我为群众办实事#L安徽公安在线的微博视频,,,湾沚警方,"8旬老人找回手机现场写感谢信赠00后新警,我为群众办实事",161,104,73,2023-11-29 09:35,微博视频号,,"http://f.video.weibocdn.com/u0/18188c4rgx08axOXsVQs010412009bza0E010.mp4?label=mp4_720p&template=1272x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000886&ssig=g8TLT2tktv&KID=unistore,video",,,
4976217403688201,NvYLiftt7,2713702102,滁州交警,//@滁州公安在线:【#8旬老人找回手机现场写感谢信赠00后新警#】,,,滁州公安在线,8旬老人找回手机现场写感谢信赠00后新警,0,0,73,2023-12-07 07:42,OPPO K11 旗舰影像,,,4973346636956523,,蓝V
4975272904363645,NvAbUijbn,1986744747,淮南市新集公安分局,//@八公山警方://@淮南谢家集公安在线://@淮南特警://@淮南山南警方://@凤台公安://@田家庵警方://@寿县警方://@淮南大通公安在线://@淮南警方:#8旬老人找回手机现场写感谢信赠00后新警#,,,"八公山警方,淮南谢家集公安在线,淮南特警,淮南山南警方,凤台公安,田家庵警方,寿县警方,淮南大通公安在线,淮南警方",8旬老人找回手机现场写感谢信赠00后新警,0,0,73,2023-12-04 17:09,vivo X70t 蔡司影像,,,4973346636956523,,蓝V
4975168688228137,NvxtOywvT,5097067933,砀山交警在线,【#8旬老人找回手机现场写感谢信赠00后新警#】,,,,8旬老人找回手机现场写感谢信赠00后新警,0,0,73,2023-12-04 10:15,微博网页版,,,4973346636956523,,蓝V
4973482576185915,NuPChpXeP,6573411220,芜湖长安,【#8旬老人找回手机现场写感谢信赠00后新警#】近日，@湾沚警方湾沚派出所00后新警杨德仁博，为80岁的何大爷找回丢在出租车上的手机。何大爷高兴之余，现场手写感谢信，以表达对派出所及杨警官的感谢之情。据了解，这是杨警官入警以来，收到的第一封感谢信，很是激动！#我为群众办实事#L湾沚警方的微博视频,,,湾沚警方,"8旬老人找回手机现场写感谢信赠00后新警,我为群众办实事",7,1,3,2023-11-29 18:35,微博视频号,,"http://f.video.weibocdn.com/u0/ObWG3BWDgx08axLD9mta010412008Xp40E010.mp4?label=mp4_720p&template=1272x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000886&ssig=dWvg9y05n2&KID=unistore,video",,,
4975141043572222,NvwLeeZiu,2705414051,芜湖弋江检察,转发微博//@芜湖检察:【#8旬老人找回手机现场写感谢信赠00后新警#】,,,芜湖检察,8旬老人找回手机现场写感谢信赠00后新警,0,0,3,2023-12-04 08:25,HUAWEI P20,,,4973482576185915,,蓝V
4974214878595718,Nv8FpA48C,5348821721,渭源检察,【#8旬老人找回手机现场写感谢信赠00后新警#】近日，芜湖@湾沚警方湾沚派出所00后新警杨德仁博，为80岁的何大爷找回丢在出租车上的手机。何大爷高兴之余，现场手写感谢信，以表达对派出所及杨警官的感谢之情。据了解，这是杨警官入警以来，收到的第一封感谢信，很是激动。#我为群众办实事#L安徽公安在线的微博视频,,,湾沚警方,"8旬老人找回手机现场写感谢信赠00后新警,我为群众办实事",0,0,0,2023-12-01 19:05,iPhone客户端,,"http://f.video.weibocdn.com/u0/18188c4rgx08axOXsVQs010412009bza0E010.mp4?label=mp4_720p&template=1272x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000886&ssig=g8TLT2tktv&KID=unistore,video",,,蓝V
4974186693133566,Nv7VXd9bo,2942628202,马鞍山开发区警方,//@马鞍山警方:【#8旬老人找回手机现场写感谢信赠00后新警#】,,,马鞍山警方,8旬老人找回手机现场写感谢信赠00后新警,0,0,73,2023-12-01 17:13,iPhone客户端,,,4973346636956523,,蓝V
4973804856805649,NuY05sysx,3965845957,哈尔滨市中级人民法院,【#8旬老人找回手机现场写感谢信赠00后新警#】近日，芜湖@湾沚警方湾沚派出所00后新警杨德仁博，为80岁的何大爷找回丢在出租车上的手机。何大爷高兴之余，现场手写感谢信，以表达对派出所及杨警官的感谢之情。据了解，这是杨警官入警以来，收到的第一封感谢信，很是激动L安徽公安在线的微博视频,,,湾沚警方,8旬老人找回手机现场写感谢信赠00后新警,15,14,13,2023-11-30 15:55,微博视频号,,"http://f.video.weibocdn.com/u0/18188c4rgx08axOXsVQs010412009bza0E010.mp4?label=mp4_720p&template=1272x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000886&ssig=g8TLT2tktv&KID=unistore,video",,,
4974157249646659,Nv7asEtxh,6337805843,亲爱的小白兔LL,//@阿城法院:【#8旬老人找回手机现场写感谢信赠00后新警#】,,,阿城法院,8旬老人找回手机现场写感谢信赠00后新警,0,0,13,2023-12-01 15:16,HUAWEI P50 Pro,,,4973804856805649,,普通用户
