id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5022030170951005,O9f6x3ZoN,5951913760,三湘头条,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-11 17:46,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,红V
5022021362386598,O9eSka0Rw,5657827712,我爱长沙520,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-11 17:11,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,红V
5021958955340845,O9dfFmpoF,3028650845,新都教育,#青春守护中国粮#【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频,,,,"青春守护中国粮,八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",2,1,0,2024-04-11 13:03,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021943852438381,O9cRjaekJ,7822778106,风启学林,#传承优良学风#【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频,,,,"传承优良学风,八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-11 12:03,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021924671885014,O9cmn7Uns,2409482243,未来网,#青春守护中国粮#【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"青春守护中国粮,八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,1,2024-04-11 10:46,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021910085930586,O9bYQoSOC,7365095516,赣州蓉江新区,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频,,,,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,1,2024-04-11 09:48,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021893608341569,O9bygz01r,2335605043,文明怀柔,#文明暖心事儿#【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。（视频来源：齐鲁晚报）L齐鲁晚报的微博视频,,,,"文明暖心事儿,八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-11 08:43,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021748376374944,O97M1qKpG,6105713761,红星新闻,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",4,1,11,2024-04-10 23:06,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021730240464667,O97iM1WSD,5665811463,板扎在线,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-10 21:54,所愿皆成真,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017074&ssig=rz7DixaCuU&KID=unistore,video",,,蓝V
5021725168763698,O97aAALPY,3912126634,带着微博看山东,【#八旬老农人直播传授农技知识#】#8旬老人退休后开直播教种地#一部手机，一支粉笔，一块黑板，构成了“梁爷爷讲农业”直播间。直播间里，梁爷爷耐心解答着粉丝提出的农业技术问题。梁爷爷名叫梁振清，是一名高级农艺师。农校毕业后，他致力于农业技术的推广与普及。退休后，他依然深入田间地头，为农民提供技术指导。眼下，年过八旬的梁振清有了自己的“新农活”，他将直播间变为传授农业知识的新舞台，而他也成为一名新时代的网红老农人。L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"八旬老农人直播传授农技知识,8旬老人退休后开直播教种地",0,0,0,2024-04-10 21:34,微博视频号,,"http://f.video.weibocdn.com/o0/ySxjn9ublx08dYvVp2Eg01041201YZzw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017076&ssig=i24wHFOEje&KID=unistore,video",,,黄V
