id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4957491789301259,No7CGD1Gj,2715576067,北京福平家政,为了帮助行动不便、长期卧床、残疾人或失能人群舒适洗澡、提高老人的生活质量，体面、愉快的度过老年生活，北京福平家政成立了一支专业的上门助浴团队，解决万千家庭所面临的养老困境。#上门助浴##北京上门助浴##助浴师##90后女孩当助浴师上门为老人洗澡##90后小伙上门为失能老人助浴##助浴师让失能老人也能沐浴幸福#,,,,"上门助浴,北京上门助浴,助浴师,90后女孩当助浴师上门为老人洗澡,90后小伙上门为失能老人助浴,助浴师让失能老人也能沐浴幸福",0,0,1,2023-10-16 15:33,vivo S9 极夜柔光自拍,"https://wx1.sinaimg.cn/large/a1dc6703ly1hix54jk0thj20u0143gtq.jpg,https://wx3.sinaimg.cn/large/a1dc6703ly1hix54j43b9j20u014iagq.jpg,https://wx3.sinaimg.cn/large/a1dc6703ly1hix54iq9paj20u014i7as.jpg,https://wx2.sinaimg.cn/large/a1dc6703ly1hix54ibfn2j20u0143tev.jpg",,,,蓝V
4844361010125003,MiC210wwb,2883768444,青羊共青团,#住在成都#【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,"住在成都,90后小伙上门为失能老人助浴",1,2,1,2022-12-08 11:12,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4844177760455332,Mixgs1Us4,2035428610,青春龙泉驿,#住在成都#【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,"住在成都,90后小伙上门为失能老人助浴",0,10,9,2022-12-07 23:04,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843764537634681,MimvXw281,2140585607,天涯社区,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,90后小伙上门为失能老人助浴,3,9,30,2022-12-06 19:42,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843759374435414,MimnDiBQW,2878219254,双流人社,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,90后小伙上门为失能老人助浴,1,0,2,2022-12-06 19:21,iPhone客户端,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843416489566049,MidsAE8z7,1704544512,半岛网,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,90后小伙上门为失能老人助浴,0,0,2,2022-12-05 20:39,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843406952770719,MidddbCN1,2139684615,文明成都,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。@大米VideoL大米Video的微博视频,,,大米Video,90后小伙上门为失能老人助浴,59,1,7,2022-12-05 20:01,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843378834147581,MictRhoYt,2015391145,中国慈善家杂志,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。#小慈面面观#@大米VideoL大米Video的微博视频,,,大米Video,"90后小伙上门为失能老人助浴,小慈面面观",2,1,3,2022-12-05 18:09,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985168&ssig=FomR%2B1iHvG&KID=unistore,video",,,蓝V
4843352962894623,MibO8c91t,1840551510,湖北之声,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,90后小伙上门为失能老人助浴,0,0,0,2022-12-05 16:26,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985170&ssig=zCAY96uxCh&KID=unistore,video",,,蓝V
4843350975316925,MibKVmjaR,2768688300,热点视频,【#90后小伙上门为失能老人助浴#：想给老人带去一点活力】四川成都，90后的晏杨俊祺一年前，工作回来的他看到姥姥姥爷因生活不便住进了养老院，于是决定辞职成为助浴师。如今，他与团队服务了200人次，平均每人月收入上万元。晏杨俊祺说，有些老人就盼着我们去给他洗澡，被需要的感觉很暖心，“希望能给老人带去一点活力”。L大米Video的微博视频,,,,90后小伙上门为失能老人助浴,0,0,0,2022-12-05 16:18,微博视频号,,"http://f.video.weibocdn.com/o0/M4qNfh3vlx081i3PvHZ601041200uE820E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724985170&ssig=zCAY96uxCh&KID=unistore,video",,,蓝V
