id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4584255323639311,JzlRGfgKz,1314608344,新闻晨报,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（扬州新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,9,9,37,2020-12-20 17:05,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,
4584353130096881,Jzopr0pcB,3104796307,广安政法,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】,,,,99岁老人自费请的保姆被子女辞退,0,0,37,2020-12-20 23:33,搜狗高速浏览器,,,4584255323639311,,蓝V
4584257329301416,JzlUUD1IQ,1274460913,吉林交通广播,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（扬州新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,0,2020-12-20 17:13,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583903132916997,JzcHDceQl,6505901464,潍坊高新检察,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（扬州新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,0,2020-12-19 17:45,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583843526869449,Jzb9usP3z,7452379375,武山融媒,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（扬州新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,1,2020-12-19 13:48,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583791399537257,Jz9NpE14J,5133081104,中国社会报,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,1,2020-12-19 10:21,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583785985742910,Jz9EGo5ZA,6261526742,辽宁易新盈文化传媒有限公司,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（看看新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,0,2020-12-19 10:00,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583748231763659,Jz8FN7oO7,2620088113,大众网,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（扬州新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,0,2,2020-12-19 07:30,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014685&ssig=6j5xLmC1Hw&KID=unistore,video",,,蓝V
4583608766970053,Jz52Qtfed,1737737970,新民晚报新民网,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。via看看新闻L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,4,3,3,2020-12-18 22:15,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014687&ssig=NAc7dRo3wy&KID=unistore,video",,,蓝V
4583606268206184,Jz4YOyqNO,1929329727,网易新闻,【#99岁老人自费请的保姆被子女辞退#：一心请回欲变更监护权】扬州99岁的曹大爷在老伴去世后，自费请了保姆胡女士，但子女听闻街坊传言后把保姆给辞了。为请回保姆，他与子女产生了分歧，并打算走法律途径，欲将监护人变更为保姆。有律师表示，法律对变更监护人有严格规定，老人的生活现状虽不符合条件，但有权决定保姆去留，子女无权干涉。（看看新闻）L看看新闻KNEWS的秒拍视频,,,,99岁老人自费请的保姆被子女辞退,0,3,4,2020-12-18 22:05,微博视频号,,"http://miaopai.video.weibocdn.com/B9qSIqSLlx07ISo99lAk01041200wLGy0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014687&ssig=NAc7dRo3wy&KID=unistore,video",,,蓝V
