id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4962923673550980,NqoVNeTLS,5190441667,桐庐检察,#普法课堂#【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,"普法课堂,9旬老人被继子女起诉索要房租",0,0,0,2023-10-31 15:17,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4962914118143271,NqoGnyar5,5190441667,桐庐检察,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。（荔枝新闻）L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,0,0,0,2023-10-31 14:39,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4962069792686772,Nq2IzbgX2,3951947894,邵阳中院,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,0,0,0,2023-10-29 06:44,Android,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4962050984902808,Nq2eekzry,2431078520,治安那些事儿,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,0,0,1,2023-10-29 05:30,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,普通用户
4961924739761979,NpYWBEXxh,5558553462,漳县检察,#普法课堂#【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,"普法课堂,9旬老人被继子女起诉索要房租",0,1,0,2023-10-28 21:08,Android,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4960296172259069,NpizT9tGB,5516870691,大连检察,#案件速递#【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,"案件速递,9旬老人被继子女起诉索要房租",16,1,29,2023-10-24 09:17,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,
4961909189908576,NpYxwFzFK,6475001096,陈陈你行的,//@瓦房店检察:【#9旬老人被继子女起诉索要房租#法院：驳回！】,,,瓦房店检察,9旬老人被继子女起诉索要房租,0,0,29,2023-10-28 20:06,iPhone客户端,,,4960296172259069,,普通用户
4961848116117854,NpWX1pFx4,3927469685,北京海淀法院,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,1,0,1,2023-10-28 16:04,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4961567060264896,NpPDI16Uw,2183864363,菏泽公安,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,0,0,0,2023-10-27 21:27,微博视频号,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
4961526081654511,NpOzC6WpF,3498441361,大邑人社,【#9旬老人被继子女起诉索要房租#法院：驳回！】此前，南京年过六旬的杨女士与丧偶的李先生再婚，婚后两位老人相濡以沫，互相扶持。婚后，李先生购买了一套房屋用于两人居住。2017年，李先生患病去世，不久后，李先生与第一任妻子所生的5名子女将杨女士告上了法庭，要求由他们继承这处房屋，法院审理后判决杨女士与5名子女按不同份额共有该房屋的产权。没想到，几位子女再次将杨女士告上法庭，称其侵犯了子女应当享有的使用权，要求她支付房屋占用费。最终，法院侧重保障老年人的合法权益，驳回了5名子女的诉讼请求。L荔枝新闻的微博视频,,,,9旬老人被继子女起诉索要房租,0,0,0,2023-10-27 18:44,Android,,"http://f.video.weibocdn.com/o0/cRDqPLUMlx089yqZN3a001041200Mhvy0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982616&ssig=%2FlfmR0eKUl&KID=unistore,video",,,蓝V
