id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5027824349481848,ObFPYDMF2,5116298586,昆明日报掌上春城,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 17:30,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027776036081747,ObEA3pw8H,3039029585,RBRM深一度,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 14:18,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,北京,蓝V
5027774514070873,ObExBh51f,7738005609,重庆美好推荐官,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 14:11,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027773171631425,ObEvr6Qpj,1841812881,生活帮,【#一养老机构入住5000余名老人#】4月27日，河北燕郊一养老机构已入住5000余名老人，平均年龄83岁。4年前，80岁的杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像‘搬了个家’。”@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 14:06,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027773170847584,ObEvr3yuI,2279270511,一切为了群众,【#一养老机构入住5000余名老人#】4月27日，河北燕郊一养老机构已入住5000余名老人，平均年龄83岁。4年前，80岁的杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像‘搬了个家’。”@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 14:06,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027773166657456,ObEvqrVUk,2452300187,山东电视生活频道,【#一养老机构入住5000余名老人#】4月27日，河北燕郊一养老机构已入住5000余名老人，平均年龄83岁。4年前，80岁的杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像‘搬了个家’。”@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 14:06,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027760307176191,ObEaGu6R1,7842247630,蓝鲫视频,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 13:15,iPhone客户端,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,浙江,蓝V
5027758914933816,ObE8rkHvG,1764598954,西江潮新闻,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 13:09,iPhone客户端,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027725306495984,ObDgerfTW,1294967085,新界视频,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 10:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
5027725117495440,ObDfVvrUc,6532102014,冷暖视频,【#一养老机构入住5000余名老人#】4月27日，河北燕郊，一养老机构已入住5000余名老人，平均年龄83岁，其中约95%为京籍老人，4年前，80岁杨茹莲来到位于河北燕郊的养护中心看望同事，就决定在这里住下来，“我在北京看过不少养老院，基本都是那种标准间，带卫生间，不能做饭。但在这里，就像'搬了个家’，住三居室，有厨房”，她形容这里像是“度假村”，看病方便、生活舒适并且性价比高。@水母网L水母网的微博视频,,,水母网,一养老机构入住5000余名老人,0,0,0,2024-04-27 10:55,微博视频号,,"http://f.video.weibocdn.com/o0/1X19g8aDlx08ep73qv4k01041200476c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725023011&ssig=FO5UdQ7su8&KID=unistore,video",,,蓝V
