id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4763210660449526,LqwoG1SWq,3200912755,福气满满小耗子,//@瓦房店检察:注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】,,,瓦房店检察,一男子盗刷老人医保卡被捕,0,0,0,2022-04-28 12:49,HUAWEI P40 Pro+ 5G,,,,,普通用户
4763189121910920,LqvPW817i,5331173004,薛城区检察院,【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#@福建987私家车广播L薛城区检察院的微博视频,,,福建987私家车广播,"一男子盗刷老人医保卡被捕,蓝V视界",0,0,0,2022-04-28 11:24,微博视频号,,"http://f.video.weibocdn.com/o0/6zUMEOlJlx07VCSeuSFW010412006bAf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011735&ssig=oKWXJzWFkX&KID=unistore,video",,,蓝V
4763141433463773,LquB1ex5j,1459071597,福州尚法咨询,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#L福建987私家车广播的微博视频,,,,"一男子盗刷老人医保卡被捕,蓝V视界",0,0,0,2022-04-28 08:14,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011735&ssig=dcDKcPOnVW&KID=unistore,video",,,蓝V
4762989863371660,LqqEye97C,5665811463,板扎在线,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#@福建987私家车广播L福建987私家车广播的微博视频,,,福建987私家车广播,"一男子盗刷老人医保卡被捕,蓝V视界",0,0,0,2022-04-27 22:12,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011735&ssig=dcDKcPOnVW&KID=unistore,video",,,蓝V
4762971449855936,LqqaQFlYI,5516870815,瓦房店检察,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】,,,,一男子盗刷老人医保卡被捕,1,0,0,2022-04-27 20:59,微博网页版,,,,,蓝V
4762952592266207,LqpGr9vxJ,3361952722,遂川政法,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#L福建987私家车广播的微博视频,,,,"一男子盗刷老人医保卡被捕,蓝V视界",4,5,14,2022-04-27 19:44,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011735&ssig=dcDKcPOnVW&KID=unistore,video",,,蓝V
4762916307601134,LqoJUvToW,1708877153,都市报道,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#@福建987私家车广播L福建987私家车广播的微博视频,,,福建987私家车广播,"一男子盗刷老人医保卡被捕,蓝V视界",0,0,0,2022-04-27 17:20,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011735&ssig=dcDKcPOnVW&KID=unistore,video",,,蓝V
4762877968516920,LqnK4zJDG,5043723586,烟台市人民检察院,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#@福建987私家车广播L福建987私家车广播的微博视频,,,福建987私家车广播,"一男子盗刷老人医保卡被捕,蓝V视界",0,1,2,2022-04-27 14:47,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011736&ssig=%2B3ke9XRV8i&KID=unistore,video",,,蓝V
4762870099479540,LqnxnDM3O,3265957290,宜昌网警,【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！L福建987私家车广播的微博视频,,,,一男子盗刷老人医保卡被捕,0,4,3,2022-04-27 14:16,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011736&ssig=%2B3ke9XRV8i&KID=unistore,video",,,蓝V
4762862768359089,Lqnlyz4A1,1924558143,大参考,注意‼️【福州老人医保卡内金额不翼而飞，#一男子盗刷老人医保卡被捕#】2021年9，一位戴大爷报案称自己的医保卡内的金额莫名其妙不见了，经民警调查审讯，抓获了犯罪嫌疑人乔某。据调查，去年以来，乔某混迹于公园等地，在与老年人闲聊套近乎时发现“商机”，利用老年人警惕性不高、对移动支付方式不了解等情况，盗刷老年人医保卡内金额牟利，后被福州市公安局鼓楼分局温泉派出所民警查获。近日，乔某因涉嫌盗窃罪被鼓楼警方依法逮捕。警方提醒：广大老年人群体在日常生活中，面对陌生人主动推销、帮助下载陌生APP，或者以小恩小惠等，要求帮忙人脸识别、提供验证码等行为，一定要加强防范意识，切勿轻易泄露个人信息，勿轻信推销，遇到无法辨别真伪情况时及时向家人或者公安机关求助！#蓝V视界#@福建987私家车广播L福建987私家车广播的微博视频,,,福建987私家车广播,"一男子盗刷老人医保卡被捕,蓝V视界",0,1,2,2022-04-27 13:47,微博视频号,,"http://f.video.weibocdn.com/u0/SUX6eMsbgx07VBpMFago010412006VlL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011736&ssig=%2B3ke9XRV8i&KID=unistore,video",,,蓝V
