id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4736112185052699,Lf9rslcr9,6382509918,长春城市生活,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",0,0,0,2022-02-12 18:10,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,黄V
4734876542568002,LeDiuaM3o,5876263200,宁乡热点集,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",2,0,5,2022-02-09 08:20,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,黄V
4734876542567450,LeDiuaLUu,5657827712,我爱长沙520,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",5,5,13,2022-02-09 08:20,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,红V
4734652323992466,LexsQgKCC,2673596451,南昌进贤发布,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",0,0,0,2022-02-08 17:29,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,蓝V
4734636133454555,Lex2JeuGD,5827510291,京津冀的事儿,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",0,0,1,2022-02-08 16:24,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,普通用户
4734633231782287,LewY37tEz,6721466231,啊王在发博,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们。L搜狐千里眼的微博视频,,,,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",0,0,0,2022-02-08 16:13,正能量 · 视频社区,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,普通用户
4734628743087628,LewQOcXes,7472681405,陕西广播电视报,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#西西新闻##温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,西西新闻,温暖放大镜",0,0,0,2022-02-08 15:55,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,蓝V
4734626398471567,LewN1zxQb,5752654114,记着小妹,中国超话【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",0,0,1,2022-02-08 15:46,Redmi K30 Pro 变焦版,,,,,普通用户
4734625571931381,LewLH86rj,6056478750,新闻热点搜索,中国超话【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",2,22,13,2022-02-08 15:42,中国超话,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,黄V
4734624176013561,LewJrpeoV,6168007956,搜狐千里眼,【传递爱心！#丈母娘送一车腊肉女婿转赠独居老人#】#温暖放大镜#2月8日，湖南长沙。一岳母娘精心熏制了2个月的腊肉，足足装了一车尾厢送给回长沙的女婿汤俊杰。汤俊杰表示，这么多腊肉一自己也吃不完，会赠送一些给孤寡老人，独居老人们，和他们一起分享节日的喜庆。网友纷纷点赞称，这位女婿真的是太有爱心了。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"丈母娘送一车腊肉女婿转赠独居老人,温暖放大镜",1,10,53,2022-02-08 15:37,微博视频号,,"http://f.video.weibocdn.com/o0/djqtfJfrlx07TB9g78iA01041200oAyP0E010.mp4?label=mp4_720p&template=960x540.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020728&ssig=nsDLHq1MuG&KID=unistore,video",,,蓝V
