id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4763715176502713,LqJwprhEt,7438064490,芬芳3a,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@沸点壹刻O诉求,,上海,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,0,0,2022-04-29 22:14,华为手机 畅享玩不停,,,,,普通用户
4763701124536014,LqJ9Kj21w,7435970761,芬芳2a,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@沸点壹刻O诉求,,上海,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,0,0,2022-04-29 21:18,华为手机 畅享玩不停,,,,,普通用户
4763649186728665,LqHNYseqR,7437105319,悠然2aa,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@沸点壹刻O诉求,,上海,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,0,0,2022-04-29 17:52,华为手机 畅享玩不停,,,,,普通用户
4763639166272900,LqHxOqjRO,7435588708,怡然自得2a,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@沸点壹刻O诉求,,上海,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,0,0,2022-04-29 17:12,华为手机 畅享玩不停,,,,,普通用户
4763635290997204,LqHrz4bpW,3195647907,青岛文明网,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。L沸点壹刻的微博视频,,,,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人",14,0,0,2022-04-29 16:57,微博视频号,,"http://f.video.weibocdn.com/o0/DmXqgbCglx07VDpxUzIk01041200bm7A0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010832&ssig=n4ldm1eogN&KID=unistore,video",,,蓝V
4763576067689363,LqFU2wglZ,2038353515,汉源公安,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@微博蓝V视频L沸点壹刻的微博视频,,上海,微博蓝V视频,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,2,0,2022-04-29 13:01,微博视频号,,"http://f.video.weibocdn.com/o0/DmXqgbCglx07VDpxUzIk01041200bm7A0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010832&ssig=n4ldm1eogN&KID=unistore,video",,,蓝V
4763573157102270,LqFPltNCK,5489421971,南阳政法,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@微博蓝V视频L沸点壹刻的微博视频,,上海,微博蓝V视频,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,22,17,2022-04-29 12:50,微博视频号,,"http://f.video.weibocdn.com/o0/DmXqgbCglx07VDpxUzIk01041200bm7A0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010832&ssig=n4ldm1eogN&KID=unistore,video",,,蓝V
4763486729274480,LqDzWCUIo,3182553330,公益人宇琪,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。@沸点壹刻L沸点壹刻的微博视频,,,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人",0,0,0,2022-04-29 07:06,iPhone 8 Plus,,"http://f.video.weibocdn.com/o0/DmXqgbCglx07VDpxUzIk01041200bm7A0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010832&ssig=n4ldm1eogN&KID=unistore,video",,,黄V
4763356727348193,LqAcguPBf,1668589317,大众新闻-半岛都市报,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人# 4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。L沸点壹刻的微博视频,,,,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人",0,1,7,2022-04-28 22:30,微博视频号,,"http://f.video.weibocdn.com/o0/DmXqgbCglx07VDpxUzIk01041200bm7A0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010832&ssig=n4ldm1eogN&KID=unistore,video",,,蓝V
4763352373660607,LqA5ffmi3,7353740317,向阳1a,【#上海一男子帮79岁独居独臂老人洗澡#：小区封控40多天老人身体不便】#沸点当事人#4月26日，上海。一男子帮楼下一位独居的79岁独臂爷爷洗澡。当事人祝先生表示，小区疫情封控已经一个多月了，老人一个人住，身体不方便的时候，自己就会过来帮忙，已经帮老人洗过2次澡了，两家关系特别好。祝先生称拍摄和发布视频都已经征得了老人的同意。#蓝v视界#@沸点壹刻O诉求,,上海,沸点壹刻,"上海一男子帮79岁独居独臂老人洗澡,沸点当事人,蓝v视界",0,0,0,2022-04-28 22:12,Android客户端,,,,,普通用户
