id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4659505194074295,KoY07h5Ur,6100504339,qqttrr,#上海启动76岁及以上老人新冠疫苗登记接种#,,连云港·灌云,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-07-16 08:41,vivo手机,,,,,普通用户
4652680058765611,Km6rPAMkP,6100504339,qqttrr,#上海启动76岁及以上老人新冠疫苗登记接种#,,连云港·灌云,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-06-27 12:40,vivo手机,,,,,普通用户
4651516541276079,KlCbc5lXV,6100504339,qqttrr,#上海启动76岁及以上老人新冠疫苗登记接种#,,连云港·灌云,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-06-24 07:37,vivo手机,,,,,普通用户
4650836132628035,KlktLb1FF,6100504339,qqttrr,#上海启动76岁及以上老人新冠疫苗登记接种#,,连云港·灌云,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-06-22 10:33,vivo手机,,,,,普通用户
4649707626039042,KkR7Apl1U,6100504339,qqttrr,#上海启动76岁及以上老人新冠疫苗登记接种#,,连云港·灌云,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-06-19 07:49,vivo手机,,,,,普通用户
4638676770098731,Kge9T0pGr,2557375422,浦东发布,【“我们打好疫苗，家人也心定了。”小布现场直击耄耋老人疫苗接种】#上海启动76岁及以上老人新冠疫苗登记接种#5月18日下午，航头镇鹤沙社区卫生服务中心接种现场来了两对老夫妻，高维诚今年84岁、夫人潘永兰79岁，张步元、金凤英夫妇则均为80岁。原来，这两对老夫妻，同住昱星家园居民区，一听到居委宣传76周岁及以上人群可以接种新冠疫苗了，一大早，两对老夫妻迫不及待赶到居委会登记。在居委会工作人员专车专人陪同下，两对老夫妻结伴来到鹤沙社区卫生服务中心疫苗接种点。他们说，打疫苗，为自己也为别人！他们会把自己的接种体验告诉身边的老年朋友，呼吁和他们一样的健康老人都来接种新冠疫苗。工作人员介绍，对于76岁及以上的老年人，建议尽量家属陪同，因为家属更了解老年人的身体状况。如果老人不会使用智能手机，也可以通过刷身份证或者是社保卡进行现场登记。,,,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,6,2021-05-19 21:16,,"https://wx2.sinaimg.cn/large/986e73bely1gqo1s2l2xmj20u00k0acu.jpg,https://wx4.sinaimg.cn/large/986e73bely1gqo1s2w8xkj20u00k0757.jpg,https://wx4.sinaimg.cn/large/986e73bely1gqo1s35nzmj20u00k0dgt.jpg,https://wx2.sinaimg.cn/large/986e73bely1gqo1s3fywjj20u00k0jsh.jpg",,,,蓝V
4638628091007620,KgcTn4e7W,2557375422,浦东发布,【#87岁闻玉梅院士接种新冠疫苗#】据新民晚报，5月19日上午11时许，87岁的中国工程院院士、复旦大学上海医学院教授闻玉梅来到凯旋南路疫苗接种点，顺利完成第一剂新冠疫苗接种。5月17日，上海启动76岁及以上人群新冠疫苗预约接种工作。对闻院士来说，打疫苗是“该做的事”。#上海启动76岁及以上老人新冠疫苗登记接种#L浦东发布的微博视频,,,,"87岁闻玉梅院士接种新冠疫苗,上海启动76岁及以上老人新冠疫苗登记接种",1,1,7,2021-05-19 18:03,微博视频号,,"http://f.video.weibocdn.com/000cI7wmgx07MMDfq0jm01041200dU4Z0E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979639&ssig=Tfu7XcP7j8&KID=unistore,video",,,蓝V
4638532942955783,KgapUcoVV,6509815312,卧龙骄子17,【“终于轮到我们啦，之前就想打了！”小布直击浦东76岁及以上人群疫苗接种现场→】5月17日，#上海启动76岁及以上老人新冠疫苗登记接种#按照“知情同意，自愿免费”的原则，这些有需求的居民可以通过社区整建制登记预约接种，至指定社区接种点接种。5月18日早上7点半，花木社区卫生服务中心四楼的新冠疫苗接种区迎来“早高峰”，其中就有一些76岁及以上的老年人。据悉，花木卫生服务中心从全市开展76岁以上人群新冠疫苗接种第一天起至当天上午，共完成92剂次接种，中心还正与街道协商，有望为行动不便的老年人提供专场接种服务。L浦东发布的微博视频,,,,上海启动76岁及以上老人新冠疫苗登记接种,0,0,0,2021-05-19 11:44,nova5Pro人像超级夜景,,"http://f.video.weibocdn.com/004lVuifgx07MM28mloX01041200SCEQ0E010.mp4?label=mp4_hd&template=854x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979639&ssig=QCLqrF2RgP&KID=unistore,video",,,普通用户
4638531034547845,KgamPj56l,6100504339,qqttrr,我在微博Android客户端中发现了这篇微博，想与你分享：@浦东发布:【“终于轮到我们啦，之前就想打了！”小布直击浦东76岁及以上人群疫苗接种现场→】5月17日，#上海启动76岁及以上老人新冠疫苗登记接种#按照“知情同意，自愿免费”的原则，这些有需求的居民可以通过社区整建制登记预约接种，至指定社区接种点接种。5月18日早上7点半，花木社区卫生服务中心四楼的新冠更多精彩评论:O网页链接#最近一次的怦然心动#aokeyi,,连云港·灌云,浦东发布,"上海启动76岁及以上老人新冠疫苗登记接种,最近一次的怦然心动",0,0,0,2021-05-19 11:37,vivo手机,https://wx2.sinaimg.cn/large/006avs3yly1go59gejxvqj30wh0u00xd.jpg,,,,普通用户
4638492074181633,Kg9lZhxPH,2557375422,浦东发布,【“终于轮到我们啦，之前就想打了！”小布直击浦东76岁及以上人群疫苗接种现场→】5月17日，#上海启动76岁及以上老人新冠疫苗登记接种#按照“知情同意，自愿免费”的原则，这些有需求的居民可以通过社区整建制登记预约接种，至指定社区接种点接种。5月18日早上7点半，花木社区卫生服务中心四楼的新冠疫苗接种区迎来“早高峰”，其中就有一些76岁及以上的老年人。据悉，花木卫生服务中心从全市开展76岁以上人群新冠疫苗接种第一天起至当天上午，共完成92剂次接种，中心还正与街道协商，有望为行动不便的老年人提供专场接种服务。L浦东发布的微博视频,,,,上海启动76岁及以上老人新冠疫苗登记接种,278,362,275,2021-05-19 09:02,微博视频号,,"http://f.video.weibocdn.com/004lVuifgx07MM28mloX01041200SCEQ0E010.mp4?label=mp4_hd&template=854x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724979639&ssig=QCLqrF2RgP&KID=unistore,video",,,
