id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4760648808141776,LprKEya2Y,5361703639,富平检察,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",1,15,10,2022-04-21 11:09,iPhone客户端,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,蓝V
4760385380418306,LpkTM1KOS,7343771037,城镇之窗,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,1,2022-04-20 17:43,城镇之窗Android,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,普通用户
4760340070139864,LpjIH0AnS,5379286126,西安新鲜事,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,0,2022-04-20 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,黄V
4760340037108540,LpjIDtPfS,6512618863,千里眼西安,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,0,2022-04-20 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,黄V
4760340002768789,LpjIAbChT,5603229773,记录西安城,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,0,2022-04-20 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,黄V
4760339965281461,LpjIwm9WR,7562542062,西安小记,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,0,2022-04-20 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,黄V
4760339910233755,LpjIr0YOf,7455552984,北方暖视频,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",0,0,0,2022-04-20 14:42,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,蓝V
4760334223279037,LpjzgdL1H,6349716086,随时都想打个盹儿a,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,上海夫妻每天为7旬独臂独居老人送饭,0,0,0,2022-04-20 14:19,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017205&ssig=lwOOU8VLcj&KID=unistore,video",,,黄V
4760333870960540,LpjyH41SA,1965683690,新都发布,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。@白鹿视频L白鹿视频的微博视频,,,白鹿视频,上海夫妻每天为7旬独臂独居老人送饭,0,0,1,2022-04-20 14:18,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017207&ssig=4sFSn2i3Qt&KID=unistore,video",,,蓝V
4760333770035261,Lpjyx09aJ,7575030448,白鹿视频,【小区封闭管理，#上海夫妻每天为7旬独臂独居老人送饭#当事人：只是举手之劳】4月20日，上海。祝先生为邻居独臂老人送饭的视频引发网友关注，祝先生介绍，独居老人大概70多岁，儿女住在附近小区。因为疫情小区封闭管理，自己和妻子考虑到老人做饭可能不太方便，就想到每天中午给老人送饭，到现在已经送饭一周多。自己和妻子计划给老人送饭直到解封。老人为表感谢有时也会硬塞一些蔬菜等物资给自己。自己这么做也只是举手之劳。#上海七宝镇回应居民收到腐烂物资#@白鹿视频L白鹿视频的微博视频,,,白鹿视频,"上海夫妻每天为7旬独臂独居老人送饭,上海七宝镇回应居民收到腐烂物资",6,16,101,2022-04-20 14:17,微博视频号,,"http://f.video.weibocdn.com/o0/gek3z6vPlx07Vqj2XoGk01041200IXfn0E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017207&ssig=4sFSn2i3Qt&KID=unistore,video",,,蓝V
