id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4610951914193681,K4AUnhAY1,5935987776,达茂旗反XJ,【全方位保护！#上海独居老人48小时不出门自动预警#@内蒙古反邪教,,,内蒙古反邪教,上海独居老人48小时不出门自动预警,0,0,0,2021-03-04 09:07,微博 weibo.com,,,,,蓝V
4607410079010536,K36LJBO3e,5585485049,021视频,#如何保障独居老人安全生活#【全方位保护！#上海小区安装独居老人六件套#保障安全】为保障小区内高龄独居老人的安全，上海普陀区真北三小区在老人家中安装了一套智能系统，被称为“智慧六件套”，包括红外、水表检测、电流检测、烟感、门禁和紧急按钮。12小时用水不足0.01立方米，48小时没有进出大门记录，这些装置都会发出预警。真北五居委书记吴勇强告诉@021视频，一旦发生意外，后台会立即得知，并迅速联系社工前往查看。73岁的独居老人郑小明开心地说，有了这套系统，自己也安心了。#上海独居老人48小时不出门自动预警#L021视频的微博视频,,,021视频,"如何保障独居老人安全生活,上海小区安装独居老人六件套,上海独居老人48小时不出门自动预警",2411,1108,21945,2021-02-22 14:33,微博视频号,,"http://f.video.weibocdn.com/001tCsaYgx07KzejJ0ju01041200jHFi0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819208&ssig=g0cQAaWBIe&KID=unistore,video",,,
4609523018369092,K3ZJHz7bm,2676674510,河北海之声助听器听力中心,//@海之声听力:#上海独居老人48小时不出门自动预警#独居老人的福音！拥抱人性化科技，拥抱更好的生活！,,,海之声听力,上海独居老人48小时不出门自动预警,0,0,21945,2021-02-28 10:29,360安全浏览器,,,4607410079010536,,普通用户
4608796335543782,K3GPDngbQ,6135644110,创建无邪乌前旗,【全方位保护！#上海独居老人48小时不出门自动预警#】,,,,上海独居老人48小时不出门自动预警,0,0,0,2021-02-26 10:22,微博 weibo.com,,,,,蓝V
4608430750303443,K3xjZ1gWf,5116388826,南部检察,#上海独居老人48小时不出门自动预警#【全方位保护！#上海小区安装独居老人六件套#保障安全】为保障小区内高龄独居老人的安全，上海普陀区真北三小区在老人家中安装了一套智能系统，被称为“智慧六件套”，包括红外、水表检测、电流检测、烟感、门禁和紧急按钮。12小时用水不足0.01立方米，48小时没有进出大门记录，这些装置都会发出预警。真北五居委书记吴勇强告诉@021视频，一旦发生意外，后台会立即得知，并迅速联系社工前往查看。73岁的独居老人郑小明开心地说，有了这套系统，自己也安心了。L021视频的微博视频,,,021视频,"上海独居老人48小时不出门自动预警,上海小区安装独居老人六件套",0,0,0,2021-02-25 10:09,微博视频号,,"http://f.video.weibocdn.com/001tCsaYgx07KzejJ0ju01041200jHFi0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819208&ssig=g0cQAaWBIe&KID=unistore,video",,,蓝V
4607452789610486,K37SCEk7Q,1653689003,新周刊,【#上海独居老人48小时不出门自动预警#】 为保障小区内高龄独居老人的安全，上海普陀区真北三小区在老人家中安装了一套智能系统，被称为“智慧六件套”，包括红外、水表检测、电流检测、烟感、门禁和紧急按钮。12小时用水不足0.01立方米，48小时没有进出大门记录，这些装置都会发出预警。真北五居委书记吴勇强告诉记者，一旦发生意外，后台会立即得知，并迅速联系社工前往查看。#上海小区安装独居老人六件套#（021视频）L021视频的微博视频,,,,"上海独居老人48小时不出门自动预警,上海小区安装独居老人六件套",1331,246,5191,2021-02-22 17:23,微博视频号,,"http://f.video.weibocdn.com/001tCsaYgx07KzejJ0ju01041200jHFi0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819208&ssig=g0cQAaWBIe&KID=unistore,video",,,
4608226769243176,K3s0YCMzu,1683427000,风和日丽莺飞草长,【#上海独居老人48小时不出门自动预警#,,,,上海独居老人48小时不出门自动预警,0,0,5191,2021-02-24 20:39,iPhone 12,,,4607452789610486,,普通用户
4608118816247434,K3pcRqdf4,6171489136,咸阳微博房产,#上海独居老人48小时不出门自动预警#【全方位保护！#上海小区安装独居老人六件套#保障安全】为保障小区内高龄独居老人的安全，上海普陀区真北三小区在老人家中安装了一套智能系统，被称为“智慧六件套”，包括红外、水表检测、电流检测、烟感、门禁和紧急按钮。12小时用水不足0.01立方米，48小时没有进出大门记录，这些装置都会发出预警。真北五居委书记吴勇强告诉@021视频，一旦发生意外，后台会立即得知，并迅速联系社工前往查看。73岁的独居老人郑小明开心地说，有了这套系统，自己也安心了。L021视频的微博视频,,,021视频,"上海独居老人48小时不出门自动预警,上海小区安装独居老人六件套",0,0,0,2021-02-24 13:30,微博视频号,,"http://f.video.weibocdn.com/001tCsaYgx07KzejJ0ju01041200jHFi0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819208&ssig=g0cQAaWBIe&KID=unistore,video",,,蓝V
4607870681491439,K3iKE6fZt,6066193547,七环视频,【#如何保障独居老人安全生活#：#上海独居老人48小时不出门自动预警#】近日，为保障小区内高龄独居老人的安全，上海普陀区真北三小区在老人家中安装了一套智能系统，被称为“智慧六件套”，包括红外、水表检测、电流检测、烟感、门禁和紧急按钮。12小时用水不足0.01立方米，48小时没有进出大门记录，这些装置都会发出预警。#上海小区安装独居老人六件套#O上海独居老人48小时不出门自动预警L七环视频的微博视频,,,,"如何保障独居老人安全生活,上海独居老人48小时不出门自动预警,上海小区安装独居老人六件套",0,0,4,2021-02-23 21:04,微博视频号,,"http://f.video.weibocdn.com/004Gd2xJgx07KAZ4toBN010412002yyZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819208&ssig=LAlCa3nY8G&KID=unistore,video",,,蓝V
4607866764527990,K3iEkiZW6,1163143843,贸答答,#上海独居老人48小时不出门自动预警##国贸问问纠错有奖进行中#上海服务到位，技术高级!,,镇江,,"上海独居老人48小时不出门自动预警,国贸问问纠错有奖进行中",0,0,0,2021-02-23 20:48,小米6X 拍人更美,,,,,黄V
