id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5070618447842734,OtD6IwUfI,6934833585,千千趣歌,费了九牛二虎之力🐂终于把支付宝里的银行安全险给退掉了大概是家里老年人稀里糊涂按了什么按钮🔘上了贼船退保的按钮找来找去找不到，隐藏得很深这种套路，老年人被扣多少钱，扣了多少年，他们自己根本不知道的🤷‍♀️钱很少，但老人数量大，也够他们吃了#不少老年人手机账户稀里糊涂被扣钱#还亲呢亲你个头,,,,不少老年人手机账户稀里糊涂被扣钱,0,0,5,2024-08-23 19:38,iPhone客户端,https://wx2.sinaimg.cn/large/007zjR0Bgy1hsy1gdmrn1j30yh0ta76z.jpg,,,,普通用户
4853058876214174,MmgiPq4AC,2560432091,财经评论,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。（法治日报）L至简财经的微博视频,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",1,0,4,2023-01-01 11:14,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997075&ssig=sOCo4Ic4EK&KID=unistore,video",,,蓝V
4850396931031940,Ml93n4ksc,1319297121,lotus_anan,本周热读超话【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。（法治日报）L至简财经的微博视频,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,0,2022-12-25 02:56,本周热读超话,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997075&ssig=sOCo4Ic4EK&KID=unistore,video",,,黄V
4849520129355572,MkMfaDfOk,1899155404,第一财经广播,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。L至简财经的微博视频,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,0,2022-12-22 16:52,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997075&ssig=sOCo4Ic4EK&KID=unistore,video",,,蓝V
4849511124177551,MkM0EhwLR,6971987486,原于着,#中消协发布老年人使用App障碍调查##不少老年人手机账户稀里糊涂被扣钱#呵呵我不谈老年人被扣费，我论文一下里面说的原因之一APP字体大小，经常看见貌似照顾老年人的老年版切换，其实也就是字大一点其实也大不到哪里，还抹去了很多功能甚至是添加了坑，你一设置长辈版他知道你年龄段就会自动显示推荐的产品都不一样以及价格选择面，铺垫这些精彩来了，最搞笑愚蠢的意识表现出来了，我们经常看见的画面是戴眼镜的年轻人跟不戴眼镜的老年人一起划手机的画面，你们明白我的意识逻辑吗，也就是并不是老年人才需要大字体，很多年轻人比老年人更需要大字体，你们服不服我说的，所以为了国民健康近视少有更多APP字体大小选择才是科学的，通过这些科学分析，那么结论出来了。原来所谓长辈版，只是APP掌握用户年纪，精准推送。可以方便赚钱。我绝对肯定甚至可以负法律责任说长辈版显示的都是有目标选择阉割的内容显示，如果是消费多多少少会吃亏。再说一次论文主题，APP字体大小，几百度近视的年轻人比不戴眼镜的老年人更需要，所以APP长辈版是假命题。是标准的低智商的表现,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,2,2022-12-22 16:16,HUAWEI Mate 10 Pro,,,,,普通用户
4849440857536217,MkKbjvCvT,1771650130,电商在线,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。（法治日报）@至简财经L至简财经的微博视频,,,至简财经,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",1,0,0,2022-12-22 11:37,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997075&ssig=sOCo4Ic4EK&KID=unistore,video",,,
4849509491812621,MkLY17BxP,7717414802,鄂城电子商务公共服务中心,#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,0,2022-12-22 16:10,微博网页版,,,4849440857536217,,普通用户
4849506128236320,MkLSAyyDS,2100782095,销售与市场传媒,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。L至简财经的微博视频,,,,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,0,2022-12-22 15:57,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997076&ssig=ikPJsJhpoq&KID=unistore,video",,,普通用户
4849502022273024,MkLLY9xjG,6882846664,财富时代,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。（法治日报）@至简财经L至简财经的微博视频,,,至简财经,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",0,0,0,2022-12-22 15:40,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997076&ssig=ikPJsJhpoq&KID=unistore,video",,,蓝V
4849472343903864,MkL06gnzy,2934752331,独行侠陶大叔,【#中消协发布老年人使用App障碍调查#：#不少老年人手机账户稀里糊涂被扣钱#】随着我国数字经济的飞速发展，智能手机、移动网络等已经渗透进每个人的生活点滴。老龄化社会程度不断加深，中老年群体如何能用、易用各种App，也成为社会各界广泛关注的话题，同时也给政府监管部门带来各种管理难题和挑战。近日，中国消费者协会发布《适老化App消费监督评测项目研究报告》。报告显示，虽然76.2%的被调查对象对App适老化的现状整体持满意态度，但是字体小、广告多、弹窗不易关闭等问题，常常困扰这些“银发网民”的手机使用舒适体验感；同时近半数被调查的老年消费者迫切需要国家和社会开发出更多的老年人专用的App产品。@至简财经L至简财经的微博视频,,,至简财经,"中消协发布老年人使用App障碍调查,不少老年人手机账户稀里糊涂被扣钱",1,0,1,2022-12-22 13:42,微博视频号,,"http://f.video.weibocdn.com/o0/rPhevohSlx081KtJkGNi0104120072370E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997076&ssig=ikPJsJhpoq&KID=unistore,video",,,黄V
