id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4728415388959094,LbVdgBAFw,6070857272,山西人文地理,#冰雪山西奇妙游#【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。（屈丽霞张立程向上）L中新视频的微博视频,,,,"冰雪山西奇妙游,与86岁冰雪老人体验冰上运动",0,0,0,2022-01-22 12:25,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727767205155544,LbElOlDbW,5183570185,同忻协力,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,2,2022-01-20 17:30,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,黄V
4727485482927210,Lbx1qchv4,6392886792,蚌埠政法,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 22:50,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727477795295420,LbwP1mdA0,2000016880,逐浪新闻,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 22:20,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727460182097951,LbwmC8NLV,5599911572,孝感日报,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。（屈丽霞张立程向上）L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 21:10,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727452373356435,Lbwa1e5a3,3891991160,山西云媒体,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 20:39,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727375935571508,LbuaJnnp2,7312171162,中新体育,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。（屈丽霞张立程向上）L中新视频的微博视频,,,,与86岁冰雪老人体验冰上运动,0,0,1,2022-01-19 15:35,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727365043750514,LbtTafJGa,5252718770,并州在线,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。L中新视频的微博视频,,太原,,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 14:51,iPhone客户端,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727354687489008,LbtCsvqes,3806438282,昆明经济技术开发区管委会,【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。（@中新视频）L中新视频的微博视频,,,中新视频,与86岁冰雪老人体验冰上运动,0,0,0,2022-01-19 14:10,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
4727334705304703,Lbt6emfZJ,3806438281,昆明国家高新区发布,#小新的Vlog#【#与86岁冰雪老人体验冰上运动#】山西太原，86岁的武之乃6岁起接触冰上运动，与冰雪结缘80年。担任体育教师期间，他积极推广速滑和冰球运动，组建了山西省第一支中学生冰球队，并参加了国内多项冬季运动会赛事，见证了中国冰上运动的发展和变化。记者与武之乃老人和原中国国家女子冰球队主力运动员石瑶一起，体验冰上运动的乐趣。（@中新视频）L中新视频的微博视频,,,中新视频,"小新的Vlog,与86岁冰雪老人体验冰上运动",1,0,1,2022-01-19 12:51,微博视频号,,"http://f.video.weibocdn.com/o0/PA4OkryLlx07T3ZOjiu401041203zPrm0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013447&ssig=GfKB4aGR0G&KID=unistore,video",,,蓝V
