id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4921959831571517,N9dh56AP3,2731587184,上海崇明消防,#中国低龄老人达1.5亿##独居老人没开空调致热痉挛咬断两颗牙#关爱独居老人，也要留意消防安全→→,,,,"中国低龄老人达1.5亿,独居老人没开空调致热痉挛咬断两颗牙",0,0,0,2023-07-10 14:22,微博网页版,https://wx3.sinaimg.cn/large/a2d0b670gy1hfrse0ptcdj21jk4th7wh.jpg,,,,蓝V
4907453885973045,N37Uop3Rr,7755446531,手抖帕金森咨询,【北京仁爱堂王常在】那么帕金森病是一种什么样的疾病呢？O【北京仁爱堂王常在】那么帕金森病是一种什么样的疾病呢？#早安微公益##帕金森##中国低龄老人达1.5亿#,,,,"早安微公益,帕金森,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:40,微博网页版,,,,北京,普通用户
4907453832237956,N37Uj9oc4,7755446531,手抖帕金森咨询,【北京仁爱堂王常在】帕金森患者长期运动迟缓会对身体造成怎样的危害？O【北京仁爱堂王常在】帕金森患者长期运动迟缓会对身体造成怎样的危害？#帕金森##早安微公益##中国低龄老人达1.5亿#,,,,"帕金森,早安微公益,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:40,微博网页版,,,,北京,普通用户
4907453781115689,N37Ue4GeZ,7755446531,手抖帕金森咨询,【北京仁爱堂王常在】“慢跑”对于帕金森病患者竟然有这么多好处!O【北京仁爱堂王常在】“慢跑”对于帕金森病患者竟然有这么多好处!#帕金森##早安微公益##中国低龄老人达1.5亿#,,,,"帕金森,早安微公益,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:40,微博网页版,,,,北京,普通用户
4907453722921060,N37U8cfTS,7755446531,手抖帕金森咨询,【北京仁爱堂】帕金森病发展到晚期会出现这些不适症状，广大患者要提高警惕！O【北京仁爱堂】帕金森病发展到晚期会出现这些不适症状，广大患者要提高警惕！#早安微公益##帕金森##中国低龄老人达1.5亿#,,,,"早安微公益,帕金森,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:40,微博网页版,,,,北京,普通用户
4907452695053089,N37Stlcxr,7790744413,痉挛性斜颈咨询,【北京仁爱堂王常在大夫】痉挛性斜颈太可怕了！你一不小心就可能会被盯上！O【北京仁爱堂王常在大夫】痉挛性斜颈太可怕了！你一不小心就可能会被盯上！#痉挛性斜颈##中国低龄老人达1.5亿#,,,,"痉挛性斜颈,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:36,微博网页版,,,,北京,普通用户
4907452635552800,N37Snnixi,7790744413,痉挛性斜颈咨询,【北京仁爱堂王常在】大揭秘！痉挛性斜颈真的不好治？O【北京仁爱堂王常在】大揭秘！痉挛性斜颈真的不好治？#痉挛性斜颈##中国低龄老人达1.5亿#,,,,"痉挛性斜颈,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:35,微博网页版,,,,北京,普通用户
4907452589937532,N37SiFHcM,7790744413,痉挛性斜颈咨询,【北京仁爱堂】中医可以恢复痉挛性斜颈吗？O【北京仁爱堂】中医可以恢复痉挛性斜颈吗？#中国低龄老人达1.5亿##痉挛性斜颈##舒颈扶正汤#,,,,"中国低龄老人达1.5亿,痉挛性斜颈,舒颈扶正汤",0,0,0,2023-05-31 13:35,微博网页版,,,,北京,普通用户
4907452548252340,N37SeyCOg,7790744413,痉挛性斜颈咨询,【北京仁爱堂王常在】歪脖子就是斜颈吗？别让痉挛性斜颈毁了你的人生O【北京仁爱堂王常在】歪脖子就是斜颈吗？别让痉挛性斜颈毁了你的人生#中国低龄老人达1.5亿##痉挛性斜颈#,,,,"中国低龄老人达1.5亿,痉挛性斜颈",0,0,0,2023-05-31 13:35,微博网页版,,,,北京,普通用户
4907452506309853,N37SaqttP,7790744413,痉挛性斜颈咨询,痉挛性斜颈会带来的危害？【北京仁爱堂王常在】O网页链接#痉挛性斜颈##中国低龄老人达1.5亿#,,,,"痉挛性斜颈,中国低龄老人达1.5亿",0,0,0,2023-05-31 13:35,微博网页版,,,,北京,普通用户
4907452460435235,N37S61PdV,7790744413,痉挛性斜颈咨询,【北京仁爱堂王常在】为什么你的痉挛性斜颈老不好，反反复复？O【北京仁爱堂王常在】为什么你的痉挛性斜颈老不好，反反复复？#中国低龄老人达1.5亿##痉挛性斜颈#,,,,"中国低龄老人达1.5亿,痉挛性斜颈",0,0,0,2023-05-31 13:35,微博网页版,,,,北京,普通用户
4907100100891722,N2YHM3JYC,7755446531,手抖帕金森咨询,【北京仁爱堂王常在】那么帕金森病是一种什么样的疾病呢？O【北京仁爱堂王常在】那么帕金森病是一种什么样的疾病呢？#帕金森##早安微公益##中国低龄老人达1.5亿#,,,,"帕金森,早安微公益,中国低龄老人达1.5亿",0,0,0,2023-05-30 14:14,微博网页版,,,,北京,普通用户
