id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4879663996344946,MxqqjqCBQ,6058567492,邦邦机器人,脊髓损伤患者、长期卧床老人都极易遭受褥疮折磨，邦邦机器人“希望之星”助力下肢失能群体居家复健、站立训练，远离褥疮带来的痛苦。#脊髓损伤##邦邦机器人##截瘫##中国失能老人超4000万#,,,,"脊髓损伤,邦邦机器人,截瘫,中国失能老人超4000万",0,1,0,2023-03-15 21:13,Android,https://wx4.sinaimg.cn/large/006C18awly1hc0umuoobmj30u013z413.jpg,,,,蓝V
4865205106646485,MrmhwrT3n,1852889040,翔哥地产观,幼儿园已停课125天现在，终于有进展了，开学倒计时高启强发达后先办幼儿园，定向公务员家庭子女，后办了养老院。中国家庭（哪怕你是公务员）的两大痛点，被他精准抓住几十年来的媒体宣传、舆论设计，都在有意避开「大人在家带娃难」、「子女在家照顾失能、半失能老人难」常年在家默默带娃的、默默照顾老人的，是沉默的大多数。他们极少被人看见#赵爸爸带娃日记##带娃##幼儿园开学##养老##居家养老##中国失能老人超4000万#,,,,"赵爸爸带娃日记,带娃,幼儿园开学,养老,居家养老,中国失能老人超4000万",0,0,0,2023-02-03 23:39,,https://wx3.sinaimg.cn/large/6e70d7d0ly1haqq6wi68gj20sx15vdml.jpg,,,,黄V
4830377627616114,McKgavXiy,2105241600,聚焦附加值,#中国失能老人超4000万#O抢跑居家养老，保险公司面临三大瓶颈,,,,中国失能老人超4000万,0,0,0,2022-10-30 21:07,iPhone客户端,,,,,普通用户
4729939104109592,LcyQShf5K,2759800621,开心保网,#今日养生#据调查，#中国失能老人超4000万#，占老年人口18.3%。#失能老人#是指丧失生活自理能力的老人，照顾这些老人也一定劳心劳力。小开这里教大家几个照顾失能老人的小技巧↓↓↓,,,,"今日养生,中国失能老人超4000万,失能老人",0,0,0,2022-01-26 17:20,微博 weibo.com,https://wx2.sinaimg.cn/large/a47f372dly1gyr6mc01wtj20u0143458.jpg,,,,蓝V
4716860589737515,L74CuERaH,6449286371,福玥堂,#我国女性平均预期寿命突破80岁#，但#中国人均健康预期寿命不到70岁#“活得长”与“活得健康”是衡量老年人口整体健康状况的重要指标。人均健康预期寿命是以丧失日常生活能力为终点。按照国际通行标准，吃饭、穿衣、上下床、上厕所、室内走动、洗澡6项指标中，有一项做不了就是失能。老年人失能大多数主要是由慢病引起的，如心脏病、脑血管病、恶性肿瘤等，因此慢病的防控尤其重要。#中国失能老人超4000万#[小红花]#慢病防控#,,,,"我国女性平均预期寿命突破80岁,中国人均健康预期寿命不到70岁,中国失能老人超4000万,慢病防控",0,0,1,2021-12-21 15:11,微博网页版,,,,,蓝V
4663937096486183,KqPilrdlR,2620648747,上海松江发布,#中国失能老人超4000万#【纾解“失能老人办事难”需要换位思考】因此，纾解“失能老人办事难”，就应当转变思路，将心比心换位思考，发现一些现实的痛点、堵点，通过完善顶层设计、实现流程再造等措施，让失能老人无法办理的情况下，其亲属也能够轻松代为办理，同时，采取有效措施堵住监管漏洞，消除办事过程中可能存在的风险和隐患，让失能老人不再为“办不成事”而烦忧。O东方快评丨纾解“失能老人办事难”需要换位思考,,,,中国失能老人超4000万,17,3,0,2021-07-28 14:11,微博 weibo.com,https://wx2.sinaimg.cn/large/9c33ed2bgy1gswmvw8pv2j208n061wep.jpg,,,,蓝V
4644717490343631,KiLiZ1ror,2105241600,聚焦附加值,直觉告诉我问题在哪儿。//@聚焦附加值:#体现技术劳务价值#。#中国失能老人超4000万#，#400万护士需照顾4400万失能老人#，#细心护士多看一眼救了患者一命#。,,,聚焦附加值,"体现技术劳务价值,中国失能老人超4000万,400万护士需照顾4400万失能老人,细心护士多看一眼救了患者一命",0,0,0,2021-06-05 13:20,iPhone客户端,,,,,普通用户
4639836520318447,KgIks1kQf,2105241600,聚焦附加值,#体现技术劳务价值#。#中国失能老人超4000万#，#400万护士需照顾4400万失能老人#，#细心护士多看一眼救了患者一命#。,,,,"体现技术劳务价值,中国失能老人超4000万,400万护士需照顾4400万失能老人,细心护士多看一眼救了患者一命",1,0,0,2021-05-23 02:04,iPhone客户端,,,,,普通用户
4616467574954260,K6UoBkMPq,3097295767,小熊饼干和我,《失能=失去尊严(23)》能级250是一个人过上有意义，顺意生活的开端。因为这是一个人出现自信的能级。　　当某人的能级由于外在条件而降到200以下，他就开始丧失能量，变得更加脆弱，更加为环境所左右。　　一个人有时候的能级高，其他的时候低。他的能级水平是所有这些时候的平均数。能级的起伏跟一个人的心境直接相关。这也就解释了，为什么一个人“精神爽，人逢喜事。”也就是为什么亚伯拉罕教导我们要快乐喜悦的根本所在。当你喜悦的时候，当你处于那些高能级的心境的时候，你的吸引力会是千万倍的增强！“要和成功的人在一起。”“要和正能量的人在一起。”那个意思是，成功的正能量的人有他们好的磁场，同时他们可以给你不一样的教导。这也是主动去应和吸引法则：人以类聚。那么如何提升个人的能级呢？首先放弃低能级的东西，负能量爆棚的朋友，断交吧！和高能级的东西呆在一起。这包括具有更高能级的人，高能级的书籍、音乐、电影、画、艺术品、温和的猫以及可爱的狗。猫或者狗，他们的能级都是500，对，比很多人都高多了。与频率较高的人相处在一起，我们往往感觉到舒适平静我们更容易感觉到快乐与和谐的氛围。与频率较低的人在一起，即使彼此之间并无冲突也没有过多的交流，却仍会感觉心烦意乱，暴躁焦虑，想要马上离开。处在低频率的状态时，也更容易吸引外部低频率的人事物，如果我们想要提高自身的能量层级，我们需要尽量避免低频率的情绪出现，将自己保持在一个较高的频率状态上，不断向更高频率提升。#失能老人##中国失能老人超4000万##能量层级##负面情绪致病#,,北京·富海国际港,,"失能老人,中国失能老人超4000万,能量层级,负面情绪致病",1,0,2,2021-03-19 14:25,HUAWEI P30,"https://wx3.sinaimg.cn/large/b89cfb97ly1gop70fhneqj20hs0a4nbt.jpg,https://wx2.sinaimg.cn/large/b89cfb97ly1gop70fmgeuj208h0aqwin.jpg",,,,普通用户
4616447823189128,K6TSKdnDy,3097295767,小熊饼干和我,《失能=失去尊严(21)》能量等级从0到1000；200以下为负面，200以上为正面。能量是有级别的，不同的情绪状态、内心修为有不同的能量级别。这是因为万物都有一定的意识水平和能量水平，书籍、食物、水、衣服，建筑、电影、运动、音乐、汽车、人和动物也不例外。能量可以在同一层次进行相互作用、转移和转化，也可以在不同的层次进行相互转移和转化。之所以多数人是不可能去阅读经典，就是因为他们的能量级别和经典的能量级别不在一个层级。一个人的能量高低与一个人的内在有关系。如果一个人内在的能量没有打开，即使拥有无数的技能，也没办法真正用到。认识自己的能量级别是自我认知的起点。经百万次实验测试：意念影响健康。频率标度值200是一个人正负能量的分界点，人类绝大部分人的心理体验和能量强度在这个范围内。当一个人的能量层级降到200以下的时候，生命能量就开始变得脆弱，不健康，缺乏活力和动力，完全被环境所左右。只有让自己的能量层级高于200才是属于正能量的人。这个世上绝大多数人被人影响的原因，就在于他们的能量等级都在200以下。那些超过500以上的能量等级的人，就开始拥有强大的影响，可以影响成千上万人，全世界只有4%的人能达到这个能级。能级超过600的人在地球上是凤毛麟角，只有千万分之一。一个人的能量等级不是固定的，它随着一个人的心境变化而变化。一个人拥有金钱，能量等级可能上升，是因为你有能力去做那些高能量级的事情。更高的能量等级决定了一个人的学习能力、获得怎样的财富和地位。真相是，更高的能量等级，来自于这个人善良的动机和内心的境界。要使能量等级提升非常困难，这是因为要改变一个人的信念、动机、行为准则和心灵境界很困难。科学家发现，诚实、同情和理解，这样的正面精神状态可以增强一个人的意志力、改善身心健康。让一个人变得更为诚实、更有同理心，能换位思考，恰恰是非常困难的。这就决定了我们一生所处的能量等级很难改变，  结果大多数人的一生就这样了。每个人最终为自己的情绪、语言和行为所困，我们使别人遭受的痛苦，同样会让自己亲身体验。能级无法改变，生命质量是有限的。#失能老人##中国失能老人超4000万##能量层级##负面情绪致病# ,,北京·富海国际港,,"失能老人,中国失能老人超4000万,能量层级,负面情绪致病",1,0,2,2021-03-19 13:06,HUAWEI P30,"https://wx3.sinaimg.cn/large/b89cfb97ly1gop4qiefgij20hs0a4nbt.jpg,https://wx3.sinaimg.cn/large/b89cfb97ly1gop4qilcbaj208h0aqwin.jpg",,,,普通用户
