id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5053254453431548,OmloheoHy,2813763582,小李同学呀-Y,狠狠流汗的一周夏日狂舞有我自己还有和小伙伴们#人们在努力工作生活的瞬间##跳舞##为什么越来越多老年人变年轻了#,,,,"人们在努力工作生活的瞬间,跳舞,为什么越来越多老年人变年轻了",0,14,50,2024-07-06 21:40,iPhone 15 Pro Max,"https://wx1.sinaimg.cn/large/a7b69ffegy1hrenbv6u61j23pc2gwkjm.jpg,https://wx4.sinaimg.cn/large/a7b69ffegy1hrenbw9jrhj22gw3pc1ky.jpg,https://wx1.sinaimg.cn/large/a7b69ffegy1hrenbx7x8nj23hv2bxnpd.jpg,https://wx2.sinaimg.cn/large/a7b69ffegy1hrenbrm8r1j20zm1ru4qp.jpg,https://wx1.sinaimg.cn/large/a7b69ffegy1hrenbpp33tj23a24dfkjl.jpg,https://wx3.sinaimg.cn/large/a7b69ffegy1hrenbtljlmj20zo1rue81.jpg,https://wx1.sinaimg.cn/large/a7b69ffegy1hrenbya4i5j22c0340qv5.jpg,https://wx4.sinaimg.cn/large/a7b69ffegy1hrenbynt1sj21hc0u0akc.jpg,https://wx4.sinaimg.cn/large/a7b69ffegy1hrenc0lt9wj23b04eonpf.jpg",,,上海,普通用户
5028097131544585,ObMVX6tOF,6613580668,拉皮抗衰讲解号,投稿：39岁姐姐术后11天没想到恢复的这么好术前面部苹果肌软组织下垂，法令纹加深，面中软组织下垂形成的口角囊袋下颌组织堆积，轮廓线条不流畅不清晰，做了中下面部小切口拉皮，苹果肌点位上提，法令纹平复，下颌紧致，耳前切口是皮下内缝合第二天可拆线，担心拉皮切口疤痕问题的姐妹可以冲了。#拉皮手术##为什么越来越多老年人变年轻了#北京拉皮医生功课可查：袁强谢宏彬赵延勇杨俊杨大平杜太超杨欣,,,,"拉皮手术,为什么越来越多老年人变年轻了",0,1,1,2024-04-28 11:33,微博网页版,"https://wx2.sinaimg.cn/large/007dzUrWly1hp6dsf3ywdj30cr0im7aa.jpg,https://wx1.sinaimg.cn/large/007dzUrWly1hp6dsii3qlj30d10hqwkp.jpg,https://wx4.sinaimg.cn/large/007dzUrWly1hp6dso1a9cj30ds0ihqai.jpg,https://wx3.sinaimg.cn/large/007dzUrWly1hp6dsr3hekj30d50hmdna.jpg,https://wx2.sinaimg.cn/large/007dzUrWly1hp6e0bb9yfj30xj1981kx.jpg",,,重庆,普通用户
4961149966354140,NpEMYqF08,7844047914,时光派Hebe,【普通人变年轻的四点核心思路】#航天专家称在太空会变年轻##为什么越来越多老年人变年轻了#普通人变年轻的四点核心思路L时光派Hebe的微博视频,,,,"航天专家称在太空会变年轻,为什么越来越多老年人变年轻了",0,0,0,2023-10-26 17:49,微博视频号,,"http://f.video.weibocdn.com/o0/GGiCxyYilx089Gb0VnuM01041200jvpn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726071107&ssig=NI3n4aTPHH&KID=unistore,video",,上海,蓝V
4924452774877372,Nag7XksPi,2962788344,UcanB整形外科皮肤科,元气满满的一周又开始了，宝贝们加油呀~咱家的公众号活动都参加了没？宠粉活动正在进行中喔~O惊喜！UcanB微信公众号终于跟大家见面辣宝贝们多多关注咱家公众号以后会有更多不定期宠粉活动等着大家呦~ps：全额免费鼻手术模特招募中哦，在韩的留学生，职场人宝贝们有想做鼻鼻的抓紧时间报名喔~💌官方微信：ucanb_2013💌微信公众号：ucanb2013🔎ins：ucanb_china🔎微博：UcanB整形外科皮肤科📕小红书：Dr.金骏昊📺哔哩哔哩：金骏昊（整形百科小课堂）📺油管：韩国UcanB整形医院📱Tel.+82(0)1036897008#韩国ucanb整形医院##金骏昊院长#韩国整形医院超话#案例模特招募#鼻综合超话隆鼻超话#隆鼻手术#限时活动超话#抢到就是赚到##全额免费#公众号超话#宠粉活动来袭##夏季限定##暑假来了##女孩子悄悄变美的妙招#整形那些事儿超话#为什么越来越多老年人变年轻了#优雅超话#美丽不能丢##为什么我天天防晒还是黑了##你最讨厌被人贴上什么标签#曾少年超话#读书多的女生可以多有气质##暑期变美逆袭##平胸变大波妹#丰胸隆胸超话#逆龄抗衰#LUcanB整形外科皮肤科的微博视频,,韩国,,"韩国ucanb整形医院,金骏昊院长,案例模特招募,隆鼻手术,抢到就是赚到,全额免费,宠粉活动来袭,夏季限定,暑假来了,女孩子悄悄变美的妙招,为什么越来越多老年人变年轻了,美丽不能丢,为什么我天天防晒还是黑了,你最讨厌被人贴上什么标签,读书多的女生可以多有气质,暑期变美逆袭,平胸变大波妹,逆龄抗衰",0,0,0,2023-07-17 11:28,微博视频号,,"http://f.video.weibocdn.com/o0/N193MY1Tlx0874ERgIHm010412005bUS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726071228&ssig=LBbdrdCtnS&KID=unistore,video",,韩国,蓝V
4837288913936989,MfE3pgwbP,5677023356,Doreen2025,越来越觉得自己是个老年人😌当我最近才开始用拼多多买一些日常用品的时候，回家发现我妈早已经抛弃了拼多多进而转战抖音shopping顺便给我这个从来不下载抖音的人演示了一下抖音上哪里看订单……我觉得我永远也赶不上属于我妈的时代潮流#为什么越来越多老年人变年轻了#,,,,为什么越来越多老年人变年轻了,0,0,1,2022-11-18 22:50,iPhone客户端,,,,安徽,普通用户
4830740200561195,McTGY2lZx,3457846472,短仙王,#为什么越来越多老年人变年轻了#不是老年人变年轻，而是潮人变老了，这其实是一个商机，我看到现在很多中老年人用品店，包括老人鞋，中老年衣服，还是20年前的土款。商家太低估这个市场了。现在的老年人穿搭年轻化，而且他们是改革开放后第一批富起来的人，根本不差钱，对他们来说开心最重要，这个市场有很大的潜力。,,,,为什么越来越多老年人变年轻了,0,0,0,2022-10-31 21:07,微博 weibo.com,,,,陕西,黄V
4828503483351772,MbXvme3WQ,2190704517,伊利欣活,#为什么越来越多老年人变年轻了#？年龄从来不是限制生活的枷锁，父母的退休生活，远比我们想象中「欣」鲜有趣！@伊利欣活与你一起，用#专业配方定制营养#守护长辈健康，助力他们拥有精彩好状态。#欣活好礼0蔗糖享“轻”福#「源自：锦鲤青年微信公号」,,,伊利欣活,"为什么越来越多老年人变年轻了,专业配方 定制营养,欣活好礼 0蔗糖 享“轻”福",109,69,107,2022-10-25 17:00,微博网页版,"https://wx1.sinaimg.cn/large/82937f85ly1h7hldk3h9jj20rs2b21kx.jpg,https://wx1.sinaimg.cn/large/82937f85ly1h7hldkqdhkj20rs4l4b2b.jpg,https://wx2.sinaimg.cn/large/82937f85ly1h7hldlhuhfj20rs2l8hdt.jpg,https://wx1.sinaimg.cn/large/82937f85ly1h7hldlyp37j20rs2vk1ky.jpg,https://wx1.sinaimg.cn/large/82937f85ly1h7hldmhsz0j20rs2wlkjl.jpg,https://wx3.sinaimg.cn/large/82937f85ly1h7hldn2hukj20rs31pu0x.jpg,https://wx3.sinaimg.cn/large/82937f85ly1h7hldnpiamj20rs3boqv6.jpg,https://wx1.sinaimg.cn/large/82937f85ly1h7hldoj3wsj20rs3lh1ky.jpg,https://wx2.sinaimg.cn/large/82937f85ly1h7hldp41kbj20rs372u0x.jpg",,,四川,蓝V
4820891815643619,M8LutnGa7,7575030448,白鹿视频,【#为什么越来越多老年人变年轻了#】人生没有过去时态，永远都在进行时态，年轻，与年龄无关。我们在生活中越来越多地看到一些年纪比较大的人，爱“折腾”。年轻人的爱好，他们一个不落下。每一个年龄都有每一个年龄的精彩，守住热爱，老年人也能发光发热#老了也想像他们一样#L白鹿视频的微博视频,,,,"为什么越来越多老年人变年轻了,老了也想像他们一样",2861,1358,22212,2022-10-04 16:53,微博视频号,,"http://f.video.weibocdn.com/o0/GJA7qerylx07ZIQv5teg010412019Yoy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726071559&ssig=6bxyUae5cT&KID=unistore,video",,,
4826601956838475,Mba2nsGZZ,7718740257,0410yt,因为她们都发现了自己热爱，都活出了自我//@我去年娱了个乐:#为什么越来越多老年人变年轻了#,,,我去年娱了个乐,为什么越来越多老年人变年轻了,0,0,22212,2022-10-20 11:04,iQOO Neo5 生而为赢,,,4820891815643619,江西,普通用户
4826601492055354,Mba1D8CGS,3016405011,彭点点呢,每个年龄都应该有自己热爱的东西，老年人更需要//@我去年娱了个乐:#为什么越来越多老年人变年轻了#,,,我去年娱了个乐,为什么越来越多老年人变年轻了,0,0,22212,2022-10-20 11:02,iPhone客户端,,,4820891815643619,湖北,普通用户
