id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5062844616281516,OqmShqm6M,6041830477,科学懂不懂,#我国基本养老保险已覆盖接近11亿人群#农村的老人们每月大约能有百元收入？生活日渐美好，感恩我们日益强盛的国家#养老保险##为农村老人争取养老金##搞笑##职场人##搞笑#L科学懂不懂的微博视频,,,,"我国基本养老保险已覆盖接近11亿人群,养老保险,为农村老人争取养老金,搞笑,职场人",0,5,0,2024-08-02 08:48,微博视频号,,"http://f.video.weibocdn.com/o0/Fod98qIwlx08gTM4VBkI01041200oMsq0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012404&ssig=HeUFCynHW4&KID=unistore,video",,,金V
5050980527770413,OloeEwBrf,6605861777,来品新鲜事,倾听田野的呼唤，让我们一同为农村的长者争取应得的尊严#为农村老人争取养老金##农民的声音，世界的回响##正能量在行动##正能量#L来品新鲜事的微博视频,,,,"为农村老人争取养老金,农民的声音，世界的回响,正能量在行动,正能量",0,0,0,2024-06-30 15:04,微博视频号,,"http://f.video.weibocdn.com/o0/4V5UgxpBlx08g3yuCO1W01041205Fwzl0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012404&ssig=YPNVNYw4tx&KID=unistore,video",,,红V
5021551362048314,O92Eg8ARk,6592383364,吕珍珍惜,有人提出建议，要给老百姓发放最基础的养老金#基本养老金#养老金#为农村老人争取养老金##快手#@快手我们农民要跟周长官这个大人物多多点赞。是他为农民想的太多。每一个农民都会感谢他的。要实际发放了，农民收到了那才叫感谢感谢。还要感谢国家对农民的这份爱。L每日特别微讯的快手视频,,,快手,"基本养老金 ,为农村老人争取养老金 ,快手",0,0,0,2024-04-10 10:03,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xtgv24xqfk8nhu&a=3xitf7bn2bdmxpk&f=3xfhr428jrjsba9&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5202502125699657145&shareResourceType=PHOTO_OTHER&shareToken=X-6zhj67owRPtWpp,,,普通用户
5008518295849934,O3zBboxPM,1261734453,毛启盈,#建议农民养老金统一上调#1.3亿60岁以上农村老人👍，每人每月多发100元养老金👍#为农村老人争取养老金#连玉明委员谈农民养老金#建议个人养老金可提前取#建议统一上调农民养老金#农民养老金怎么算L毛启盈的微博视频,,,,"建议农民养老金统一上调,为农村老人争取养老金 ,建议个人养老金可提前取 ",1,0,1,2024-03-05 10:54,微博视频号,,"http://f.video.weibocdn.com/o0/8paMjhPRlx08d2FaZsAg01041200ZheI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012404&ssig=H3aJEszLsm&KID=unistore,video",,,黄V
5008362127233221,O3vxiulGR,7478053470,y13750851464,#永远不要高估你在别人心里的位置#随走随拍大自然的美发个屁，我爸领养老金一年才1850多块。能干嘛。我爸爸的爸爸还扛过枪打过仗。牺牲了在烈士碑[捂脸][捂脸][捂脸]一人一亩田。能干啥子。养活不了自己。从之前120的医疗涨到380的医疗，按人计算。家里有几个人。算几个人。还有别的。加起来也是不小的开支。#为农村老人争取养老金#再苦再累也要坚持#人间冷暖只有自己经历了才知道L用户7478053470的微博视频,,黄冈·袁山村,,"永远不要高估你在别人心里的位置 ,为农村老人争取养老金 ",0,0,1,2024-03-05 00:34,微博视频号,,"http://f.video.weibocdn.com/o0/bvqjU1aClx08d1YyVUpy0104120067WI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012404&ssig=AOiRlxYx5b&KID=unistore,video",,,普通用户
4881465982583173,MybiKaQ05,2735321264,2020进小康,各行各业都有退休金，唯独老农民没有退休金#为农村老人争取养老金#关爱农村老人#聚焦三农服务百姓##快手#@快手L贤姐【首播筹备中】的快手视频,,,快手,"为农村老人争取养老金 ,聚焦三农服务百姓 ,快手",0,0,0,2023-03-20 20:34,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xiwzdb9m9pfggw&a=3xzrjv4aj8txpu2&f=3xrs7cqmc7a7fa9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5234590238467355806&shareResourceType=PHOTO_OTHER&shareToken=X-19eWKhvPuYA1wP,,,普通用户
4881443961966133,MyaJe8ftP,2625450161,来自火星的马叉虫sY,各行各业都有退休金，唯独老农民没有退休金#为农村老人争取养老金#关爱农村老人#聚焦三农服务百姓##快手#@快手L贤姐【首播筹备中】的快手视频,,,快手,"为农村老人争取养老金 ,聚焦三农服务百姓 ,快手",0,0,0,2023-03-20 19:06,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xiwzdb9m9pfggw&a=3xzrjv4aj8txpu2&f=3xgtxuutpsnsg8q&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5234590238467355806&shareResourceType=PHOTO_OTHER&shareToken=X-9dYYb1r71Gw198,,,普通用户
4874400043895050,Mvdu4glho,1815897645,芸儿_81179,我发布了：农民能享受退休和养老金资格吗？#为农村老人争取养老金#快手三农#新光合分助成长光合分助成长@快手创作灵感小助手##快手#@快手L小八戒生活的快手视频,,,"快手创作灵感小助手,快手","为农村老人争取养老金 ,快手",0,0,0,2023-03-01 08:36,快手极速版,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xs77gn7969g7k4&a=3xsz7zzuszcc7ki&f=3xsz7zzuszcc7ki&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5237123513692831069&shareResourceType=PHOTO_SELF&shareToken=X-4XXmyIvCWQn2cX,,,普通用户
4863311944613953,Mqz22jmiB,2735321264,2020进小康,农民的养老金每月一千到两千就行了#为农村老人争取养老金#养老金#聚焦三农服务百姓##快手#@快手L贤姐正能量🍀的快手视频,,,快手,"为农村老人争取养老金 ,聚焦三农服务百姓 ,快手",0,0,0,2023-01-29 18:16,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x6n29k6qa9s27u&a=3xamcf7vxypr47s&f=3xrs7cqmc7a7fa9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5254293486235723452&shareResourceType=PHOTO_OTHER&shareToken=X-8MsKqsuuorz1P5,,,普通用户
4841653778779811,MhtBvAQ1R,2588542247,最喜欢修勾了,#为农村老人争取养老金#绿官##快手#@快手L绿官说农资的快手视频,,,快手,为农村老人争取养老金 ,0,0,0,2022-11-30 23:54,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xjqaxh5bijc6yi&a=3xq62j9e22q5hvu&f=3x8yzawezbimayi&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5233182853995292392&shareResourceType=PHOTO_OTHER&shareToken=X1Q0rkrTVaEU1Bp,,,普通用户
4841596808337607,Mhs7CyYZx,2588542247,最喜欢修勾了,#为农村老人争取养老金#绿官##快手#@快手L绿官说农资的快手视频,,,快手,为农村老人争取养老金 ,0,0,0,2022-11-30 20:08,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xjqaxh5bijc6yi&a=3xq62j9e22q5hvu&f=3x8yzawezbimayi&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5233182853995292392&shareResourceType=PHOTO_OTHER&shareToken=X1Q0rkrTVaEU1Bp,,,普通用户
4836194388804589,MfbA2AWtv,7518591370,用户7518591370,什么样的农民，应该开工资！#为农村老人争取养老金#支持农民养老金上涨#农民##快手#@快手L淘王嫂（农学院）的快手视频,,,快手,"为农村老人争取养老金 ,农民 ,快手",0,0,0,2022-11-15 22:20,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xvtn3vbnr93vi6&a=3xe9jmeg5t9anwk&f=3xm32f5tu5dv9ca&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5232056955207100825&shareResourceType=PHOTO_OTHER&shareToken=X82MTh2nHKTJ8z2,,,普通用户
4833480091113521,Me2Y94FG1,2847698251,喵叔说保障,给65岁以上的农民发工资，你支持吗？#社保##为农村老人争取养老金##保险##养老金#L喵叔说保障的微博视频,,,,"社保,为农村老人争取养老金,保险,养老金",0,1,1,2022-11-08 10:35,微博视频号,,"http://f.video.weibocdn.com/u0/yblc3iLPgx080CfFt5QI01041200oanJ0E010.mp4?label=mp4_720p&template=720x1268.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012406&ssig=j1agkfbYtH&KID=unistore,video",,,黄V
4827823845936522,MbFPaoUmm,2735321264,2020进小康,#为农村老人争取养老金#快手创作者中心#集合吧光合创作者##快手#@快手L陈晨✨✨书语的快手视频,,,快手,"为农村老人争取养老金 ,集合吧光合创作者 ,快手",0,0,0,2022-10-23 19:59,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xq4ms84up4cpmq&a=3xu9ja46sh5xws2&f=3xrs7cqmc7a7fa9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5192650457746722016&shareResourceType=PHOTO_OTHER&shareToken=X-a2g5ysscQID1Tv,,,普通用户
4826293768295259,Mb21iyNYv,2735321264,2020进小康,#为农村老人争取养老金#关爱农村老人#关爱农村老人养老问题##快手#@快手L虹虹爱说实话的快手视频,,,快手,"为农村老人争取养老金 ,关爱农村老人养老问题 ,快手",0,0,0,2022-10-19 14:39,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xmr3gcik8nz24s&a=3xkjkws6hfr7jf2&f=3xrs7cqmc7a7fa9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5197998482263297047&shareResourceType=PHOTO_OTHER&shareToken=X-1Js4zobw1pX16o,,,普通用户
4818774170272943,M7SoV190j,6602213668,用户6602213668,#新光合计划#三农#为农村老人争取养老金##快手#@快手L农村柱子（正能量）的快手视频,,,快手,"新光合计划 ,为农村老人争取养老金 ,快手",0,0,0,2022-09-28 20:39,快手极速版,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x6x58up8gphadi&a=3x2f8phvvkuwdjs&f=3xe4re9hgjejvuc&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5204190928894638268&shareResourceType=PHOTO_OTHER&shareToken=X9BNGgF3fqFP2eQ,,,普通用户
4817122565556522,M7br2njvk,2735321264,2020进小康,#为农村老人争取养老金#传播正能量关爱农村老人#关爱农村老人传递正能量##快手#@快手L财源滚滚来的快手视频,,,快手,"为农村老人争取养老金 ,关爱农村老人传递正能量 ,快手",0,0,0,2022-09-24 07:16,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xvq6s48b8zpt7i&a=3xv6eesnckimjby&f=3xrs7cqmc7a7fa9&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5235434650360004564&shareResourceType=PHOTO_OTHER&shareToken=X91arUieSTlq1SX,,,普通用户
4800648417908993,M0gRPxbup,2735321264,2020进小康,#传播正能量关爱老人#关注农村老人养老问题#为农村老人争取养老金##快手#@快手L诱惑的快手视频,,,快手,"传播正能量关爱老人 ,为农村老人争取养老金 ,快手",0,0,0,2022-08-09 20:13,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xb6i5uuqhjtrf4&a=3x4383rjep3e3dc&f=3xrs7cqmc7a7fa9&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5201376173649593229&shareResourceType=PHOTO_OTHER&shareToken=X96fObWKjf7lr51,,,普通用户
4797051399050782,LEIKvBYwm,2847698251,喵叔说保障,终于等到了，农村养老金也要上涨了#养老金##社保##为农村老人争取养老金#L喵叔说保障的微博视频,,,,"养老金,社保,为农村老人争取养老金",0,0,0,2022-07-30 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/wVLTG2SXlx07Y1UMsY2Y01041200qPeM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012408&ssig=j5GecRmtrz&KID=unistore,video",,,黄V
4784545594867720,LztpRkqjC,2735321264,2020进小康,40~60的老前辈，真的不能再等了#农村大实话传递正能量#关爱农村老人#为农村老人争取养老金##快手#@快手L默默2的快手视频,,,快手,"农村大实话传递正能量 ,为农村老人争取养老金 ,快手",0,0,0,2022-06-26 09:47,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xezj3q8vasfbs6&a=3xfdmxmv8tngtiy&f=3xrs7cqmc7a7fa9&kpn=NEBULA&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5247538070199788736&shareResourceType=PHOTO_OTHER&shareToken=X7gLqQPRvDQtgVe,,,普通用户
4781424442607390,LyadKaWiG,1865624512,榆树久丰农资李晴,我发布了：#为农村老人争取养老金#农村老人#实话实说传递正能量##快手#@快手L小晴哥【冲刺50万】的快手视频,,,快手,"为农村老人争取养老金 ,实话实说传递正能量 ,快手",0,0,0,2022-06-17 19:04,微博视频号,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xu7cb2t4qecm6y&a=3xsmstrweuj3zp6&f=3xsmstrweuj3zp6&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5241627091565820527&shareResourceType=PHOTO_SELF&shareToken=X4ke0NnAb0sP1jc,,,普通用户
4777058452639633,LwkDPb4GJ,5516553237,磊磊山庄82968,我发布了：还有多少人知道三提五统#为农村老人争取养老金#关爱农村老人#三农@快手正能量##快手#@快手L农村人磊磊山庄的快手视频,,,"快手正能量,快手","为农村老人争取养老金 ,快手",0,0,0,2022-06-05 17:55,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3x6f3zp2k5c24ek&a=3x597yr29sc3qni&f=3x597yr29sc3qni&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5190680119020438951&shareResourceType=PHOTO_SELF&shareToken=X6Tt119uX5CN1wR,,,普通用户
