id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4904240663233931,N1MjMdzib,3302337561,李沧发布,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓O网页链接,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-22 16:52,微博网页版,,,,,蓝V
4904223936091270,N1LSNpyCi,3877456382,新城法院,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-22 15:46,微博视频号,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4904110212780473,N1IVnbFkl,5732764009,网信南阳,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓#南阳好网民#L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务,南阳好网民",1,0,2,2023-05-22 08:14,微博视频号,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4904077605470894,N1I4MmXee,1849152565,叶建勛,#透过窗口看中国#【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。中国超话戳↓L央视新闻的微博视频,,,,"透过窗口看中国,丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",1,1,0,2023-05-22 06:04,中国超话,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,金V
4903971363751704,N1FjqfJZm,3443851640,平安达州,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-21 23:02,蜀黍的HarmonyOS设备,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4903966196367678,N1Fb5qIwu,3089228371,万源司法,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-21 22:41,微博视频号,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4903959829157888,N1F0OCqnS,5479875664,博览新闻,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-21 22:16,微博视频号,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4903957945915056,N1EXMoOM8,5872960861,西北信息报,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",1,0,2,2023-05-21 22:09,HUAWEI P30,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4903950811140145,N1EMh4MBr,1598078571,福建东南网,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",0,0,0,2023-05-21 21:40,HUAWEI P40 Pro 5G,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007575&ssig=g6M2juqAoC&KID=unistore,video",,,蓝V
4903948500865314,N1EIy3D6G,2656274875,央视新闻,【《面对面》丨专访棋王丁立人和护理界“国际成就奖”获得者章金媛】①国际象棋巅峰较量，#丁立人冠军赛前压力大到求助心理医生#，他如何一步步战胜自己？②江西南昌市第一医院护理部原主任章金媛，从事临床护理工作40余年，拥有30余项临床发明，#九旬老人仍在做志愿护理服务#。戳↓L央视新闻的微博视频,,,,"丁立人冠军赛前压力大到求助心理医生,九旬老人仍在做志愿护理服务",94,45,350,2023-05-21 21:31,微博直播平台,,"http://live.video.weibocdn.com/438a4a3b-086c-482a-acfd-753e9a137434_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1725007577&ssig=yqiZhKryWv&KID=unistore,video",,,蓝V
