id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4883456573833561,Mz15ng5hD,3699156414,河池消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,1,0,2023-03-26 08:24,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4880931435841931,MxXozovKH,2696044050,盐城交警,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,3,3,2023-03-19 09:10,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4880672244369359,MxQEwikFx,3434127154,四平市消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,0,0,2023-03-18 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879653016442842,Mxq8Br24O,2467781350,曲靖消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,2,2,2023-03-15 20:30,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879509578580836,MxmpfA0gA,2297859895,晋中消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,3,0,29,2023-03-15 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879275729883339,Mxgk4Ft6H,3254601903,长春市消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,0,0,2023-03-14 19:30,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879275536682210,MxgjLs2lA,3253259703,吉林消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,1,0,0,2023-03-14 19:30,iPhone客户端,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879267973830814,Mxg7zg4zk,2539867622,河北消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,1,1,2023-03-14 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879242418457627,Mxfslzudl,1648119052,山西消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,0,0,1,2023-03-14 17:18,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984878&ssig=1qYH3fX04o&KID=unistore,video",,,蓝V
4879237784276896,MxfkShWCc,2606243004,福建消防,【#九旬老人想家养老院出走被困8米陡坡#】近日，浙江临海，九旬老人因想家从养老院出走，被困距地面8米高陡坡，随时有跌落的危险。消防员赶赴，安抚老人不要怕，为其做好保护措施后，与现场民警一起将老人拉到坡顶，顺着梯子小心下至地面。L中国消防的微博视频,,,,九旬老人想家养老院出走被困8米陡坡,2,11,15,2023-03-14 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/HeeEkDkVlx083Q4oNn0k01041200bOI60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984879&ssig=sxA6UWObMc&KID=unistore,video",,,蓝V
