id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4804238071300744,M1MfB5snK,5876131361,陕西政法,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",5,5,3,2022-08-19 17:57,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,
4808482383986735,M3yFggJ8b,3964604458,西乡政法,【暖！#交警护送独居老人回家被塞西瓜#】,,,,交警护送独居老人回家被塞西瓜,0,0,3,2022-08-31 11:03,360安全浏览器,,,4804238071300744,,蓝V
4807508801881707,M39kY7Tw7,1978054071,平安银川,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",1,5,3,2022-08-28 18:34,iPhone客户端,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4807476790428299,M38vl1Nq3,1909319983,绵阳交警直属四大队,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",0,0,0,2022-08-28 16:27,iPhone客户端,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4807456016830274,M37XPsERI,5430446235,西安交警长安大队,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",0,1,0,2022-08-28 15:04,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4807452912255979,M37SP9sSL,1936090780,南县公安局,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",0,2,1,2022-08-28 14:52,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4807449335301491,M37N3mf9V,3898311280,雅安公安,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",0,0,0,2022-08-28 14:38,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4807447233434223,M37JFepoH,6052733332,黑龙江高速交警,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警via.公安部交通管理局L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",2,39,16,2022-08-28 14:30,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,蓝V
4804118810462228,M1J9f1Wfi,2501519087,公安部交通管理局,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警L公安部交通管理局的微博视频,,,淮南交警,"交警护送独居老人回家被塞西瓜,交警正能量",57,10,31,2022-08-19 10:04,微博视频号,,"http://f.video.weibocdn.com/o0/PgAKKzd1lx07YwZ5GXYQ01041200AXUZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=ZNQc6CH58R&KID=unistore,video",,,
4806271814077255,M2D9Ph6Gb,1944873177,日照交警,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#,,,,"交警护送独居老人回家被塞西瓜,交警正能量",0,0,31,2022-08-25 08:39,微博 weibo.com,,,4804118810462228,,蓝V
4806027880956572,M2wOo40QA,2146327684,武汉交警,【暖！#交警护送独居老人回家被塞西瓜#】#交警正能量#近日，正在淮南市八公山区执勤的一名民警发现一位老人在警车旁等候。民警上前询问得知，该老人已年过八旬，坐公交过站后迷路了。民警询问得知，该老人平时独自居住，于是决定开车护送老人回家。当民警将老人送至家门口后，老人拉着民警的手，想要送警组解暑西瓜，并说：“你拿走，我的孩子。”最后民警再三提醒老人回家休息，直到看着老人关门才离开。@淮南交警@公安部交通管理局L武汉交警的微博视频,,,"淮南交警,公安部交通管理局","交警护送独居老人回家被塞西瓜,交警正能量",2,0,0,2022-08-24 16:30,微博视频号,,"http://f.video.weibocdn.com/o0/1LJBRGiZlx07YxovEftC01041200zLEa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002603&ssig=lShCYKNrlU&KID=unistore,video",,,蓝V
