id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5047388012026301,OjSMh8v8h,1563372971,骑牛小姐,透过一组数据，就能感受到国家“催生”的焦虑。1、中国65岁以上老人占比，2000年7%，2021年14%，2023年超20%，2060年约37.4%。2、中国80岁以上的高龄老人占比，2023年2.8%，预计2050年11%，2070年18.6%。3、中国劳动力人口与65岁以上老人的比值，2023年5：1，预计2050年2：1。4、根据中国社科院《中国养老金精算报告2019—2050》预测，养老金收不抵支出现在2028年，到2035年将耗尽累计结余。很恐怖的一组数字，人口问题确实是一个大问题。但之所以催生效果不好，我认为最根本的问题，在于阶级固化和分配不公。#人口负增长下少子老龄化将成为常态#很现实的国情就是，即便你想做一个勤勤恳恳的打工人，超过35岁也就机会渺茫了；但与之对应的是，你要等到60岁甚至更老才能退休。那35-60岁这25年怎么办？#财经#不解决根本问题，也就没法实现真正的催生。,,,,"人口负增长下少子老龄化将成为常态,财经",5,12,152,2024-06-20 17:09,iPhone 14,https://wx2.sinaimg.cn/large/5d2f2dabgy1hqvxlj3jflj20ic0ac0u7.jpg,,,广东,黄V
5043347777652255,OibFLw6Ht,2560746500,上石尧也,#我国出生人口下降三大因素#目前我国人口出现负增长，社会老龄化问题加剧#人口负增长下少子老龄化将成为常态#造成生育意愿持续下降，跟下面这个人有很大关系。他的影响力和研究成果左右了有关部门的决策，成了现在很大的社会问题，不该有人出来走几步吗？#2022年全国人口或出现负增长##中国人口近61年来首次负增长#,,,,"我国出生人口下降三大因素,人口负增长下少子老龄化将成为常态,2022年全国人口或出现负增长,中国人口近61年来首次负增长",0,0,0,2024-06-09 13:34,荣耀Magic3 5G,https://wx4.sinaimg.cn/large/98a1e404gy1hqj1i92f6yj20w01c9k3n.jpg,,,江西,黄V
5023159174567225,O9Itvja8V,1773306527,南海孤舟HDD,我一直认为应该禁止人工流产，这样对解决人口焦虑问题也会起到一定的作用。#这两种方式属于无效避孕##人口负增长下少子老龄化将成为常态#,,武汉,,"这两种方式属于无效避孕,人口负增长下少子老龄化将成为常态",0,0,0,2024-04-14 20:32,iPhone 12 Pro Max,,,,湖北,黄V
5021189234229620,O8TebhKjG,2167163350,荣耀西安网,【2023年西安人口增量8.23万】2023年西安人口增量8.23万，被郑州反超，位列北方第二！#陕西##人口负增长下少子老龄化将成为常态#L荣耀西安网的微博视频,,,,"陕西,人口负增长下少子老龄化将成为常态",0,3,2,2024-04-09 10:04,iPhone客户端,,"http://f.video.weibocdn.com/o0/2goEEPAilx08dWqTV1NS01041200bmMZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729316843&ssig=VoYzDLjjjP&KID=unistore,video",,陕西,蓝V
5011186272437790,O4H0naebc,6285905252,A股貔貅校尉,挖掘人口老龄化趋势下，养老细分领域的投资机会#养老##人口负增长下少子老龄化将成为常态##2035年左右中国将进入重度老龄化#LA股貔貅校尉的微博视频,,,,"养老,人口负增长下少子老龄化将成为常态,2035年左右中国将进入重度老龄化",0,1,22,2024-03-12 19:36,招财聚宝iPhone客户端,,"http://f.video.weibocdn.com/u0/gOV8WpYxgx08dep4NHSw01041200rxPc0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729316877&ssig=T2W%2BORmpCO&KID=unistore,video",,广东,黄V
4992271311441485,NCIoH62ZL,1941138383,做只安静孤独的乌龟,此起彼伏，此消彼长。天地循环，这天迟早是要来的。#人口负增长下少子老龄化将成为常态#,,,,人口负增长下少子老龄化将成为常态,3,1,2,2024-01-20 14:54,iPhone 15 Pro,"https://wx2.sinaimg.cn/large/73b36bcfgy1hm03cyjdadj20j60c1n0o.jpg,https://wx2.sinaimg.cn/large/73b36bcfgy1hm03d2wch9j20u01huqct.jpg,https://wx2.sinaimg.cn/large/73b36bcfgy1hm03ibhx0zj20qo0qrmyi.jpg,https://wx2.sinaimg.cn/large/73b36bcfgy1hm03ibsjowj20zu145dle.jpg,https://wx3.sinaimg.cn/large/73b36bcfgy1hm03ic2i1yj20r90flgn6.jpg,https://wx1.sinaimg.cn/large/73b36bcfgy1hm03icd1wfj20u017xdm4.jpg",,,广东,金V
4987821001801996,NAQCM7yMs,6107930707,满江树闲谈,发布了头条文章：《应对人口负增长，我们迫在眉睫》#人口负增长下少子老龄化将成为常态##2035年左右中国将进入重度老龄化#O应对人口负增长，我们迫在眉睫,http://t.cn/A6lsGHr2,,,"人口负增长下少子老龄化将成为常态,2035年左右中国将进入重度老龄化",0,0,0,2024-01-08 08:10,微博 weibo.com,,,,内蒙古,普通用户
4978624182879592,NwZncc572,2317481067,小奶盖的爸比7,那个时代的新闻都这么爆炸💥20年前预测的人口零增长也于2022年实现了！#人口负增长下少子老龄化将成为常态##公民有不生育的自由##专家建议发放3万亿生育补贴#,,,,"人口负增长下少子老龄化将成为常态,公民有不生育的自由,专家建议发放3万亿生育补贴",0,0,1,2023-12-13 23:06,iPhone客户端,https://wx3.sinaimg.cn/large/8a21f46bgy1hksk3e339pj20zo1fmk9p.jpg,,,湖北,普通用户
4972241020520014,NujjM2bhk,1368140442,Aircouriers,🇨🇳的普通百姓还真是世界上最幸福的呢，主打的就是一个科技与狠活，以后做饭的宝宝能顿顿吃上超级健康有益的转基因；不做饭的宝宝，也不用担心，可以顿顿吃上健康美味，且不用担心变质过期的预制菜，屯一次能吃上好几年。这样可一次性解决很多国家社会的问题，一方面目前人口老龄化严重，80后90后面临着养老金短缺，如果让这些人中的大多数在65退休前自动消失，那么问题就解决了；另一方面，让孩子从小吃这些，可能会优胜劣汰进化出拥有超能力的孩子也说不定可以为国效力，建设出强大的祖国；再者，自动消失的人变多了，🇨🇳的人口福利就会更好呀，社会也不会这么卷了，坐公交地铁也不会每天那么挤，节假日出去旅行也不会从看风景变成看人。总之就是优点多多，双手支持国家的预制菜和转基因政策，希望赶紧推广普及呢#转基因食品##马云入局预制菜##人口负增长下少子老龄化将成为常态##养老金#,,,,"转基因食品,马云入局预制菜,人口负增长下少子老龄化将成为常态,养老金",0,0,1,2023-11-26 08:21,小米CC9 Pro 一亿像素,,,,上海,黄V
4971009871449276,NtNi3651q,1684116634,洞见报告,20省份2022年人口自然增长率为负，中国人口危机逐步加剧#人口负增长下少子老龄化将成为常态#L洞见报告的微博视频,,,,人口负增长下少子老龄化将成为常态,0,0,1,2023-11-22 22:49,iPhone客户端,,"http://f.video.weibocdn.com/u0/DU7NrX7jgx08anzE0JoA01041201de210E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729317015&ssig=TlW9T2al%2BP&KID=unistore,video",,广东,黄V
