id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4575509633049070,JvGlJcNcy,2248834985,四川魏静,【董倩：智能化要适应于老年人，而不是让老年人去适应智能化】董倩：科技是为了什么？科技是为了给人带来便利，而不是说给人制造不便。智能化是要服务于老年人的、是要适应于老年人的，而不是说倒过来，让老年人去服务于、去适应智能化。（小央视频）L小央视频的微博视频#老人是否被科技边缘化##人民日报评老人冒雨交医保被拒收现金##迷惑行为#,,,,"老人是否被科技边缘化,人民日报评老人冒雨交医保被拒收现金,迷惑行为",1,6,11,2020-11-26 13:52,微博视频号,,"http://f.video.weibocdn.com/3MilD1Jqlx07Iis0vmxW01041200bTWy0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007397&ssig=607Rjj%2ByUP&KID=unistore,video",,,红V
4575460158082376,JvF3VxUAU,1747013575,小龙女流浪记,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:36,微博 weibo.com,,,,,黄V
4575460006559783,JvF3GrwuX,6176505549,娱圈贰少,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:35,微博 weibo.com,,,,,黄V
4575459884931170,JvF3ukGP0,6188910014,金市之首,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:35,微博 weibo.com,,,,,黄V
4575459201522139,JvF2o6nYD,6153697730,上海ORII潮流Hiphop夜店,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:32,微博 weibo.com,,,,,普通用户
4575458765310745,JvF1Gmhzb,1645378991,芒果捞星记,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:30,微博 weibo.com,,,,,普通用户
4575458417708077,JvF17wldP,2621411973,娱乐圈小笔尖,谁都有老去的一天，今天的他们就是明天我们自己，希望我们的社会制度保障体系越来越健全，真正做到老有所养，老有所依。#人民日报评老人冒雨交医保被拒收现金#,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 10:29,微博 weibo.com,,,,,黄V
4575389210903492,JvDdv3N2s,1270873377,那年de晓雪初晴,#人民日报评老人冒雨交医保被拒收现金#都有老的一天，方便老人就是方便自己的未来。,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-26 05:54,Android,,,,,红V
4575300337277900,JvAU9uxju,5237163481,嗨我宣你呀,#人民日报评老人冒雨交医保被拒收现金#我个人觉得现在科技发展快速，老人绿色通道还是应该安排起来。这次冒雨老人交医保被拒收现金虽然工作人员解释是误会，但是这样的情况还是有发生类似的。只希望大家都想清楚我们都会有老去的一天，我们也有不懂的东西。换位思考一下，不要让科技阻碍了最基本的沟通交流#潜力创作大赏#,,,,"人民日报评老人冒雨交医保被拒收现金,潜力创作大赏",12,7,7,2020-11-26 00:01,iPhone客户端,,,,,黄V
4575287465739519,JvAzoo56T,5585441090,狗狗搞笑视频V,【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,1,2020-11-25 23:09,HUAWEI nova 3i,https://wx2.sinaimg.cn/large/0065ZWnwly1gl1tm9y255j30fa0r542o.jpg,,,,黄V
4575286085033020,JvAxal7jK,3087016567,小牛药师超有范,【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,2,2020-11-25 23:04,小米9,,,,,黄V
4575282834966268,JvArVkPX6,2147268093,宋药师,#人民日报评老人冒雨交医保被拒收现金#“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,1,0,2,2020-11-25 22:51,iPhone 12 Pro Max,https://wx2.sinaimg.cn/large/7ffcb5fdly1gl1t355y2lj20fa0r5wiw.jpg,,,,红V
4575267210932016,JvA2J3Usw,1571504681,阳江声音,#人民日报评老人冒雨交医保被拒收现金#他们认为，使用手机可以缴费，你们怎么不用呢？民众我来教你用手机缴费！【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,1,1,2020-11-25 21:49,小米8周年旗舰手机,,,,,普通用户
4575263939372145,JvzXrDk7D,1899824341,北京头条校园,#人民日报评老人冒雨交医保被拒收现金#【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 21:36,iPhone客户端,,,,,黄V
4575257749102579,JvzNsCbZN,2539857057,红领巾sl,#人民日报评老人冒雨交医保被拒收现金#【这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。#巾巾乐道#,,,,"人民日报评老人冒雨交医保被拒收现金,巾巾乐道",0,0,1,2020-11-25 21:11,巾巾乐道超话,https://wx3.sinaimg.cn/large/976324a1ly1gl1q7f8jf3j20u01t0e1f.jpg,,,,黄V
4575249020235856,Jvzzo0Zm8,3318704034,HEIHEIG,#人民日报评老人冒雨交医保被拒收现金#“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 20:37,,,,,,黄V
4575243659646910,JvzqJEtBk,1936074313,小Ann老师,#人民日报评老人冒雨交医保被拒收现金#拒收现金是违法的吧？,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 20:15,Android,,,,,黄V
4575182314799963,JvxPNk8GL,5862210236,欢乐学长宋灿灿,#人民日报评老人冒雨交医保被拒收现金#别担心，祖国关心着每一位老人！国办发文强调不得拒收现金！L天天美食推送的微博视频,,,,人民日报评老人冒雨交医保被拒收现金,2,1,4,2020-11-25 16:12,微博视频号,,"http://f.video.weibocdn.com/cjkMzaKKlx07IhnM7w5q010412003nV10E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007400&ssig=JT%2FC8k2g5l&KID=unistore,video",,,黄V
4575180699471957,JvxNbDK5v,5183344012,视频热搜令,#人民日报评老人冒雨交医保被拒收现金#印度这是学中国啊,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 16:05,iPhone 7 Plus,,,,,黄V
4575179550759778,JvxLl3bEu,2196625020,快搜视频,【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 16:01,iPhone客户端,,,,,普通用户
4575178812035669,JvxK98xzn,7094269340,健康大武汉,【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 15:58,微博 weibo.com,https://wx2.sinaimg.cn/large/007K6Px2gy1gl1h51n6cnj30fa0r51kx.jpg,,,,普通用户
4575174919457425,JvxDRDGj7,2196629104,抢鲜视频,【#人民日报评老人冒雨交医保被拒收现金#这画面刺痛人心】“老吾老以及人之老”。面对老龄化时代，希望我们的办事机构、窗口单位、服务人员都能多些换位思考，利用好数字技术，真正让老年人群体感受到服务的温度。每个人终将老去，你我一样，总会有跟不上的一天，难道那时就只能接受这样的尴尬与困顿么？无论是公共服务的提供者，还是提供商业服务的提供者，都不应忽略这样的群体。O人民日报:老人冒雨交医保被拒收现金这画面刺痛人心,,,,人民日报评老人冒雨交医保被拒收现金,0,0,0,2020-11-25 15:42,iPhone客户端,,,,,普通用户
