id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4841900995513133,MhA2fn8dv,7516184137,巨龙创视,#电子哨兵##数字哨兵##人脸识别帮老年人核验健康码##人脸识别健康码测温门禁机#巨龙创视数字哨兵入围深圳市防疫推荐品牌企业，安全性通过了深圳市安全技术检测，同时为全国二十多个省市提供了技术服务支持。通过权威检测认证、国家3C认证、信息安全认证。,,,,"电子哨兵,数字哨兵,人脸识别帮老年人核验健康码,人脸识别健康码测温门禁机",0,0,0,2022-12-01 16:16,微博网页版,https://wx1.sinaimg.cn/large/008cF8Qpgy1h8odqb9yauj30u01e8n36.jpg,,,,普通用户
4841563333331971,MhrfDdYNt,7516184137,巨龙创视,#开学后校园防疫怎么做##数字哨兵##电子哨兵##人脸识别帮老年人核验健康码#现如今，电子哨兵已经成为常态化疫情防控的重要手段！多地正在大力推动公共场所“电子哨兵”的落地，在学校、商场、医院、住宅、车站等场所都可以看到巨龙电子哨兵人脸识别健康码测温核验门禁一体机的“身影”。,,,,"开学后校园防疫怎么做,数字哨兵,电子哨兵,人脸识别帮老年人核验健康码",0,0,0,2022-11-30 17:55,微博网页版,"https://wx2.sinaimg.cn/large/008cF8Qpgy1h8nayym8wtj31hc0u0ao1.jpg,https://wx4.sinaimg.cn/large/008cF8Qpgy1h8nayywhh8j31hc0u0aos.jpg,https://wx2.sinaimg.cn/large/008cF8Qpgy1h8nayz6ggkj31hc0u0k4o.jpg",,,,普通用户
4833611750840063,Me6ov3wxp,7516184137,巨龙创视,#商场#数字哨兵##电子哨兵##人脸识别帮老年人核验健康码#商场安装巨龙电子哨兵人脸识别健康码测温门禁机后，门卫再也不用费眼核查健康码啦！商场也能精准核验每一个进场人员的健康码、核酸、疫苗接种、体温等信息，降低商场交叉感染的风险，保障商场客户的安全。L巨龙创视的微博视频,,,,商场,0,0,0,2022-11-08 19:18,微博视频号,,"http://f.video.weibocdn.com/u0/gBxPDUmPgx080CPB206401041200bqM50E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017394&ssig=pWiTdhvkKm&KID=unistore,video",,,普通用户
4828500152817249,MbXpZbOTv,7516184137,巨龙创视,#数字哨兵##电子哨兵上岗刷身份证就能看健康码##人脸识别帮老年人核验健康码##测温门禁机#企业园区门口安装巨龙数字电子哨兵后，企业园区录入人脸的员工，可以选择刷脸的方式快速核验，未录入人脸的员工及临时访客可以选择扫健康码或刷身份证的方式进行核验，这样一来，大大缩减了保安验码和测温的时间，加快出入人员的出行速度，提高园区的防疫质量与效率。,,,,"数字哨兵,电子哨兵上岗刷身份证就能看健康码,人脸识别帮老年人核验健康码,测温门禁机",0,0,0,2022-10-25 16:46,微博网页版,https://wx4.sinaimg.cn/large/008cF8Qpgy1h7hmov5mo3j31hc0u04cf.jpg,,,,普通用户
4824410530253196,Maf1P13RO,7516184137,巨龙创视,#旅游景区##电子哨兵##数字哨兵##人脸识别帮老年人核验健康码##人脸识别门禁机##测温门禁机#景区上线电子哨兵，火眼金睛识别过期健康码！巨龙电子哨兵人脸识别健康码一体机是一款结合疫情防控需求打造的精准化、人性化、数据化的健康码终端，该设备支持全国20多个省市健康码，可以查验24小时或48小时核酸数据，支持刷身份证核验健康码，还支持口罩佩戴提醒功能！被广泛应用在旅游景区、企业园区、学校、写字楼、机场、火车站、医院、社区、高速公路检查路口等场所，助力疫情防控。,,,,"旅游景区,电子哨兵,数字哨兵,人脸识别帮老年人核验健康码,人脸识别门禁机,测温门禁机",0,0,0,2022-10-14 09:56,微博网页版,"https://wx1.sinaimg.cn/large/008cF8Qpgy1h74kzt6js4j30o01hcq99.jpg,https://wx2.sinaimg.cn/large/008cF8Qpgy1h74kztw1gzj30o01hc423.jpg,https://wx2.sinaimg.cn/large/008cF8Qpgy1h74kzu8s8fj30o01hctfh.jpg",,,,普通用户
4824075674063929,Ma6jJh3df,7516184137,巨龙创视,甘肃超话#甘肃健康码##电子哨兵上岗刷身份证就能看健康码##人脸识别帮老年人核验健康码##数字哨兵##人脸识别门禁#甘肃旅游景点众多，旅游旺季时游客人流量大，带给相关部门很大的防疫压力，稍有不慎，疫情又面临反弹。安装巨龙电子哨兵人脸识别健康码测温门禁一体机后，只需游客在电子哨兵扫码识别区域扫甘肃健康码或者在电子哨兵刷证识别区域刷身份证即可快速核验！L巨龙创视的微博视频,,,,"甘肃健康码,电子哨兵上岗刷身份证就能看健康码,人脸识别帮老年人核验健康码,数字哨兵,人脸识别门禁",0,1,0,2022-10-13 11:45,微博视频号,,"http://f.video.weibocdn.com/u0/Ot4a7Y4wgx07ZWRkG1h6010412002CAf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017394&ssig=OII4RtKm7X&KID=unistore,video",,,普通用户
4823081899526580,M9GsRDYiw,7516184137,巨龙创视,重庆超话#渝康码##数字哨兵##电子哨兵上岗刷身份证就能看健康码##人脸识别帮老年人核验健康码##人脸识别门禁#JVT巨龙电子哨兵支持人脸识别（需录入人脸）、扫重庆渝康码、刷身份证核验健康码，它集人脸识别、口罩识别、体温检测等多种防疫检测功能于一体，助力重庆精细化、智能化、数字化防疫。L巨龙创视的微博视频,,,,"渝康码,数字哨兵,电子哨兵上岗刷身份证就能看健康码,人脸识别帮老年人核验健康码,人脸识别门禁",0,1,0,2022-10-10 17:56,微博视频号,,"http://f.video.weibocdn.com/u0/EHFtrfHrgx07ZSu941HG010412003C0w0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017394&ssig=ehvEAGbgbJ&KID=unistore,video",,,普通用户
4819425331252179,M89lb5fKr,7516184137,巨龙创视,河南超话#河南豫康码##电子哨兵##数字哨兵##人脸识别帮老年人核验健康码#河南多地引进JVT巨龙电子哨兵人脸识别健康码测温门禁机，实现人脸识别、健康码核验、体温检测、口罩识别、核酸时效查验、疫苗接种查验等功能。通行人员只要在门禁闸机前扫河南豫康码就能完成核验，此外这款电子哨兵还支持刷身份证核验，方便不会使用智能手机和没有智能手机的老人、小孩完成核验。L巨龙创视的微博视频,,,,"河南豫康码,电子哨兵,数字哨兵,人脸识别帮老年人核验健康码",0,0,0,2022-09-30 15:46,微博视频号,,"http://f.video.weibocdn.com/u0/gQUVPeRSgx07ZCojM7tK010412007Pwz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017394&ssig=LAF2llLqGr&KID=unistore,video",,,普通用户
4818326712748514,M7GLdbx0S,7516184137,巨龙创视,#福建电子哨兵##电子哨兵上岗刷身份证就能看健康码##数字哨兵##人脸识别帮老年人核验健康码#巨龙福建数智哨兵健康码测温一体机集人脸识别、查验核酸、查验疫苗、测量体温、口罩识别等功能于一体，扫描福建健康码或读取身份证信息，即可自动完成健康核验，判断是否符合场所准入要求。,,,,"福建电子哨兵,电子哨兵上岗刷身份证就能看健康码,数字哨兵,人脸识别帮老年人核验健康码",0,0,0,2022-09-27 15:01,微博网页版,"https://wx3.sinaimg.cn/large/008cF8Qpgy1h6l6a82uvsj31ay0n67sl.jpg,https://wx3.sinaimg.cn/large/008cF8Qpgy1h6l6a519drj31hc0u0khg.jpg",,,,普通用户
4818251655151643,M7EO9lCb1,7516184137,巨龙创视,#人脸识别门禁##人脸考勤##测温门禁机##人脸识别帮老年人核验健康码##电子哨兵#巨龙工业级人脸识别门禁机，误识别率低，它采用国际顶级算法，动态智能人脸曝光技术，实现多维人脸库动态比对，可以针对学生成长，跨年龄段精准识别，在底库质量可以保证的情况下，零误比。巨龙人脸识别门禁机可以进行快速识别，人脸识别准确率≥99.9%，识别速度＜0.2S。巨龙人脸识别门禁机支持5万人脸底库，10万条人脸记录。巨龙人脸识别门禁机还支持口罩识别、双目活体防伪检测，智能语音播报、广告、监控等功能。L巨龙创视的微博视频,,,,"人脸识别门禁,人脸考勤,测温门禁机,人脸识别帮老年人核验健康码,电子哨兵",0,0,0,2022-09-27 10:02,微博视频号,,"http://f.video.weibocdn.com/u0/om2cGRWkgx07Zxe2kbQs010412005Kfu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017394&ssig=TF3Gp88wIW&KID=unistore,video",,,普通用户
