id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4977304541594379,Nwr2K6GLN,7496092447,MXw97,年老生病无专业人照看，在经济情况允许的情况下，是否可以考虑将其送到养老院。#你能接受把老人送到养老院吗##老人该不该送养老院##如何让老人进出养老院都舒心#,,,,"你能接受把老人送到养老院吗,老人该不该送养老院,如何让老人进出养老院都舒心",0,0,1,2023-12-10 07:42,iPhone客户端,https://wx1.sinaimg.cn/large/008biQ4Tgy1hkocky2xw4j33402c0kjm.jpg,,,,普通用户
4745131490542297,LiW4J2h4J,1911348005,创业新青年,#你能接受把老人送到养老院吗#专业的事还是需要专业的人做，家庭养老中遇到的困难，比如失能老人的护理问题，可以由医保、财政、民政三方做上门养老服务。L头条新闻的微博视频#活着就是为了摆渡#,,,,"你能接受把老人送到养老院吗,活着就是为了摆渡",2,1,0,2022-03-09 15:29,微博视频号,,"http://f.video.weibocdn.com/o0/HFy36QHylx07UiskUmQw010412006a0F0E010.mp4?label=mp4_hd&template=304x272.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982164&ssig=%2BVPr5TZvNn&KID=unistore,video",,,黄V
4744860957672476,LiP2nwbXC,1911348005,创业新青年,#你能接受把老人送到养老院吗#李楠楠表示：专业的事还是需要专业的人做，家庭养老中遇到的困难，比如失能老人的护理问题，可以由医保、财政、民政三方做上门养老服务。L头条新闻的微博视频#活着就是为了摆渡#,,,,"你能接受把老人送到养老院吗,活着就是为了摆渡",2,1,0,2022-03-08 21:34,微博视频号,,"http://f.video.weibocdn.com/o0/HFy36QHylx07UiskUmQw010412006a0F0E010.mp4?label=mp4_hd&template=304x272.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982164&ssig=%2BVPr5TZvNn&KID=unistore,video",,,黄V
4744749052857851,LiM7TbZsn,7391470487,付晓雷一强制执行律师,#你能接受把老人送到养老院吗#现在我国很多人认为，把老人送到养老院是不孝顺的行为。其实上网随便搜一搜就知道大家为什么会这样想，例如有篇报道称，广州一老人花400万入住某“高端”养老院，结果护工看他没有子女，百般欺凌，老人入住不到三个月就郁郁而终。这样的故事屡见报端，无疑使人心寒不已。也有一种看法是，现在中国的养老院是“公办的进不去，民办的住不起”。以上种种说法，折射出我国养老业的尴尬现状。但把父母送进养老院真的就是不孝吗？其实在欧美发达国家，很多老年人其实更愿意进入养老院颐养天年，毕竟子女在外工作繁忙，一个月见不了几次，而养老院里有许多同龄伙伴，每天在一起开开心心，最重要的是有人性化的细致服务。欧美不少百万富翁人生最后的岁月其实是在养老院里度过的，人们并不认为那是掉面子的事。从这个角度看，我国的养老行业其实非常有发展前景，当然一方面需要政府的政策扶持，一方面也需要相关法律法规出台维护老人权益，最重要的是从业人员要有一颗真正关爱老人的心，而不是敷衍了事或者只为了钱。您会把家里老人送养老院吗？可以在下方留言谈谈看法。L头条新闻的微博视频,,,,你能接受把老人送到养老院吗,0,5,8,2022-03-08 14:09,微博视频号,,"http://f.video.weibocdn.com/o0/HFy36QHylx07UiskUmQw010412006a0F0E010.mp4?label=mp4_hd&template=304x272.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982164&ssig=%2BVPr5TZvNn&KID=unistore,video",,,黄V
4744534234498589,LiGxpiShT,2734169507,Legal诗睿,孝悌之道，应该如何体现？单纯地说“把老人送到养老院”是不孝也是有失偏颇的，因为倘若取得老人意愿“养老院养老”那就是正常的。那么不正常的呢？其实真正的不孝顺是视老人为负担，不征求老人意见，不顾老人反对，一意孤行地搞“养老院养老”。那样不但令人齿冷，更令人觉得心寒——老人不是负担，“家有一老如有一宝”。更多的老人未必想在养老院度过余生，如果家庭和睦，在家含饴弄孙，享受天伦之乐岂不是更适合老人？本质上，家的含义是每个成员的团聚，从传统文化传承至今的“遍插茱萸少一人”不该成为老人们的常态，而“老有所养老有所依”更应获得子女最全面的陪伴。#你能接受把老人送到养老院吗##微博新知博主#,,,,"你能接受把老人送到养老院吗,微博新知博主",1,4,8,2022-03-07 23:56,,,,,,黄V
4744512339446618,LiFY5DDuO,5761540289,飝鱼之青鳥,#你能接受把老人送到养老院吗#只要老人开心，机构正规，没有什么问题。,,,,你能接受把老人送到养老院吗,0,0,0,2022-03-07 22:29,iPhone客户端,,,,,普通用户
4744512129207848,LiFXKCDnG,2209730323,融媒体张灏,【未老谈老，渐成风潮】#你能接受把老人送到养老院吗#大橘是一名互联网公司职员，刚过30岁的她目前最大的梦想就是攒钱养老。“我努力在大厂‘卷’，以后成为一个精致的老太太不‘香’嘛？”大橘表示，她非常看重未来养老院里人际交往的品质。“现在社恐，老了更恐。就算进了养老院，我也不希望和玩不来的人处，和姐妹抱团养老、玩剧本杀太‘香’了。”O未老谈老，渐成风潮,,,,你能接受把老人送到养老院吗,0,0,0,2022-03-07 22:28,融媒体张灏HarmonyOS设备,,,,,黄V
4744509977530686,LiFUhvB4G,7001426904,喜欢小橘的小桔,#你能接受把老人送到养老院吗#我不想让爸妈住养老院但是自己老了想去养老院,,,,你能接受把老人送到养老院吗,0,0,0,2022-03-07 22:19,荣耀50 5G,,,,,普通用户
4744493104109292,LiFt4hf0U,1958889463,沈阳铁路,【#你能接受把老人送到养老院吗#】新浪新闻@头条新闻携手@河南广播电视台主持人书凡连麦对话全国人大代表@养老人李楠楠关注养老行业，守护银发一族。李楠楠介绍，以南通为例，目前养老主要分为居家养老和社区养老，但很多人认为把老人送到养老院是不孝顺的行为。李楠楠表示：专业的事还是需要专业的人做，家庭养老中遇到的困难，比如失能老人的护理问题，可以由医保、财政、民政三方做上门养老服务。L头条新闻的微博视频,,,"头条新闻,河南广播电视台,养老人李楠楠",你能接受把老人送到养老院吗,3,1,1,2022-03-07 21:12,微博视频号,,"http://f.video.weibocdn.com/o0/HFy36QHylx07UiskUmQw010412006a0F0E010.mp4?label=mp4_hd&template=304x272.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724982165&ssig=T9l0zQ08X9&KID=unistore,video",,,蓝V
4744487206651133,LiFjyrUgl,2797434962,国国检察官,#你能接受把老人送到养老院吗#我认为不是我能不能接受的问题，而是老人自己怎么想的问题，因为毕竟他们是可能要被送往养老院的，所以得多听听他们的感受！我认为，无论送养老院还是居家养老，只要老人开心就行。可能有些子女太忙，就会把老人送养老院去，其实不能绝对地说送养老院就是不孝顺，这是一种偏见！养老院的条件，可能是比家庭条件更好，那里有定制的菜谱、健全的医疗条件、规律的生活，还有许多同龄人一起解闷，所以不要局部去看。当然，送养老院也会有弊端，就是见老人的次数肯定会相对变少，老人可能会想家，也可能不自由……。现在大多数年轻人生活压力大，还得求助于老人接送孩子，所以送养老院相对不多（至少我身边不多）。送不送，得老人自己说了算！#v光新星##超能新星汇#,,宝鸡·扶风,,"你能接受把老人送到养老院吗,v光新星,超能新星汇",139,24,17,2022-03-07 20:49,坚果手机 R1,,,,,红V
4744480651220735,LiF8Z57zh,2814421321,九紫旅行家,#你能接受把老人送到养老院吗#自己的父母，肯定不能送到养老院去生活，他们最后的人生时光，需要家人的陪伴，怎么可以把老人送到养老院呢,,,,你能接受把老人送到养老院吗,0,0,0,2022-03-07 20:23,微博 HTML5 版,,,,,黄V
4744475698528511,LiF0ZzMED,2233879571,我是佩儿,#你能接受把老人送到养老院吗##送父母去住养老院就是不孝吗##你会把父母送去养老院吗#我是绝不会送老人去养老院！我自己也不会去。一起去旅行的玩伴都很难碰到非常合拍的，更别提老了要跟一群都有个性的人在一起。等国家通过安乐死法规。到时候我要不行了直接推一针就行，不白花钱死的有尊严就好。,,,,"你能接受把老人送到养老院吗,送父母去住养老院就是不孝吗,你会把父母送去养老院吗",0,1,0,2022-03-07 20:03,华为Mate30E Pro 5G,,,,,黄V
