id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5044833776044770,OiOkxpmwi,6540367180,额尔古纳市政法,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 15:59,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044829149729507,OiOd4EP5x,6378478092,内蒙古法制报社官方微博,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 15:41,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044829148943157,OiOd4Bwwt,6589825840,稀土高新长安网,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 15:41,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044829148941973,OiOd4Bwdn,3984138317,达旗政法委,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 15:41,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044743920683151,OiLZC2RIz,5628319933,葫芦岛市检察院,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 10:02,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044729627020061,OiLCytseN,2696964800,荆门市东宝区人民检察院,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！@齐鲁晚报来源：L齐鲁晚报的微博视频,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-13 09:05,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044728700078825,OiLB40kvn,5312196416,城固检察,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频,,,,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",5,4,5,2024-06-13 09:01,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044726636745502,OiLxJsiOq,5175779748,蚌埠检察,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频,,,,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,1,0,2024-06-13 08:53,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044515246703418,OiG2Ms7RE,1910370220,平安盐城,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频,,,,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",0,0,0,2024-06-12 18:53,iPhone客户端,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
5044511279939937,OiFWnFHPz,2087875965,法治网,【#保姆一声吼保住老人900多万养老钱#】#杭州保姆保住东家900多万养老钱#9日上午，杭州王大伯接到一个FaceTime电话，对方说他们发现王大伯在北京办了张电话卡，发送了大量违法信息，涉嫌犯罪，还报出了王大伯身份信息、家庭住址和银行卡号。王大伯说没去过北京，更没办过什么电话卡。“那你被诈骗团伙冒用身份了。”一个自称“孙警官”的人要拉王大伯夫妇建微信群。“警察现在怎么建微信群办案了？不会是冒充的吧？”保姆李女士给王大伯在国外的儿子打电话后，又联系了社区民警。民警上门检查了王大伯夫妇俩的手机，把可疑软件关了，夫妇俩手机银行理财账户的900多万保住了，为李女士点赞！L齐鲁晚报的微博视频@齐鲁晚报,,,齐鲁晚报,"保姆一声吼保住老人900多万养老钱,杭州保姆保住东家900多万养老钱",3,0,1,2024-06-12 18:37,微博视频号,,"http://f.video.weibocdn.com/o0/t0qY6XHylx08fAUX3d2E010412003GG80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019928&ssig=lnGolk2AHx&KID=unistore,video",,,蓝V
