id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4922822230546465,N9zI32i9X,5387282715,浙关注,#浙江关注#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。L板扎零距离的微博视频,,,,"浙江关注,儿女给老人自制降温房",0,0,0,2023-07-12 23:29,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,普通用户
4922821908371209,N9zHwz7Jv,5994002561,hii乌义,#金华身边事#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。L板扎零距离的微博视频,,,,"金华身边事,儿女给老人自制降温房",0,0,0,2023-07-12 23:27,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,黄V
4922821848862589,N9zHqBbyZ,5470721488,金华城事生活,#金华身边事#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。L板扎零距离的微博视频,,,,"金华身边事,儿女给老人自制降温房",0,0,2,2023-07-12 23:27,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,黄V
4922821606113605,N9zH2pEqx,2012536357,金华直播间,#金华身边事#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。L板扎零距离的微博视频,,,,"金华身边事,儿女给老人自制降温房",2,3,2,2023-07-12 23:26,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,黄V
4922702260864977,N9wAy3D1f,1799573072,金华这些事儿,#金华爆料#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。@板扎零距离L板扎零距离的微博视频,,,板扎零距离,"金华爆料,儿女给老人自制降温房",0,0,2,2023-07-12 15:32,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,黄V
4922695948701047,N9wqmAvxt,1837242684,金华小陈说事,#金华好网事#【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。金华小陈说事超话L金华小陈说事的微博视频,,金华,,"金华好网事,儿女给老人自制降温房",0,6,17,2023-07-12 15:07,金华超话,,"http://f.video.weibocdn.com/o0/ZJQT1RwQlx086WVrmqUE010412004tcl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=eMnrLJOD5y&KID=unistore,video",,,红V
4922651161663139,N9vg86YEP,7308140398,大象新闻,【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。@板扎零距离L板扎零距离的微博视频,,,板扎零距离,儿女给老人自制降温房,0,1,3,2023-07-12 12:09,Android,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020096&ssig=JPl0u64xNw&KID=unistore,video",,,蓝V
4922650600931986,N9vfe3Us2,3468466672,板扎视频,【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。@板扎零距离L板扎零距离的微博视频,,,板扎零距离,儿女给老人自制降温房,0,0,0,2023-07-12 12:07,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020098&ssig=x8HTRkthB1&KID=unistore,video",,,蓝V
4922650600673199,N9vfe2P83,5665811463,板扎在线,【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。@板扎零距离L板扎零距离的微博视频,,,板扎零距离,儿女给老人自制降温房,0,0,0,2023-07-12 12:07,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020098&ssig=x8HTRkthB1&KID=unistore,video",,,蓝V
4922650600412466,N9vfe1JiG,5821025486,刻度视频,【#儿女给老人自制降温房#】7月10日，浙江金华。儿女给老人自制“降温房”，开启独特降温模式，老人睡得很安逸。炎炎夏日，你想要同款吗？网友：真的很羡慕自然凉。@板扎零距离L板扎零距离的微博视频,,,板扎零距离,儿女给老人自制降温房,0,0,0,2023-07-12 12:07,微博视频号,,"http://f.video.weibocdn.com/u0/JGYmQgCQgx086VJMRD4A010412008WOS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020098&ssig=x8HTRkthB1&KID=unistore,video",,,普通用户
