id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4856096235458818,MnxjNmU5s,2882723155,zishal,为农村老人排队领退烧药超话“为农村老人领退烧药”志愿行动怎么保证药发出去后不被滥用？当地政府、对接人的积极参与将是解答。#抗疫守护计划##为农村老人排队领退烧药##关注疫情下的乡村独居老人#,,,,"抗疫守护计划,为农村老人排队领退烧药,关注疫情下的乡村独居老人",0,0,0,2023-01-09 20:23,为农村老人排队领退烧药超话,https://wx2.sinaimg.cn/large/abd2dd53ly1h9xo27hlbnj20k018g43t.jpg,,,,普通用户
4854665806874097,MmW6EsQgx,7689766796,HollyEvans圣诞版,为农村老人排队领退烧药超话O每人可免费领取6片！山西向全省农村地区免费供应基本退烧药品山西将向全省农村地区免费供应基本退烧药品，群众可到村卫生室免费领取6片布洛芬或对乙酰氨基酚，满足发热群众用药需求。我们期待听到更多这样的消息#抗疫守护计划##为农村老人排队领退烧药##关注疫情下的乡村独居老人#,,,,"抗疫守护计划,为农村老人排队领退烧药,关注疫情下的乡村独居老人",0,0,0,2023-01-05 21:39,为农村老人排队领退烧药超话,,,,,普通用户
4854571661268140,MmTEO5jTS,2882723155,zishal,为农村老人排队领退烧药超话一些成果与进展O网页链接#抗疫守护计划##为农村老人排队领退烧药##关注疫情下的乡村独居老人#,,,,"抗疫守护计划,为农村老人排队领退烧药,关注疫情下的乡村独居老人",0,0,0,2023-01-05 15:25,为农村老人排队领退烧药超话,,,,,普通用户
4854284099258148,MmMaZCQsY,2882723155,zishal,为农村老人排队领退烧药超话三位村医口中的农村疫情“所剩的药还能坚持三天”O三位村医口中的农村疫情“所剩的药还能坚持三天”让我们一起用行动支援农村老人这个更脆弱的群体#抗疫守护计划##关注疫情下的乡村独居老人##为农村老人排队领退烧药#,,,,"抗疫守护计划,关注疫情下的乡村独居老人,为农村老人排队领退烧药",0,0,0,2023-01-04 20:23,为农村老人排队领退烧药超话,,,,,普通用户
4852391943870684,MlYX8geWo,7009444275,出圈,【#探访发现部分乡村老人不知新冠##疫情下90岁乡村老人走两小时去买药#】目前，新冠疫情已蔓延到不少城镇和乡村。@出圈探访西南某县，县城诊所排长队，家庭整体感染情况普遍。在农村，许多人出现症状，一些老人对“新冠”没有概念，只当做是“感冒”，并无准备；乡村诊所问诊量大幅增加，退烧药紧缺；有老人用偏方应对，生病了只能独自面对。农村地区亟需普及疫情相关知识、增加基础药品供应。L出圈的微博视频,,,出圈,"探访发现部分乡村老人不知新冠,疫情下90岁乡村老人走两小时去买药",8727,2041,38354,2022-12-30 15:04,微博视频号,,"http://f.video.weibocdn.com/o0/z5QEruz6lx081XutRBOU01041208iYvE0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003343&ssig=nx%2FDEEambG&KID=unistore,video",,,
4854279858816915,MmM49AZGj,2882723155,zishal,在农村，一些老人对“新冠”没有概念，并无药品准备，让我们通过实际行动支援这个特殊群体#为农村老人排队领退烧药#为农村老人排队领退烧药超话#抗疫守护计划##关注疫情下的乡村独居老人#,,,,"为农村老人排队领退烧药,抗疫守护计划,关注疫情下的乡村独居老人",0,0,38354,2023-01-04 20:06,iPhone客户端,,,4852391943870684,,普通用户
4854145552751284,MmIzxbxJy,7689766796,HollyEvans圣诞版,为农村老人排队领退烧药超话#关注疫情下的乡村独居老人#,,,,关注疫情下的乡村独居老人,0,0,38354,2023-01-04 11:12,OPPO Reno9 5G,,,4852391943870684,,普通用户
4853984348606187,MmEnwA6Rt,7689766796,HollyEvans圣诞版,为农村老人排队领退烧药超话微公益超话#抗疫守护计划##关注疫情下的乡村独居老人#@微公益“农村退烧救助行动”已对接约110个村子约1.3万位缺药的老人⎮寻找1000个老家在农村的朋友O“农村退烧救助行动”已对接约110个村子约1.3万位缺药的老人⎮寻找1000个老家在农村的朋友这条微博下，16个省成千上万的农村老人排队求助⎮“老人们连续高烧不退，我又急又害怕……”O这条微博下，16个省成千上万的农村老人排队求助⎮“老人们连续高烧不退，我又急又害怕……”2140位沉默的、偏远的、因疫情海啸生命遭威胁的农村老人求助……O2140位沉默的、偏远的、因疫情海啸生命遭威胁的农村老人求助……100种行动方式，面对农村老人缺药困境⎮2900位农村老人和1岁幼儿正紧急求助药物O100种行动方式，面对农村老人缺药困境⎮2900位农村老人和1岁幼儿正紧急求助药物#农村老人退烧药物互助#第一批捐助的退烧药，正邮往陕西榆林小壕兔乡O#农村老人退烧药物互助#第一批捐助的退烧药，正邮往陕西榆林小壕兔乡农村退烧救助行动⎮将募集首批5000盒退烧药捐赠农村老人，呼吁政府给全体农村老人免费发药O农村退烧救助行动⎮将募集首批5000盒退烧药捐赠农村老人，呼吁政府给全体农村老人免费发药,,,微公益,"抗疫守护计划,关注疫情下的乡村独居老人,农村老人退烧药物互助",0,0,0,2023-01-04 00:31,为农村老人排队领退烧药超话,,,,,普通用户
4853983375790161,MmElXoihH,7689766796,HollyEvans圣诞版,为农村老人排队领退烧药超话返乡高峰即将到来，农村疫情防控难点在哪？O返乡高峰即将到来，农村疫情防控难点在哪？老人被困感染潮：缺药、延误、死亡O老人被困感染潮：缺药、延误、死亡感染潮下的县乡镇：10个问题和1个好消息O感染潮下的县乡镇：10个问题和1个好消息提前的农村感染潮O提前的农村感染潮大流行冲击乡镇农村：药库空，老人多，有乡镇做核酸自救O大流行冲击乡镇农村：药库空，老人多，有乡镇做核酸自救缺药、缺人、靠输液治疗，农村如何应对疫情冲击？O缺药、缺人、靠输液治疗，农村如何应对疫情冲击？三位村医口中的农村疫情“所剩的药还能坚持三天”O三位村医口中的农村疫情“所剩的药还能坚持三天”疫情下的农村老人O疫情下的农村老人风声｜缺医少药认命：农村老人如何应对疫情冲击？O风声｜缺医少药认命：农村老人如何应对疫情冲击？农村迎防疫大考：药物短缺返乡人员突增，有乡镇卫生院招大学生做志愿者O网页链接民间药物互助难题：买药难、物流慢、求助信息难辨O民间药物互助难题：买药难、物流慢、求助信息难辨#抗疫守护计划##关注疫情下的乡村独居老人#,,,,"抗疫守护计划,关注疫情下的乡村独居老人",1,0,2,2023-01-04 00:28,为农村老人排队领退烧药超话,,,,,普通用户
4851750295570925,MlIgdnnfD,2015391145,中国慈善家杂志,【#农村感染高峰未到缺药问题显现##关注疫情下的乡村独居老人#】“贵州省安顺市普定县猴场乡大地村，常住人口760人，60岁以上老年人250多人，留守儿童80余名，目前感染人数已超过150人，急需退烧药、散热类药物，以及N95口罩等医疗资源。”12月28日，一条求助信息出现在“城乡互助群”里。当天上午，大地村村委负责人高先生告诉《中国慈善家》，目前村里的缺药状况仍未得到缓解，大约有80位发烧的老年人无药可用。“所有地方都进不来药，一周前，每周都有医药公司来给村里送药，但最近一周左右的时间，连医药公司也找不到药了。”高先生说，过去一周，村里外出打工的人陆续返乡，造成村里疫情暴发，很多人出现发烧等新冠感染症状。大地村距离县城较远，要一个多小时的车程，且每天只有一趟大巴开往县城；往返60元的车费，也让很多村民无力承担。因此，感染的人都是留在家里扛着，所幸该村目前还未出现重症病例。“目前其实还不是打工人士返乡的高峰，随着返乡高峰的到来，感染的人数还会继续增加，可能会进一步造成用药紧张的局面。”高先生对此表示担忧。大地村的情况目前在全国农村地区普遍存在。山东莒县多个村卫生室负责人告诉《中国慈善家》，他们村里也不同程度存在缺药的问题。“感染的人很多，至少有一半以上的村民都感染了。有些人是提前抢了一些药，就还有药可用，但也有不少人没有药，发高烧就只能去县城大医院。目前卫生室里普通的感冒药有一些，但不多，而抗原检测试剂一直没有货。”在缺医少药的背景下，独居老人的情况更不容乐观。根据民政部的数据，截至2021年底，全国60岁及以上老年人口达2.67亿，占总人口的18.9%；65岁及以上老年人口达2亿以上，占总人口的14.2%。据调查，我国空巢老年人占比目前已超过一半，部分大城市和农村地区，空巢老年人比例甚至超过70%，大量老年人不与子女或其他家人共同居住生活，面临着居家养老的许多生活不便或困难，甚至是安全风险隐患。#抗疫守护计划#（本刊记者/温如军）,,,,"农村感染高峰未到缺药问题显现,关注疫情下的乡村独居老人,抗疫守护计划",216,11,128,2022-12-28 20:34,微博网页版,https://wx2.sinaimg.cn/large/78206da9ly1h9jsw14jkuj20sg0j040g.jpg,,,,
