id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4556733978250872,JnNUpyCqA,5662723275,长春小观哥,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-05 18:25,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556375641819973,JnEAs7Dsp,2054900587,农民频道,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。@一手VideoL一手Video的秒拍视频,,石家庄,一手Video,养老院中秋给老人拍唐装全家福,1,0,3,2020-10-04 18:41,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,蓝V
4556275999048799,JnBZJBY0n,6305220527,峰峰新鲜事,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998526950,JnBZJzMfs,6301521652,魏县新鲜事,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998525533,JnBZJzLSB,6301515242,邱县大小事,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998523788,JnBZJzLqs,6306777856,馆陶身边事,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998262613,JnBZJyFtX,3711814634,邯郸新媒体官方微博,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,普通用户
4556275998262142,JnBZJyFmm,6308560672,广平新鲜事,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998006164,JnBZJxALG,6303641469,用户6303641469,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
4556275998001693,JnBZJxzBz,6321244679,武安头条,【#养老院中秋给老人拍唐装全家福#，96岁老人第一次化妆】10月1日，沈阳一养老院的工作人员与志愿者中秋节给老人拍摄唐装全家福。一位96岁老人说，第一次化妆，结婚时都没今天穿的喜庆。一位82岁老人说，孩子在外地回不来，工作人员和她一起拍全家福，感到特别温暖。L一手Video的秒拍视频,,,,养老院中秋给老人拍唐装全家福,0,0,0,2020-10-04 12:05,微博视频号,,"http://miaopai.video.weibocdn.com/hsy9jGxKlx07GTuzTUbC01041200t3DI0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012226&ssig=Qoztnx5pu%2B&KID=unistore,video",,,黄V
