id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4675077524163297,Kvv6Mht3X,5028619863,内蒙古是个好地方,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-28 08:00,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,蓝V
4674893550197082,Kvqk30PgK,2872918984,文旅双流,#双儿播报#【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,"双儿播报,养老院哄骗老人做核酸太可爱了",0,0,0,2021-08-27 19:49,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,蓝V
4674866756457507,KvpCPr5Tl,7494873187,抽屉视频,【养老院哄骗老人做核酸太可爱了：来！张嘴给你装假牙】#养老院哄骗老人做核酸太可爱了#8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱#河南郑州#L养老院哄骗老人做核酸太可爱了：来！张嘴给你装假牙,,,,"养老院哄骗老人做核酸太可爱了,河南郑州",0,0,0,2021-08-27 18:02,iPhone客户端,,http:https://mph.miguvideo.com/playurl/v1/play/weiboplayurl?cid=715231392&type=video&tcType=3&channelid=101700010110090&pwId=c82f265c65b2410792b27a39459b5619,,,蓝V
4674859902178504,KvprM98Ja,3476926151,街拍邯郸,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:35,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
4674854814486549,KvpjziP9H,6301521652,魏县新鲜事,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
4674854814482585,KvpjziO7L,6308422627,用户6308422627,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
4674854814484804,KvpjziOHy,6301522172,曲周新鲜事,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
4674854814485711,KvpjziOWb,6306777856,馆陶身边事,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
4674854814746680,KvpjzjUPm,6085371915,燕赵新媒体,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,普通用户
4674854814748006,KvpjzjVaK,6303641469,用户6303641469,【#养老院哄骗老人做核酸太可爱了#来！张嘴给你装假牙】8月25日，河南郑州，医护人员为郑州市经开区瑞阳养老院老人上门进行第五次全员核酸检测，因为老人大多为半失智状态，工作人员善意“哄骗”称装假牙，给糖吃让人看着觉得十分友爱~L小莉帮忙的微博视频,,,,养老院哄骗老人做核酸太可爱了,0,0,0,2021-08-27 17:15,微博视频号,,"http://f.video.weibocdn.com/rsXXHRTelx07PlIZ0zJK01041200eUcH0E010.mp4?label=mp4_720p&template=720x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1724999879&ssig=qmPA5e9ZLx&KID=unistore,video",,,黄V
