id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4922659748448789,N9vtYzrUN,7474609363,吃瓜学姐,7月11日，浙江温岭，网传养老院女护工殴打坐轮椅老人，使用不不锈钢碗多次击打老人头部。当地民政局：正在调查核实#养老院护工疑用不锈钢碗殴打老人#L吃瓜学姐的微博视频,,,,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 12:43,微博视频号,,"http://f.video.weibocdn.com/u0/pRdlcvikgx086WLztKXC010412004wKf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=G%2FLgLFaaY4&KID=unistore,video",,,红V
4922612332105065,N9ufv8PCF,2195600811,当代生活报,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。（搜狐千里眼）L搜狐千里眼的微博视频,,,,养老院护工疑用不锈钢碗殴打老人,0,0,1,2023-07-12 09:35,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=J7HmNn05Vu&KID=unistore,video",,,蓝V
4922612330794680,N9ufv3kJq,1899950161,南国早报,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。（搜狐千里眼）L搜狐千里眼的微博视频,,,,养老院护工疑用不锈钢碗殴打老人,0,0,3,2023-07-12 09:35,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=J7HmNn05Vu&KID=unistore,video",,,蓝V
4922608145141556,N9u8Klzyk,7758511806,泾渭视频,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。@搜狐千里眼#温岭市[地点]#L搜狐千里眼的微博视频,,,搜狐千里眼,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 09:18,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=J7HmNn05Vu&KID=unistore,video",,,普通用户
4922608041333143,N9u8A5AOj,6512618863,千里眼西安,#养老院护工疑用不锈钢碗殴打老人#,,,,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 09:17,微博网页版,https://wx3.sinaimg.cn/large/0076KhFJly1hftuu35rifj30x40is408.jpg,,,,黄V
4922607994147718,N9u8vhp0G,5379286126,西安新鲜事,#养老院护工疑用不锈钢碗殴打老人#,,,,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 09:17,微博网页版,https://wx4.sinaimg.cn/large/005S2W3sly1hftutwch3bj30x40isabr.jpg,,,,黄V
4922607948006020,N9u8qxAJm,7562542062,西安小记,#养老院护工疑用不锈钢碗殴打老人#,,,,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 09:17,微博网页版,https://wx4.sinaimg.cn/large/008fNEESly1hftutp3qfbj30x40ismyv.jpg,,,,黄V
4922601282995196,N9tXGczbC,7750531853,散拾视频,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。@搜狐千里眼#温岭市[地点]#L搜狐千里眼的微博视频,,,搜狐千里眼,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 08:51,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=J7HmNn05Vu&KID=unistore,video",,,普通用户
4922599895204409,N9tVrlPU5,6512618863,千里眼西安,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。@搜狐千里眼#温岭市[地点]#L搜狐千里眼的微博视频,,,搜狐千里眼,养老院护工疑用不锈钢碗殴打老人,0,0,0,2023-07-12 08:45,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019173&ssig=J7HmNn05Vu&KID=unistore,video",,,黄V
4922599861129041,N9tVo4JIl,5379286126,西安新鲜事,【#养老院护工疑用不锈钢碗殴打老人#，官方：可以通过司法程序维权】7月11日，浙江温岭。养老院女护工暴虐一名坐椅子不能自理的老人，连续用不锈钢碗多次击打老人头部引发网友热议。对此，政府部门工作人员回应称，可以通过司法程序维权，打110报警，具体情况以部门处理为准。@搜狐千里眼#温岭市[地点]#L搜狐千里眼的微博视频,,,搜狐千里眼,养老院护工疑用不锈钢碗殴打老人,0,0,1,2023-07-12 08:45,微博视频号,,"http://f.video.weibocdn.com/o0/e9tH8plTlx086Wv1El4k010412007eRs0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725019175&ssig=UShwzzK21W&KID=unistore,video",,,黄V
