id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4794042255150619,LDst3lBUv,2590506062,北京亦庄,#小亦告诉您#今起，#北京全面取消失能老年人护理补贴消费限制#L北京亦庄的微博视频,,,,"小亦告诉您,北京全面取消失能老年人护理补贴消费限制",0,0,1,2022-07-22 14:43,微博视频号,,"http://f.video.weibocdn.com/o0/6cL2AfKilx07XOFCQetW010412002K010E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000872&ssig=WY6q0%2FA4qe&KID=unistore,video",,,蓝V
4793719461517368,LDk4q6mJG,6351705477,京视频,【#北京全面取消失能老年人护理补贴消费限制#账户不过期、不清零！】近日，北京市民政局下发通知，取消失能老年人护理补贴消费限制，在大型商超、社区便利店、药店等可选购所有在售商品与服务，账户不过期、不清零。详情戳视频L京视频的微博视频,,,,北京全面取消失能老年人护理补贴消费限制,0,0,0,2022-07-21 17:20,微博视频号,,"http://f.video.weibocdn.com/o0/uu1z9bvclx07XNfxzAmc01041200A0S20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725000872&ssig=6pO8iRKlJ0&KID=unistore,video",,,蓝V
4793691603207127,LDjludsjR,5712113452,清檬养老,#国际养老##养老护理##如何养老##这届老年人的生活也太有趣了##北京全面取消失能老年人护理补贴消费限制#【日本和德国是如何做好养老护理的？】每个人都有老去的那一天，是、夕阳无限好，还是晚景近黄昏？这需要热心养老事业的专业人士陪伴左右，温暖相随。那么国外养老护理人才从何而来，如何培养？O日本和德国是如何做好养老护理的？,,,,"国际养老,养老护理,如何养老,这届老年人的生活也太有趣了,北京全面取消失能老年人护理补贴消费限制",0,0,0,2022-07-21 15:30,微博 weibo.com,,,,,蓝V
4793681561257971,LDj5i5hfR,7198723084,欢迎来淀,#网聚海淀正能量##发现美好海淀#关爱老人，温情无限！今日起，#北京全面取消失能老年人护理补贴消费限制#。失能老年人护理补贴可在全市1.1万余家养老助残服务商，包括各大商超、社区便利店、药店、餐饮企业及养老服务机构等任意消费使用。@北京日报,,,北京日报,"网聚海淀正能量,发现美好海淀,北京全面取消失能老年人护理补贴消费限制",0,0,1,2022-07-21 14:50,微博网页版,https://wx3.sinaimg.cn/large/007Rb6IQly1h4eju0ktcwj30j049z7rb.jpg,,,,蓝V
4793624900144753,LDhBU0BEJ,2566267767,北京政法,#便民提示#【#北京全面取消失能老年人护理补贴消费限制#】本市将全面取消失能老年人护理补贴消费限制。自2022年7月21日0时起，失能老年人护理补贴可在全市1.1万余家养老助残服务商，包括各大商超、社区便利店、药店、餐饮企业及养老服务机构等任意消费使用。,,,,"便民提示,北京全面取消失能老年人护理补贴消费限制",0,2,0,2022-07-21 11:05,微博 weibo.com,https://wx1.sinaimg.cn/large/98f62377gy1h4ed0wq2skj20jg08a3z2.jpg,,,,蓝V
4793470924096389,LDdByhbEN,5567016252,minwoooooo,#北京全面取消失能老年人护理补贴消费限制#这个补贴是石景山，且只有石景山居民和公司交的钱没年只有石景山区会单独扣一笔钱，试点试了两年还是只有石景山,,,,北京全面取消失能老年人护理补贴消费限制,1,1,1,2022-07-21 00:53,iPhone客户端,,,,,普通用户
4793389189694488,LDbtIEFYI,5318418430,红酥手---黄藤酒,#毒贩下药迷晕多名男性朋友实施猥亵#710郑州银行打人#北京城镇非私营单位平均工资194651元##北京全面取消失能老年人护理补贴消费限制#赶快兑付5万+没米下锅了:看看都是白人在打人啊，一看就是米国人怎么可能是我们的公仆人民jc,,,,"毒贩下药迷晕多名男性朋友实施猥亵,北京城镇非私营单位平均工资194651元,北京全面取消失能老年人护理补贴消费限制",0,0,0,2022-07-20 19:28,HUAWEI Mate 20,,,,广东,普通用户
4793384667187355,LDbmqu9L5,2590508324,北京大兴,【明日起，#北京全面取消失能老年人护理补贴消费限制#】记者从市委社会工委市民政局了解到，本市将全面取消失能老年人护理补贴消费限制。自O2022年7月21日0时起，失能老年人护理补贴可在全市1.1万余家养老助残服务商，包括各大商超、社区便利店、药店、餐饮企业及养老服务机构等任意消费使用。为解决北京通-养老助残卡使用不方便、失能补贴消费网点少、失能照护产品种类和服务不足等困扰老年人的“烦心事”，市委社会工委市民政局下发通知，取消失能老年人护理补贴消费限制，让失能老年人及其家庭拥有更多的消费选择。据了解，失能老年人护理补贴可在全市范围内的北京通-养老助残卡专用POS机使用，覆盖全市1.1万余家养老助残服务商。取消限制后，失能老年人护理补贴可在包括大型商超、社区便利店、药店、餐饮企业及养老服务机构等在内的全市养老助残服务商，选购所有在售商品与服务。该账户不过期、不清零。市民如需查询失能老年人护理补贴余额信息及养老助残卡商户信息的，可拨打北京农商银行客户服务热线、登录微信公众号“北京农商银行e服务”或持有效证件到北京农商银行任意网点咨询查询。市委社会工委市民政局相关负责人介绍，取消失能老年人护理补贴消费限制，是解决老年人政策性津贴补贴发放和使用问题的第一步。目前，市委社会工委市民政局正在会同相关部门同步研究修订《北京市老年人养老服务补贴津贴管理实施办法》，对老年人津贴补贴政策进行彻底改革，推动下一步在全市实现失能老年人护理补贴和高龄津贴发放方式“券变现”，即：将老年人津贴补贴直接发放至北京通-养老助残卡的金融账户，老年人及家人可在制卡行的任意网点激活，进行自由提现或刷卡消费。（北京日报）,,,,北京全面取消失能老年人护理补贴消费限制,1,2,4,2022-07-20 19:10,,https://wx2.sinaimg.cn/large/002Pjvykly1h4dlqf5zm1j60b30b2jrc02.jpg,,,,蓝V
4793379919497377,LDbeLDQHv,5318418430,红酥手---黄藤酒,#毒贩下药迷晕多名男性朋友实施猥亵#710恶行必须惩治#北京城镇非私营单位平均工资194651元##北京全面取消失能老年人护理补贴消费限制#赶快兑付5万+没米下锅了:看看都是白人在打人啊，一看就是米国人怎么可能是我们的公仆人民jc,,,,"毒贩下药迷晕多名男性朋友实施猥亵,北京城镇非私营单位平均工资194651元,北京全面取消失能老年人护理补贴消费限制",0,0,0,2022-07-20 18:51,HUAWEI Mate 20,,,,,普通用户
4793378564998157,LDbcAkYfr,2590506130,海淀宣传,【明日起，#北京全面取消失能老年人护理补贴消费限制#】从市委社会工委市民政局了解到，本市将全面取消失能老年人护理补贴消费限制。自O2022年7月21日0时起，失能老年人护理补贴可在全市1.1万余家养老助残服务商，包括各大商超、社区便利店、药店、餐饮企业及养老服务机构等任意消费使用。为解决北京通-养老助残卡使用不方便、失能补贴消费网点少、失能照护产品种类和服务不足等困扰老年人的“烦心事”，市委社会工委市民政局下发通知，取消失能老年人护理补贴消费限制，让失能老年人及其家庭拥有更多的消费选择。据了解，失能老年人护理补贴可在全市范围内的北京通-养老助残卡专用POS机使用，覆盖全市1.1万余家养老助残服务商。取消限制后，失能老年人护理补贴可在包括大型商超、社区便利店、药店、餐饮企业及养老服务机构等在内的全市养老助残服务商，选购所有在售商品与服务。该账户不过期、不清零。市民如需查询失能老年人护理补贴余额信息及养老助残卡商户信息的，可拨打北京农商银行客户服务热线、登录微信公众号“北京农商银行e服务”或持有效证件到北京农商银行任意网点咨询查询。市委社会工委市民政局相关负责人介绍，取消失能老年人护理补贴消费限制，是解决老年人政策性津贴补贴发放和使用问题的第一步。目前，市委社会工委市民政局正在会同相关部门同步研究修订《北京市老年人养老服务补贴津贴管理实施办法》，对老年人津贴补贴政策进行彻底改革，推动下一步在全市实现失能老年人护理补贴和高龄津贴发放方式“券变现”，即：将老年人津贴补贴直接发放至北京通-养老助残卡的金融账户，老年人及家人可在制卡行的任意网点激活，进行自由提现或刷卡消费。（来源@北京日报）#海淀正能量#@微博北京@北京发布@文明北京@北京新闻广播北京超话,,北京·海淀,"北京日报,微博北京,北京发布,文明北京,北京新闻广播","北京全面取消失能老年人护理补贴消费限制,海淀正能量",0,0,2,2022-07-20 18:46,北京超话,,,,,蓝V
