id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4842881535708136,MhZxLnWWI,1303834011,-红尘之莲,北京这位医生吹了两天牛皮，家中三口人染疫阳了后，过去坚持的一下就动摇了。还是那句老话：雷不劈到自己身上不会感觉痛。#北京卫健委提醒要保护好家中老人##北京提醒市民保护好家中的老年人#,,,,"北京卫健委提醒要保护好家中老人,北京提醒市民保护好家中的老年人",0,0,0,2022-12-04 09:13,,"https://wx2.sinaimg.cn/large/4db6ed9bly1h8ridgcg0ej20q813q78y.jpg,https://wx4.sinaimg.cn/large/4db6ed9bly1h8ridgk6jej20q811igpr.jpg,https://wx2.sinaimg.cn/large/4db6ed9bly1h8ridg2nipj20q71ataho.jpg",,,四川,红V
4842634919815786,MhT7ZFbx8,6340026081,茂哥日记,北京这位医生吹了两天牛皮，家中三口人染疫阳了后，过去坚持的一下就动摇了。#北京卫健委提醒要保护好家中老人##北京提醒市民保护好家中的老年人#,,,,"北京卫健委提醒要保护好家中老人,北京提醒市民保护好家中的老年人",15,53,205,2022-12-03 16:53,,"https://wx4.sinaimg.cn/large/006V46pbgy1h8qpw1ivkaj30q813qq7g.jpg,https://wx3.sinaimg.cn/large/006V46pbgy1h8qpwdjj9oj30q811iwii.jpg,https://wx4.sinaimg.cn/large/006V46pbgy1h8qpzc8x5zj30q71atwlz.jpg",,,重庆,金V
4841150752493617,MhgwbasHD,1628299223,维熙晗,#北京增社会面490例#说放开的人，起哄闹事要自由的人，你们家里没有老人，孩子和孕妇这些抵抗力弱群体吗，国家给的保护不要，真的严重起来还不是会躲在家里不出去，到时候让这些需要经常跑医院的弱势群体怎么办#北京卫健委提醒要保护好家中老人##北京提醒市民保护好家中的老年人#,,,,"北京增社会面490例,北京卫健委提醒要保护好家中老人,北京提醒市民保护好家中的老年人",0,20,29,2022-11-29 14:35,iPhone客户端,,,,北京,普通用户
4839426243437353,MgxEIeqdb,2031331913,大一新生李元芳,如果现在选择躺平，无疑是放弃了数量庞大的老年人群体。如果现在放弃他们，三十年之后或许被放弃的就是我们自己。#北京提醒市民保护好家中的老年人#,,,,北京提醒市民保护好家中的老年人,0,7,2,2022-11-24 20:23,OnePlus 8T,,,,北京,普通用户
4839322967346667,MguY8uPcD,5168635837,没什么高见,#北京新增1例死亡病例情况#最近北京确诊死亡的4例，都是80岁以上的老人。看过一个统计，80岁以上的确诊死亡率是普通确诊的4.6倍。老年人群体大多数都有基础病，在新冠面前死亡的概率更大。媒体应该引导的是应当多关注、保护老年人的健康，而不是把所有的老年人死亡都归为因新冠死亡的病例。这么引导的结果就是会有一些人会发表失智言论，不知道这样的舆论对社会有什么用？#微博新知博主##北京提醒市民保护好家中的老年人#,,天津·天津财经大学,,"北京新增1例死亡病例情况,微博新知博主,北京提醒市民保护好家中的老年人",8,8,93,2022-11-24 13:32,iPhone 13 Pro,"https://wx1.sinaimg.cn/large/005DN4i9ly1h8g5o5sbtwj30ed0if40n.jpg,https://wx1.sinaimg.cn/large/005DN4i9ly1h8g5o60088j30hf0jz0x8.jpg,https://wx1.sinaimg.cn/large/005DN4i9ly1h8g5mm7a2sj30u00ewgnb.jpg,https://wx3.sinaimg.cn/large/005DN4i9ly1h8g5mmftbbj30u00kwdhf.jpg,https://wx4.sinaimg.cn/large/005DN4i9ly1h8g5mmmltfj30u009qwfb.jpg",,,天津,黄V
4838920364492305,MgkuMiQEx,6593465813,lzksb,#北京提醒市民保护好家中的老年人#还要怎么保护？？大家都不上班！吃风喝烟吗？？都不让出门上班，然后一起聚集做核酸？？！,,,,北京提醒市民保护好家中的老年人,0,0,4,2022-11-23 10:53,小米10,,,,北京,普通用户
4838911068869712,MgkfMBdpS,5079363456,elian506,#北京提醒市民保护好家中的老年人#怎么保护？每天冒着寒风排队做核酸？,,,,北京提醒市民保护好家中的老年人,0,0,2,2022-11-23 10:16,HarmonyOS设备,,,,北京,普通用户
4838871054945758,MgjdfkKCi,1752724344,北京外语广播,#北京提醒市民保护好家中的老年人#【#北京提醒市民减少不必要的外出#】11月22日，北京市卫健委提示：疫情防控，人人有责，请广大市民朋友理解、支持和配合各项防疫措施，提高防护意识，履行防疫责任，严格遵守各项防疫规定，戴好口罩、注意手卫生、常通风、保持安全社交距离，不聚餐聚会，减少不必要的外出，保护好家中的老年人及患有基础病的家人，积极接种疫苗，尽快完成加强免疫，做自己健康的第一责任人。#北京增207例社会面##北京昨增274例本土确诊#,,,,"北京提醒市民保护好家中的老年人,北京提醒市民减少不必要的外出,北京增207例社会面,北京昨增274例本土确诊",0,0,0,2022-11-23 07:37,iPhone客户端,,,,,蓝V
4838793498067212,Mghc9xQEk,5119529937,小丑鼠-bblfz版,#北京提醒市民保护好家中的老年人#是啊！成天跟这儿说什么p话呢老人现在只做核酸出门了啊真无语死了！！！！！！！！,,,,北京提醒市民保护好家中的老年人,0,0,9,2022-11-23 02:28,vivo S9 极夜柔光自拍,,,,北京,普通用户
4838750209442928,Mgg4kDCxi,6539857718,起个名字确实挺难的,#北京提醒市民保护好家中的老年人#保护你奶奶个爪家里老人必须的心脏病的药都断了，医院关门，人也不让出家门！几周前医生嘱咐要老人预约个造影看看需不需要做心脏支架，现在连医院都去不了你们还口口声声保护老人？？？这么保护下去迟早💊,,,,北京提醒市民保护好家中的老年人,0,0,10,2022-11-22 23:36,iPhone客户端,,,,美国,普通用户
