id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4574843305201859,Jvp10lPeX,5934477092,贵港反邪,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。L澎湃视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 17:45,微博视频号,,"http://f.video.weibocdn.com/aD0t7EpElx07IfD5Dbxe01041200cmWL0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001981&ssig=7mf9b9w338&KID=unistore,video",,,蓝V
4574825672082303,Jvoyz8JHx,7524905896,81岁老兵,#医保局回应老人冒雨交医保被拒收现金#宜昌82岁老兵独自在家被他人殴打致昏迷，全身多处损伤，土城派出所以没有人证为由，称无法处理。请问，所有案件发生时都有目击者？被殴打的多处伤痕和自己摔倒的伤痕是否很容易区分？明显是治安案件却让我们自己起诉，也让老人别执着于真相，请问公安机关的职责在哪里？,,宜昌,,医保局回应老人冒雨交医保被拒收现金,0,0,0,2020-11-24 16:34,iPhone XS Max,"https://wx1.sinaimg.cn/large/008dfJLWgy1gl0ckxnofoj30u0140101.jpg,https://wx2.sinaimg.cn/large/008dfJLWgy1gl0ckynafkj30u0140gue.jpg,https://wx3.sinaimg.cn/large/008dfJLWgy1gl0ckx7yv1j30u0140ajt.jpg,https://wx3.sinaimg.cn/large/008dfJLWgy1gl0ckyzc8zj30u01400uj.jpg,https://wx3.sinaimg.cn/large/008dfJLWgy1gl0ckze2jaj313x0u079q.jpg,https://wx4.sinaimg.cn/large/008dfJLWgy1gl0cky6vkgj30pz0ywjtw.jpg",,,,普通用户
4574772845092132,JvnbmlmHa,5044281310,澎湃新闻,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L澎湃视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",154,637,2867,2020-11-24 13:05,微博视频号,,"http://f.video.weibocdn.com/aD0t7EpElx07IfD5Dbxe01041200cmWL0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001981&ssig=7mf9b9w338&KID=unistore,video",,,
4574824065664723,JvovYnLEv,6178106374,w缺氧的鱼i,//@高淳固城街道:【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查……O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L沸点视频的微博视频,,,高淳固城街道,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,2867,2020-11-24 16:28,万人迷OPPO R7,,,4574772845092132,,普通用户
4574813286833917,JvoeAsFOt,1130848553,I时尚资讯,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查LI时尚资讯的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",1,0,0,2020-11-24 15:45,微博视频号,,"http://f.video.weibocdn.com/WughN5a1lx07IfL55ANO01041200d5TK0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001981&ssig=iYHxnAEzZH&KID=unistore,video",,,普通用户
4574802645881050,JvnXqoFVE,5055641239,高淳固城街道,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查……O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L沸点视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",1,1,2867,2020-11-24 15:03,OPPO R15x,,,4574772845092132,,蓝V
4574789689679894,JvnCwECbk,5091956958,拱墅检察,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L沸点视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",0,8,7,2020-11-24 14:12,微博视频号,,"http://f.video.weibocdn.com/NlL4HbXylx07IfljnCcE010412005wzC0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001981&ssig=gay8F1b8km&KID=unistore,video",,,蓝V
4574784014788615,Jvntnk5JJ,1698823241,澎湃质量观,【老人用现金缴纳医保被拒？宜昌医保局：支持现金支付，正调查】#医保局回应老人冒雨交医保被拒收现金#近日，湖北宜昌。一段视频显示，一名老人在医保窗口缴费，工作人员回复不收现金，要么让亲戚帮忙，要么在手机上支付。宜昌市医保局表示，医保缴费支持现金支付，正调查。（素材来源：相关人士）O老人用现金缴纳医保被拒？宜昌医保局：支持现金支付，正调查L澎湃视频的微博视频,,,,医保局回应老人冒雨交医保被拒收现金,13,67,213,2020-11-24 13:49,微博视频号,,"http://f.video.weibocdn.com/aD0t7EpElx07IfD5Dbxe01041200cmWL0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001982&ssig=gF%2FTNaxLhU&KID=unistore,video",,,蓝V
4574779132092782,Jvnlv8Mqy,3181366165,锡望精彩,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。L青蕉视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",1,4,0,2020-11-24 13:30,微博视频号,,"http://f.video.weibocdn.com/003sX4NQgx07IfrdHxsH01041200mHNE0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001982&ssig=0WZGaN9%2Bhf&KID=unistore,video",,,红V
4574776816828532,JvnhLsEpC,3844145683,湄潭宣传,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L沸点视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",0,1,1,2020-11-24 13:20,微博视频号,,"http://f.video.weibocdn.com/NlL4HbXylx07IfljnCcE010412005wzC0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001982&ssig=syMU1kf03a&KID=unistore,video",,,蓝V
4574774224758139,JvndAjXOb,2412016187,凤舞九台,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。O宜昌医保局回应“老人冒雨交医保被拒收现金”：多部门调查L沸点视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",0,0,0,2020-11-24 13:10,微博视频号,,"http://f.video.weibocdn.com/NlL4HbXylx07IfljnCcE010412005wzC0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001982&ssig=syMU1kf03a&KID=unistore,video",,,蓝V
4574773276844643,Jvnc3sIBt,1649469284,新浪四川,【宜昌#医保局回应老人冒雨交医保被拒收现金#：多部门调查】针对近日宜昌一#老人冒雨用现金交医保被拒#一事，24日，宜昌市医保局办公室一名工作人员回应澎湃称，他们已注意到该情况，正在和当地多部门共同调查当中。“医保的征收工作是税务部门在负责，目前我们也正在和税务部门沟通”，医保缴纳有多种缴费方式，其中并没有不收现金的相关规定。网传视频显示，一老人独自冒雨在柜台交医保，工作人员告诉老人，“不收现金，要么告诉亲戚，要么你自己在手机上支付，（就）这两个方式。”老人有些不知所措。据报道，事发地点在秭归县茅坪镇西楚社区。L沸点视频的微博视频,,,,"医保局回应老人冒雨交医保被拒收现金,老人冒雨用现金交医保被拒",9,41,81,2020-11-24 13:06,微博视频号,,"http://f.video.weibocdn.com/NlL4HbXylx07IfljnCcE010412005wzC0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001982&ssig=syMU1kf03a&KID=unistore,video",,,蓝V
