id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4306666847537493,H2NqYvCQt,5897894974,股氘亿金,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走了！这样的医院并非一家！...全文：微博正文,,,,医院雇没病老人骗医保,0,0,0,2018-11-15 17:07,微博 weibo.com,,,,,黄V
4306630461818833,H2Mui7Da1,2525457764,贵阳新闻网,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,0,0,0,2018-11-15 14:42,微博视频号,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&Expires=1724998237&ssig=A76Zz5JDyA&KID=unistore,video",,,蓝V
4306620772604034,H2MeFaVqy,6515097938,兰陵大小事,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,0,0,0,2018-11-15 14:04,兰陵资讯iPhone 8 Plus（银色）,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998237&ssig=A76Zz5JDyA&KID=unistore,video",,,黄V
4306574367897822,H2L1Ox8Ae,1644855075,华商网,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,1,4,0,2018-11-15 11:00,微博视频号,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998237&ssig=A76Zz5JDyA&KID=unistore,video",,,蓝V
4306572547641022,H2KYSw3Mi,3119452001,丽优美皮肤科,发布了头条文章：《【关于玻尿酸填充的真实与误解】》护肤超话美容超话整形超话#医院雇没病老人骗医保##韩国整形#微整形超话2韩国·首尔明洞乐天酒店#变美##基础护肤##玻尿酸##瘦脸针##皮肤美容##韩国皮肤科#水光针[超话]#O【关于玻尿酸填充的真实与误解】,http://t.cn/E2v548x,韩国·首尔江南区,,"医院雇没病老人骗医保,韩国整形,变美,基础护肤,玻尿酸,瘦脸针,皮肤美容,韩国皮肤科",0,0,0,2018-11-15 10:52,微博 weibo.com,,,,,普通用户
4306571716833194,H2KXxsFCO,3891285877,女子瞎说什么大实话,发布了头条文章：《央视曝光：医院花钱雇佣病人，骗取医保补助！》#医院雇没病的人住院骗医保#医院超话#医院雇没病老人骗医保##医院骗医保#O央视曝光：医院花钱雇佣病人，骗取医保补助！,http://t.cn/E2vGHDH,,,"医院雇没病的人住院骗医保,医院雇没病老人骗医保,医院骗医保",0,0,0,2018-11-15 10:49,微博 weibo.com,,,,,普通用户
4306557178943161,H2KA5Bwwx,5860115721,爱问医生女性健康,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,5,4,7,2018-11-15 09:51,微博视频号,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998237&ssig=A76Zz5JDyA&KID=unistore,video",,,蓝V
4306554972794062,H2KwxbIRw,2076255252,931郑州经济广播,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,0,1,0,2018-11-15 09:43,微博视频号,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998237&ssig=A76Zz5JDyA&KID=unistore,video",,,蓝V
4306553366492176,H2KtWreUw,1806128454,凤凰网视频,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】近日，记者现场调查发现，沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走。L央视新闻的秒拍视频,,,,医院雇没病老人骗医保,56,65,79,2018-11-15 09:36,微博视频号,,"http://miaopai.video.weibocdn.com/8x3XMsudlx07pccm48Yo01040207GFjk0E033?ori=0&ps=1BVp4ysnknHVZu&Expires=1724998239&ssig=2HcMdgqerS&KID=unistore,video",,,蓝V
4306528246551917,H2JPqrus5,5540410271,海享贷,【#医院雇没病老人骗医保#：免费吃午餐，在病房喝酒打牌】沈阳于洪区济华医院，两辆面包车的老人早上被送来，医生不检查就安排住院，老人们先去集市购物，中午回医院吃免费午餐，在病房喝酒打牌，晚上领好处费离开…假住院4天，每人的医保卡都被消费了1000多元，全被医院刷走了！这样的医院并非一家！L视频|医院雇没病老人骗医保：免费吃午餐在病房喝酒打牌,,,,医院雇没病老人骗医保,0,0,0,2018-11-15 07:56,新浪视频,,http://ask.ivideo.sina.com.cn/v_play_ipad.php?vid=189339458&tags=weibocard,,,蓝V
