id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4746599333625888,Ljygdfdg4,5703757400,诺敏河人民检察,【#观点中国#协同推进健康中国战略，促进实现健康老龄化】#中国将进入中度老龄化社会##十四五时期失能老人数量将持续增加#《“十四五”健康老龄化规划》的目标非常明确，但是也应该看到任务相当艰巨。健康中国，是把人民健康放在优先发展位置的战略目标，夕阳工程，是党和国家对老年人的关怀。协同推进健康中国战略、积极应对人口老龄化国家战略。O协同推进健康中国战略，促进实现健康老龄化,,,,"观点中国,中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",16,35,39,2022-03-13 16:42,荣耀50 Pro 5G,https://wx1.sinaimg.cn/large/006e0nR6ly1h08cijs142j30j60j6t9v.jpg,,,,蓝V
4746581180154179,LjxMW0E6L,3164957712,中国网,【#观点中国#协同推进健康中国战略，促进实现健康老龄化】#中国将进入中度老龄化社会##十四五时期失能老人数量将持续增加#《“十四五”健康老龄化规划》的目标非常明确，但是也应该看到任务相当艰巨。健康中国，是把人民健康放在优先发展位置的战略目标，夕阳工程，是党和国家对老年人的关怀。协同推进健康中国战略、积极应对人口老龄化国家战略。O协同推进健康中国战略，促进实现健康老龄化,,,,"观点中国,中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",45,0,111,2022-03-13 15:30,微博 weibo.com,https://wx2.sinaimg.cn/large/003sbQ52ly1h082o2fxqdj60j60j675f02.jpg,,,,蓝V
4746115449095067,LjlFKCa2D,1772192331,微海石头,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。L微海石头的微博视频,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,0,0,2022-03-12 08:39,微博视频号,,"http://f.video.weibocdn.com/u0/MElUIAZXgx07UpJ3XSti01041200DOPW0E010.mp4?label=mp4_hd&template=640x368.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003576&ssig=gyaI5xdxfb&KID=unistore,video",,,普通用户
4742496754338770,LhPx9icIa,2367454010,西安购房情报,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",1,0,0,2022-03-02 09:00,微博 weibo.com,https://wx2.sinaimg.cn/large/8d1c7b3aly1gzug3gf6nxj20hs0cmwfk.jpg,,,,普通用户
4742479419541256,LhP5bE27e,5904699447,不负明天的伟大梦想,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。@天津政法,,,天津政法,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,2,3,2022-03-02 07:51,平安中国Android,https://wx3.sinaimg.cn/large/006rBw3Rgy1gzv7clpptwj30fd0a9q42.jpg,,,,红V
4742474113221703,LhOWDdw6X,5897816720,天津政法,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,1,0,2022-03-02 07:30,微博 weibo.com,https://wx1.sinaimg.cn/large/006r8Dy8ly1gzui66jl67j30fd0a9dgy.jpg,,,,蓝V
4742281422704964,LhJVQblGs,3876342106,大庆市中级人民法院,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。（中国新闻网）,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",8,8,2,2022-03-01 18:44,,https://wx2.sinaimg.cn/large/e70c495aly1gzuklzesq7j20fd0a9mya.jpg,,,,蓝V
4742268751446499,LhJBp64iD,6027711534,太原V房产,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,0,0,2022-03-01 17:54,微博 weibo.com,https://wx2.sinaimg.cn/large/006zVF7Mly1gzug6ojmeoj30fd0a90ub.jpg,,,,蓝V
4742262652931583,LhJrzciDB,6321246109,登报通,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,0,0,2022-03-01 17:29,微博 weibo.com,https://wx3.sinaimg.cn/large/006TNiSply1gzuigct2u6j30dw0dw0tv.jpg,,,,蓝V
4742261009024552,LhJoUBRHi,3465618264,咸宁发布,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,0,0,2022-03-01 17:23,微博 weibo.com,https://wx1.sinaimg.cn/large/ce912358gy1gzui9k6sscj20j60crgnh.jpg,,,,蓝V
4742259142823801,LhJlUbQBb,5110136721,中新社重庆分社,【#中国将进入中度老龄化社会#】#十四五时期失能老人数量将持续增加#日前，国家卫生健康委会同教育部、科技部等15部门联合印发《“十四五”健康老龄化规划》。其中提到，“十四五”时期，我国人口老龄化程度将进一步加深，60岁及以上人口占总人口比例将超过20%，进入中度老龄化社会。老年人健康状况不容乐观，增龄伴随的认知、运动、感官功能下降以及营养、心理等健康问题日益突出，78%以上的老年人至少患有一种以上慢性病，失能老年人数量将持续增加。,,,,"中国将进入中度老龄化社会,十四五时期失能老人数量将持续增加",0,0,0,2022-03-01 17:15,微博网页版,https://wx4.sinaimg.cn/large/005zPC01ly1gzui1uwcmdj30fd0a9n24.jpg,,,,蓝V
