id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4854971898003632,Mn44lxA6Q,1910380137,江宁发布,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,2,2023-01-06 17:56,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854921659158807,Mn2LjCqCH,3685613812,连云港市连云区法院,【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#江苏南京一街道组建了80人的医护团队定期排查寻访，上门问诊老年人，当好老人“健康守门人”。街道各社区主动为60岁以上阳性或有症状的独居老人免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如居家药物不够、“网格跑腿”来帮忙等。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-06 14:36,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854913732182511,Mn2yx99LN,5160792520,南通政法,【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#江苏南京一街道组建了80人的医护团队定期排查寻访，上门问诊老年人，当好老人“健康守门人”。街道各社区主动为60岁以上阳性或有症状的独居老人免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如居家药物不够、“网格跑腿”来帮忙等。L江苏新闻的微博视频,,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-06 14:04,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854912502206791,Mn2wy9g5p,6849915621,江苏政法,【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#江苏南京一街道组建了80人的医护团队定期排查寻访，上门问诊老年人，当好老人“健康守门人”。街道各社区主动为60岁以上阳性或有症状的独居老人免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如居家药物不够、“网格跑腿”来帮忙等。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",3,2,0,2023-01-06 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854872502178823,Mn1u298Oj,1940615965,甘肃夜光杯,北京市石景山区八角街道京原路:一个水杯。#南京一街道为阳性独居老人送爱心餐##南京一街道为阳性独居老人送爱心餐##六旬夫妇为阳性独居老人做饭送药##静云轩夜光杯##为什么阳性和阳康暂不能做医美##新冠对生理期到底有什么影响##说走就走的旅行##北京卫视跨年#,,天水·静云轩夜光杯,,"南京一街道为阳性独居老人送爱心餐,六旬夫妇为阳性独居老人做饭送药,静云轩夜光杯,为什么阳性和阳康暂不能做医美,新冠对生理期到底有什么影响,说走就走的旅行,北京卫视跨年",0,0,0,2023-01-06 11:21,OPPO K7,"https://wx1.sinaimg.cn/large/73ab731dly1h9tricsuugj22bc334u0y.jpg,https://wx1.sinaimg.cn/large/73ab731dly1h9triev6rlj22bc334npe.jpg,https://wx4.sinaimg.cn/large/73ab731dly1h9trigpz31j22bc3341kz.jpg,https://wx2.sinaimg.cn/large/73ab731dly1h9trii3oruj22bc334hdu.jpg,https://wx3.sinaimg.cn/large/73ab731dly1h9trijf9y9j22bc3344qq.jpg,https://wx1.sinaimg.cn/large/73ab731dly1h9trikwt38j22bc334kjm.jpg,https://wx2.sinaimg.cn/large/73ab731dly1h9trim8nt8j22bc334hdu.jpg",,,,普通用户
4854830675265220,Mn0ozm5IU,2671670131,平安诸暨,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-06 08:34,iPhone客户端,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854829446334787,Mn0mAqzXZ,1301904252,江苏新闻,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,2,2023-01-06 08:30,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854681618612525,MmWw9A8vH,2764517242,老记宋军,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-05 22:42,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,黄V
4854673163159004,MmWiwdfNG,3271855994,议政金陵,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-05 22:09,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018637&ssig=IQBWCPh62d&KID=unistore,video",,,蓝V
4854612315867907,MmUInoCvF,1842312240,荔直播,"【#南京一街道组建团队上门问诊老年人#】#南京一街道为阳性独居老人送爱心餐#南京江宁区一街道组建了80人的医护团队，定期排查寻访，上门问诊老年人，当好老人""健康守门人""。各社区主动为60岁以上阳性或有症状的独居老人，免费提供爱心三餐。工作人员还为这些老人推出定制服务，比如，居家药物不够、""网格跑腿""来帮忙等。L江苏新闻的微博视频",,,,"南京一街道组建团队上门问诊老年人,南京一街道为阳性独居老人送爱心餐",0,0,0,2023-01-05 18:07,微博视频号,,"http://f.video.weibocdn.com/o0/oUsbyAjglx0827f0xad201041200YNHe0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018639&ssig=ER4X0XfnxS&KID=unistore,video",,,蓝V
