id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4648343366273763,KkhDaqk5J,2608703882,浦口发布,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。（荔枝新闻）L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,0,0,0,2021-06-15 13:28,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4648319962319229,Kkh1q9JkV,2106435821,栖霞视点,#栖霞资讯#【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,"栖霞资讯,南京开设免费老人照护培训班",6,1,1,2021-06-15 11:55,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4648292258678286,KkgiJApCm,3166580017,南京文明网,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,1,0,1,2021-06-15 10:04,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4648289674727724,KkgezjPTC,7513635555,益路繁星,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,1,0,1,2021-06-15 09:54,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647974338299390,Kk81XyP38,3939923661,赣州市中级人民法院,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,0,0,1,2021-06-14 13:01,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647968881248499,Kk7Ta5eN5,1750353804,合肥交通广播,#1026微新闻#【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,"1026微新闻,南京开设免费老人照护培训班",0,0,2,2021-06-14 12:39,iPhone客户端,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647967954310059,Kk7RFi5f5,6606217935,微博蓝V视频,#微博放映厅#【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,"微博放映厅,南京开设免费老人照护培训班",0,0,0,2021-06-14 12:36,iPhone客户端,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647950745863330,Kk7pUoBjQ,7030516533,四川省成都女子监狱,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频@荔枝新闻@法治四川@四川监狱,,,"荔枝新闻,法治四川,四川监狱",南京开设免费老人照护培训班,0,0,0,2021-06-14 11:27,iPhone客户端,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647947235229815,Kk7kflWvR,2773591493,私家车999广播,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,0,0,0,2021-06-14 11:13,Android,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018669&ssig=zh28K9V%2BnQ&KID=unistore,video",,,蓝V
4647938569800164,Kk76gF7ta,1796087453,荔枝新闻,【#南京开设免费老人照护培训班#】端午假期，南京栖霞一社区免费老人照护培训班开班，不少居民前来学习。据悉，5月起，南京栖霞区对区内有需求的80周岁以上老年人及失能老人家庭成员提供培训，课程包括养老政策解读、老年人生理心理特点等理论知识，以及饮食、排泄、睡眠照料、康复运动、安全急救等操作演示。L荔枝新闻的微博视频,,,,南京开设免费老人照护培训班,5,0,36,2021-06-14 10:39,微博视频号,,"http://f.video.weibocdn.com/fslNBIUelx07NrBYYrYA01041201fy1A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018671&ssig=pikFUG%2F2M9&KID=unistore,video",,,
